,Mean,Variance,Predictive model
0,[-10539.81082764],[34968.71133021],[-14.08891743]
1,[-16252.73390334],[35425.76379723],[-184.7959805]
2,[-9596.49730237],[29088.25466912],[-281.41760329]
3,[-15475.91918232],[28220.72706352],[-219.68466711]
4,[-46340.14716813],[38982.15470423],[-2548.974862]
5,[5916.12112],[12879.07796134],[-928.64850841]
6,[-9203.20314708],[17003.18308388],[-542.21638652]
7,[-1018.59657312],[11226.09359409],[-509.1575312]
8,[-2406.23320187],[8729.70636118],[-176.85316336]
9,[-6482.47355599],[8801.89271434],[-318.31617587]
10,[-42922.12123361],[22021.07394911],[-1316.21080197]
11,[-1927.38192893],[5966.4594564],[-395.43432846]
12,[-2456.0508082],[5872.69866877],[-934.45318788]
13,[-2192.11632434],[5366.66357032],[-457.74977993]
14,[-727.54588282],[4249.68797059],[-498.46710058]
15,[-2398.66358899],[4545.75206497],[-1589.593202]
16,[-276.00315741],[2374.68408923],[-506.09536468]
17,[-468.38197977],[2138.68888954],[-303.0860263]
18,[-2474.82390396],[3074.28110469],[-610.44932059]
19,[-459.58777608],[2334.64862139],[-1057.05236805]
20,[-67.5574006],[1574.32791531],[-583.64342408]
21,[72.63151935],[1145.1795633],[-430.45489095]
22,[-188.53732261],[1033.63662176],[-402.31922173]
23,[-274.62052692],[1132.37229364],[-575.19707804]
24,[-589.81266465],[1182.06741524],[-476.87071619]
25,[-49.30814101],[904.93680338],[-473.24741151]
26,[-304.01242906],[969.64787465],[-226.67769693]
27,[-50.78268345],[802.38923533],[-450.16838102]
28,[-199.04026372],[802.42325299],[-425.9685011]
29,[-96.10465797],[737.83572658],[-374.66575982]
30,[-180.895334],[726.20294235],[-403.44794425]
31,[-207.78616198],[704.49254383],[-498.00945494]
32,[-258.56751637],[694.21655914],[-393.25597815]
33,[-4.80897408],[575.8621108],[-420.1821095]
34,[-130.16042605],[609.44694515],[-471.71680214]
35,[-3.24553104],[563.62345194],[-606.23080418]
36,[-33.68240051],[555.44848544],[-426.67461903]
37,[-13.75208695],[535.89523359],[-387.50758918]
38,[-28.4599577],[522.06309353],[-470.69127993]
39,[9.55446207],[488.9776841],[-488.10563352]
40,[-79.43519387],[517.7385315],[-773.5312073]
41,[-11.96347804],[487.41050339],[-435.53519914]
42,[-13.66461492],[480.76835839],[-504.85234836]
43,[-26.48658585],[480.84047898],[-479.1515655]
44,[7.96589453],[457.95585432],[-501.1690326]
45,[-7.34240942],[448.29477451],[-516.55026881]
46,[-5.23402069],[447.36509854],[-461.06299432]
47,[-63.31894534],[487.06549264],[-663.10353059]
48,[-73.56110573],[472.88368694],[-603.98093179]
49,[-11.69920276],[432.53497008],[-530.24438367]
50,[-13.51449209],[428.12469384],[-401.01222614]
51,[-23.08471267],[422.38756467],[-518.16086698]
52,[-3.29835121],[410.39216812],[-529.28144144]
53,[-6.84828349],[406.54162812],[-478.38214624]
54,[2.80853847],[398.59177375],[-321.2896238]
55,[-7.8244651],[399.22639827],[-499.06166474]
56,[-8.76179022],[400.81017388],[-477.69028949]
57,[1.89052336],[389.59119366],[-430.64113868]
58,[-1.86139908],[386.2418676],[-346.91648846]
59,[6.73639332],[381.00483186],[-358.40762704]
60,[-5.05620347],[382.76529208],[-373.43275486]
61,[-6.13784256],[375.78889638],[-314.2711269]
62,[-1.44586727],[368.37440863],[-357.47595603]
63,[-8.32757105],[366.56271492],[-433.56291684]
64,[-25.09769419],[370.21719065],[-326.94439331]
65,[-0.97013962],[358.09481868],[-313.04928911]
66,[-9.89579174],[357.88638143],[-332.09814141]
67,[-2.27406804],[351.365555],[-413.18686633]
68,[-6.01360518],[349.47319433],[-313.99509565]
69,[-244.53653355],[451.32417327],[-284.57117812]
70,[3.87272184],[342.4945025],[-313.23753501]
71,[3.23218731],[339.64007333],[-366.23450827]
72,[2.0411793],[336.27937431],[-185.49199044]
73,[-0.90691746],[333.59683773],[-284.82299624]
74,[-3.93015946],[332.07318481],[-380.80002912]
75,[-1.7767521],[329.24451886],[-291.85375283]
76,[-35.47450481],[350.30643246],[-275.69344588]
77,[-7.45533859],[327.53386974],[-292.49119583]
78,[-41.89941632],[348.18735158],[-375.04607221]
79,[-45.27090673],[343.24330563],[-206.97399884]
80,[-20.18941012],[327.2245473],[-225.690679]
81,[-17.83059379],[324.46467467],[-250.34667247]
82,[-5.6827433],[316.95536956],[-376.0877655]
83,[-3.23247214],[314.44004696],[-264.75457587]
84,[-6.30910962],[312.66481856],[-201.46825138]
85,[-8.10564023],[311.49025481],[-269.95103534]
86,[-0.63431909],[313.3013484],[-262.22083926]
87,[-1.76924032],[306.22128426],[-206.32317706]
88,[-8.07196419],[306.55272193],[-250.21374353]
89,[-73.71288376],[330.05968365],[-269.02622194]
90,[1.34072018],[299.32887321],[-217.23090625]
91,[3.65248806],[295.83534059],[-254.00281598]
92,[-1.01374978],[296.71516211],[-248.33727946]
93,[-19.85533621],[301.9527814],[-133.22381792]
94,[2.61221469],[291.84881982],[-223.78489671]
95,[-3.61269402],[290.22989148],[-236.06735266]
