,Mean,Variance,Predictive model
0,[-57.55065423],[167.94630334],[-0.34348779]
1,[-10.85505187],[147.93992779],[0.1997207]
2,[-76.79329812],[172.48165067],[-0.15093654]
3,[720.7808277],[160.62689896],[15.99113824]
4,[-15.72220499],[293.19433677],[13.44777269]
5,[40.18935054],[347.00891183],[28.90293005]
6,[835.67371974],[26.86958278],[0.]
7,[764.15778469],[50.86518292],[0.]
8,[160.6968359],[359.97791084],[0.]
9,[67.06212508],[373.80346711],[-0.]
10,[76.41471295],[357.54585884],[-0.]
11,[49.45083654],[353.1496277],[0.]
12,[777.71836231],[61.88981419],[0.]
13,[32.61078881],[381.29119484],[-0.]
14,[25.1174715],[374.58256159],[-0.]
15,[270.07516001],[300.90004082],[0.]
16,[49.70664836],[375.06129652],[-0.]
17,[511.28854121],[155.92477623],[0.]
18,[782.63260683],[52.3498932],[0.]
19,[163.65508751],[365.71140083],[0.]
20,[470.75816418],[305.21369222],[0.]
21,[595.97742935],[274.77259533],[0.]
22,[103.72017877],[413.57036352],[-0.]
23,[499.49111831],[353.38051453],[0.]
24,[506.62581271],[348.37392808],[-0.]
25,[448.28890728],[337.46634634],[0.]
26,[214.9914865],[388.43896445],[0.]
27,[120.44118515],[414.91889941],[-0.]
28,[84.9965972],[433.15444855],[-0.]
29,[73.16233653],[425.71950367],[-0.]
30,[83.03503624],[414.49740207],[0.]
31,[47.38954651],[419.1054198],[-0.]
32,[13.73339556],[411.42087206],[-0.]
33,[766.74921426],[113.82127037],[0.]
34,[64.35988862],[382.31376257],[-0.]
35,[-33.22728602],[425.00524041],[-0.]
36,[-51.58696715],[422.37097374],[-0.]
37,[830.20720494],[79.47194531],[0.]
38,[-27.62592188],[391.83087444],[-0.]
39,[424.77879488],[216.87520447],[0.]
40,[35.97955909],[357.33436541],[-0.]
41,[821.63474162],[50.07483552],[0.]
42,[9.75999609],[355.57704067],[-0.]
43,[717.37335199],[78.18635959],[0.]
44,[-75.25569317],[380.13915532],[-0.]
45,[839.38071578],[16.74976553],[0.]
46,[830.65779268],[37.19218602],[0.]
47,[835.73742142],[29.48283297],[0.]
48,[41.79883932],[411.0129995],[-0.]
49,[-38.62593835],[428.93044905],[-0.]
50,[5.44314871],[408.99983675],[-0.]
51,[-26.86561217],[419.74271305],[-0.]
52,[82.28265146],[366.76176149],[0.]
53,[651.0099569],[141.1910367],[0.]
54,[-12.7914657],[385.71342188],[-0.]
55,[-4.07560514],[372.9328899],[0.]
56,[-18.31417112],[363.20153767],[-0.]
57,[-64.46300136],[381.00591498],[0.]
58,[345.3706717],[220.62654302],[0.]
59,[180.16010107],[333.15698418],[-0.]
60,[148.96573164],[307.68006142],[0.]
61,[-60.16198226],[385.66822199],[-0.]
62,[537.50160287],[152.37267515],[0.]
63,[47.80266815],[333.12079946],[-0.]
64,[530.78951241],[138.67084007],[0.]
65,[240.69703885],[272.61522607],[-0.]
66,[273.62540614],[250.7499595],[-0.]
67,[523.01011329],[144.62000931],[0.]
68,[768.57809671],[41.77333667],[0.]
69,[602.65181742],[101.74493396],[0.]
70,[329.81869743],[232.66077707],[0.]
71,[297.77099059],[253.8824734],[0.]
72,[801.16609039],[23.06243252],[0.]
73,[826.86626751],[11.92090993],[0.]
74,[830.03211726],[5.86066234],[0.]
75,[775.11190212],[25.66359984],[0.]
76,[659.77536002],[66.82657005],[0.]
77,[806.73682324],[18.51206809],[0.]
78,[832.52823577],[3.80982624],[0.]
79,[825.5154983],[5.49039666],[0.]
80,[833.37571067],[1.70616145],[0.]
81,[833.32217797],[1.67474609],[0.]
82,[833.64358017],[2.6749813],[0.]
83,[825.68298197],[2.19113735],[0.]
84,[832.95560706],[1.61606225],[0.]
85,[829.90374355],[2.99835135],[0.]
86,[828.33058799],[2.02423866],[0.]
87,[834.61332427],[1.80061715],[0.]
88,[829.65771736],[1.78262631],[0.]
89,[816.93525221],[4.11072004],[0.]
90,[829.76288769],[1.67774379],[0.]
91,[827.46574903],[1.63216022],[0.]
92,[832.30146774],[1.7112615],[0.]
93,[827.29803498],[1.7481299],[0.]
94,[831.80367406],[1.65670647],[0.]
95,[834.34638487],[1.74545683],[0.]
