,Mean,Variance,Predictive model
0,[8.94402064],[0.03814269],[0.09286931]
1,[7.47737018],[1.31131703],[0.10469876]
2,[9.0556659],[0.21396106],[0.18274386]
3,[9.0556659],[0.21396106],[0.23868586]
4,[9.05566559],[0.21396168],[0.]
5,[8.45563443],[0.63418606],[0.]
6,[8.77098075],[0.52610359],[0.]
7,[8.7942072],[0.72962841],[0.]
8,[9.94206298],[0.24738403],[0.]
9,[10.97014988],[0.65411464],[0.]
10,[11.42928326],[0.34377305],[0.]
11,[10.99097363],[0.56998712],[0.]
12,[11.09015047],[0.59704811],[0.]
13,[10.58346718],[0.59041723],[0.]
14,[11.57160982],[0.39304102],[0.]
15,[10.84384399],[0.58778605],[0.]
16,[12.21550991],[0.58702224],[0.]
17,[6.72516738],[2.28108949],[0.]
18,[10.14242337],[1.09977072],[0.]
19,[9.94821865],[1.53846627],[0.]
20,[11.25366932],[0.86094048],[0.]
21,[7.41067156],[2.16629175],[0.]
22,[7.3751434],[2.10530342],[0.]
23,[11.42718106],[0.55936953],[0.]
24,[8.54466023],[1.90778884],[0.]
25,[8.64080443],[1.05236827],[0.]
26,[8.2838275],[1.78607008],[0.]
27,[8.78740741],[1.785322],[0.]
28,[8.20290813],[1.95963233],[0.]
29,[8.20721693],[1.94352663],[0.]
30,[7.15519443],[2.10426597],[0.]
31,[8.98685624],[0.896662],[0.]
32,[9.11704126],[1.20169474],[0.]
33,[8.88594836],[0.88921791],[0.]
34,[10.66282472],[1.18039775],[0.]
35,[11.21357778],[0.76954779],[0.]
36,[8.93616298],[0.86447498],[0.]
37,[8.38587259],[1.78493895],[0.]
38,[10.94479364],[1.00624086],[0.]
39,[11.63284428],[1.06426362],[0.]
40,[8.46528556],[1.78976189],[0.]
41,[12.3392686],[1.05738216],[0.]
42,[11.9939272],[0.84370111],[0.]
43,[12.05308644],[0.8528843],[0.]
44,[7.97529313],[2.10396562],[0.]
45,[7.5363325],[2.25958465],[0.]
46,[13.04409003],[0.42223771],[0.]
47,[12.32782378],[1.1058101],[0.]
48,[12.19335799],[1.14040322],[0.]
49,[11.87406523],[0.85569937],[0.]
50,[7.41285678],[2.52934679],[0.]
51,[7.31776646],[2.49168413],[0.]
52,[7.53596103],[2.4244867],[0.]
53,[11.64001531],[0.94568006],[0.]
54,[8.16813774],[2.3934281],[0.]
55,[8.28073193],[2.34427882],[0.]
56,[8.50130524],[2.29520823],[0.]
57,[8.27906618],[2.3008589],[0.]
58,[8.03868238],[2.39253938],[0.]
59,[8.6426894],[2.15262732],[0.]
60,[7.72690318],[2.47812082],[0.]
61,[13.67764904],[0.74967004],[0.]
62,[8.78128291],[2.42251149],[0.]
63,[7.73300966],[2.60075378],[0.]
64,[7.91319442],[2.58634632],[0.]
65,[8.79048513],[2.48414192],[0.]
66,[7.64293335],[2.58526338],[0.]
67,[7.58817485],[2.61001152],[0.]
68,[7.55338327],[2.60977121],[0.]
69,[7.59933449],[2.58407796],[0.]
70,[7.57264344],[2.57943974],[0.]
71,[10.74446846],[1.64310672],[0.]
72,[7.66269384],[2.56143618],[0.]
73,[7.4217604],[2.60125552],[0.]
74,[8.31011679],[2.46479376],[0.]
75,[7.38761975],[2.58335502],[0.]
76,[7.44919572],[2.56370576],[0.]
77,[8.40666924],[2.3445881],[0.]
78,[7.8630954],[2.47417773],[0.]
79,[7.76462918],[2.47233672],[0.]
80,[7.90121493],[2.41765667],[0.]
81,[7.32090048],[2.55711158],[0.]
82,[9.12157395],[2.14328584],[0.]
83,[9.06186829],[2.20439304],[0.]
84,[8.77842241],[2.2297717],[0.]
85,[8.0576585],[2.38742207],[0.]
86,[7.93459632],[2.36232949],[0.]
87,[8.03227131],[2.36574941],[0.]
88,[7.6121888],[2.43931354],[0.]
89,[7.84590693],[2.39022399],[0.]
90,[7.71618459],[2.39580515],[0.]
91,[7.62164238],[2.42997561],[0.]
92,[7.56388945],[2.41309057],[0.]
93,[8.38793646],[2.15020435],[0.]
94,[14.08312878],[0.6128474],[0.]
95,[7.82979562],[2.2767739],[0.]
