,Mean,Variance,Predictive model
0,[42.30506404],[28.61539038],[0.54326915]
1,[45.30424077],[26.55702916],[0.22870611]
2,[42.59658489],[39.63271924],[0.67969494]
3,[24.09957559],[42.76529866],[1.09823897]
4,[30.24238204],[40.08773817],[0.91023791]
5,[24.57577413],[46.89005773],[1.4147347]
6,[29.8329025],[42.20559901],[1.78652604]
7,[41.06615289],[38.45016122],[3.00854554]
8,[21.26897132],[47.18148381],[-0.15861467]
9,[19.26230936],[46.1364073],[1.95929555]
10,[66.84725064],[36.88966012],[-2.57735013]
11,[25.40898506],[51.07777805],[-1.10556628]
12,[19.45589321],[54.56309843],[3.27349638]
13,[48.2473214],[47.6801591],[4.09746402]
14,[19.15909135],[47.62481568],[3.85576791]
15,[26.986276],[48.50109389],[7.17669333]
16,[34.13913523],[37.75175488],[4.15295665]
17,[45.38165098],[46.66685752],[10.17503068]
18,[33.50873593],[39.51029054],[8.78428141]
19,[60.10064046],[23.5141923],[10.68054589]
20,[70.11186637],[16.53913395],[14.6146523]
21,[61.00389965],[15.94169822],[15.74098256]
22,[32.73705643],[27.49411493],[10.25087017]
23,[71.26104676],[9.5069269],[17.7957462]
24,[78.63505076],[5.23745807],[21.68479739]
25,[77.65869674],[3.53870263],[24.95522679]
26,[76.55065574],[2.16563939],[26.23118529]
27,[78.42663231],[0.99907131],[28.81091245]
28,[76.36923881],[1.10787171],[31.39180311]
29,[78.18592813],[0.25480572],[34.05607584]
30,[78.37947176],[0.26865654],[36.60900031]
31,[-2.68483782],[46.53698346],[-0.]
32,[54.09821302],[23.50975528],[0.]
33,[-31.38946559],[55.90702273],[-0.]
34,[39.12466426],[20.39637492],[0.]
35,[-12.20936765],[38.0575785],[-0.]
36,[41.79242577],[18.15716916],[0.]
37,[32.3449482],[18.54089005],[0.]
38,[78.25443054],[0.30818385],[0.]
39,[78.28418906],[0.30570172],[0.]
40,[78.26751201],[0.27290856],[0.]
41,[78.3253633],[0.26894251],[0.]
42,[78.25927959],[0.27688706],[0.]
43,[78.30325457],[0.26015293],[0.]
44,[78.28571624],[0.26206481],[0.]
45,[78.33341548],[0.2511964],[0.]
46,[78.33122979],[0.24856423],[0.]
47,[78.33198453],[0.24472103],[0.]
48,[78.31613448],[0.24656087],[0.]
49,[78.31620336],[0.24386823],[0.]
50,[78.31209124],[0.24200833],[0.]
51,[78.24019454],[0.25120755],[0.]
52,[78.22832131],[0.26363557],[0.]
53,[78.30565153],[0.23753235],[0.]
54,[78.25934009],[0.24665482],[0.]
55,[78.23847821],[0.24656095],[0.]
56,[78.32931812],[0.23119893],[0.]
57,[78.26803712],[0.2433658],[0.]
58,[78.24849463],[0.23696288],[0.]
59,[78.30845607],[0.22983256],[0.]
60,[78.29864333],[0.22905835],[0.]
61,[78.27583316],[0.22962082],[0.]
62,[78.29424073],[0.22849975],[0.]
63,[78.31211582],[0.22487222],[0.]
64,[78.27630552],[0.22790635],[0.]
65,[78.09056188],[0.26903983],[0.]
66,[78.32073533],[0.22033363],[0.]
67,[78.15023495],[0.24087476],[0.]
68,[78.32975209],[0.21734641],[0.]
69,[78.3131025],[0.2174383],[0.]
70,[78.26174392],[0.2208215],[0.]
71,[78.29156333],[0.21672795],[0.]
72,[78.26108364],[0.22154537],[0.]
73,[78.24215747],[0.22089661],[0.]
74,[78.28879752],[0.21482603],[0.]
75,[78.30200496],[0.21215705],[0.]
76,[78.31531167],[0.20995171],[0.]
77,[78.32260654],[0.2085962],[0.]
78,[71.42957053],[2.86539099],[0.]
79,[78.30001935],[0.20840531],[0.]
80,[78.30729789],[0.20698006],[0.]
81,[78.01600234],[0.24889458],[0.]
82,[78.32416759],[0.20380698],[0.]
83,[78.29558262],[0.20501568],[0.]
84,[78.26863771],[0.20704038],[0.]
85,[78.33081666],[0.20105773],[0.]
86,[78.30851911],[0.20137296],[0.]
87,[78.03378176],[0.23676236],[0.]
88,[78.17760658],[0.21316026],[0.]
89,[78.265725],[0.2022079],[0.]
90,[78.32763367],[0.19728965],[0.]
91,[78.31669544],[0.19716501],[0.]
92,[-23.01541559],[39.54487033],[-0.]
93,[30.90766569],[20.28526666],[0.]
94,[12.42766952],[26.25726306],[0.]
95,[41.2033054],[19.35043502],[0.]
