,Mean,Variance,Predictive model
0,[-17.81791793],[23.2234806],[-0.18938141]
1,[-17.29373278],[23.23751799],[-0.08280713]
2,[-34.34195747],[22.36401034],[-0.87969245]
3,[-46.08756291],[22.85467539],[-0.39374331]
4,[5.02915599],[52.40884309],[-1.64411002]
5,[-54.89061852],[59.98228698],[-2.41184503]
6,[-30.18592647],[41.68454421],[-2.11148278]
7,[-20.59753456],[32.05762667],[-3.25460222]
8,[-12.14715625],[23.9726577],[-1.52024754]
9,[-5.1796729],[19.32100026],[-2.53152246]
10,[-25.34926025],[26.15818978],[-6.93718836]
11,[-1.85611956],[12.39249947],[-1.64807338]
12,[-2.4952245],[10.96229225],[-4.01119323]
13,[-23.75881519],[20.1458001],[-3.85027811]
14,[-2.33605971],[7.10280261],[-1.58740671]
15,[-4.69960019],[7.07949311],[-0.82339601]
16,[-31.6587917],[17.28740672],[-1.29281444]
17,[-12.75554408],[8.5726579],[-1.15701158]
18,[-5.82947306],[5.75604909],[-2.23267504]
19,[-18.18782116],[11.37833507],[-4.37323651]
20,[-2.15591446],[5.27973879],[-7.91172761]
21,[-7.04975889],[4.98981252],[-3.39805995]
22,[-0.75912592],[2.2760636],[-2.00572843]
23,[-1.38552424],[1.29194764],[-1.17562548]
24,[-2.34598967],[2.28336782],[-2.20770278]
25,[-0.81341289],[1.26575526],[-2.30496965]
26,[-0.59646962],[0.66632127],[-1.50893655]
27,[-0.88631179],[1.04040716],[-1.86844368]
28,[-0.33409869],[0.73545223],[-2.14947192]
29,[-0.91644675],[0.58814375],[-1.15688024]
30,[-0.41072731],[0.23762819],[-1.16190933]
31,[-0.41849511],[0.21239189],[-2.35908803]
32,[-7.07738034],[3.56770218],[-0.]
33,[-4.51744201],[2.29113756],[-0.]
34,[-34.1547198],[16.090452],[-0.]
35,[-1.27273857],[0.78108447],[-0.]
36,[-0.51602661],[0.31302774],[-0.]
37,[-0.42566702],[0.27878312],[-0.]
38,[-0.47835099],[0.26768407],[-0.]
39,[-0.40168614],[0.20977248],[-0.]
40,[-0.40105932],[0.19426677],[-0.]
41,[-0.40494889],[0.1931773],[-0.]
42,[-0.39214674],[0.18170189],[-0.]
43,[-0.40465303],[0.18033005],[-0.]
44,[-0.61758468],[0.26300948],[-0.]
45,[-0.39982086],[0.17580357],[-0.]
46,[-0.41280421],[0.17915632],[-0.]
47,[-0.40770723],[0.17484062],[-0.]
48,[-0.40619454],[0.16857998],[-0.]
49,[-0.39495096],[0.16516959],[-0.]
50,[-0.39986173],[0.16420249],[-0.]
51,[-0.39760334],[0.1603578],[-0.]
52,[-0.41204796],[0.16268059],[-0.]
53,[-0.40148456],[0.1564928],[-0.]
54,[-0.40131],[0.15709083],[-0.]
55,[-0.40561912],[0.15648151],[-0.]
56,[-0.3972769],[0.15233274],[-0.]
57,[-0.41221086],[0.15345465],[-0.]
58,[-0.4167735],[0.15667028],[-0.]
59,[-0.40664339],[0.14936326],[-0.]
60,[-0.41130884],[0.15307074],[-0.]
61,[-0.40242692],[0.14705136],[-0.]
62,[-0.41032679],[0.14761286],[-0.]
63,[-0.40090664],[0.14340479],[-0.]
64,[-0.40167038],[0.14311467],[-0.]
65,[-0.40923036],[0.14331219],[-0.]
66,[-0.40213258],[0.14228618],[-0.]
67,[-0.41504325],[0.14426109],[-0.]
68,[-0.39889315],[0.13780719],[-0.]
69,[-0.40947548],[0.13950173],[-0.]
70,[-0.41831927],[0.14348026],[-0.]
71,[-0.4019529],[0.13644353],[-0.]
72,[-0.40342233],[0.136398],[-0.]
73,[-0.39948665],[0.13450714],[-0.]
74,[-0.41274562],[0.13637989],[-0.]
75,[-0.41746272],[0.13874696],[-0.]
76,[-0.39997317],[0.1313868],[-0.]
77,[-0.40374197],[0.13165182],[-0.]
78,[-0.40160101],[0.130133],[-0.]
79,[-0.40311125],[0.13004386],[-0.]
80,[-0.40133326],[0.1287418],[-0.]
81,[-0.39637316],[0.12751348],[-0.]
82,[-0.39766643],[0.12700591],[-0.]
83,[-0.40219907],[0.12682375],[-0.]
84,[-0.40623084],[0.1264882],[-0.]
85,[-0.39948912],[0.1245972],[-0.]
86,[-0.40187036],[0.12562039],[-0.]
87,[-0.40664065],[0.12445919],[-0.]
88,[-0.88480411],[0.30833333],[-0.]
89,[-0.41295552],[0.12675439],[-0.]
90,[-0.40294729],[0.12226191],[-0.]
91,[-0.39979503],[0.1211216],[-0.]
92,[-0.39812172],[0.12039364],[-0.]
93,[-0.39897565],[0.11971407],[-0.]
94,[-0.40141013],[0.11923405],[-0.]
95,[-0.40105109],[0.11867623],[-0.]
