,Mean,Variance,Predictive model
0,[3.14878405],[50.35957676],[-0.72603615]
1,[21.62438969],[43.5063122],[-0.57181636]
2,[37.26977783],[21.84638263],[-0.41739953]
3,[61.16728487],[35.58380955],[-1.4794454]
4,[41.87941007],[42.92692735],[0.22398415]
5,[64.25395246],[31.30505101],[0.19062326]
6,[49.54231995],[33.5778618],[0.0193231]
7,[68.82026445],[15.84113136],[-2.94021461]
8,[-2.08081572],[49.54729448],[2.46336566]
9,[46.42613875],[27.96239714],[-0.6440015]
10,[15.24166156],[37.64322889],[1.2353129]
11,[52.10383088],[21.99443937],[3.44921302]
12,[51.37961553],[26.14807363],[2.29436477]
13,[9.3552489],[43.80822963],[0.96529767]
14,[49.91722038],[24.19722512],[4.02214953]
15,[37.07604325],[38.18148403],[3.99029282]
16,[54.01104509],[29.08826389],[5.09215081]
17,[22.38012622],[40.59257105],[6.43435899]
18,[33.69782859],[37.24479363],[4.08857076]
19,[39.92402235],[31.44254376],[3.78398407]
20,[51.36829845],[32.09796093],[5.96617942]
21,[21.18064088],[36.89334683],[5.56598611]
22,[25.03511753],[36.4122843],[6.99707651]
23,[31.56024024],[32.0171454],[5.75329079]
24,[7.88173766],[38.44465485],[8.77354698]
25,[8.49251163],[37.64293473],[6.86335848]
26,[39.08166028],[30.2969861],[3.34406152]
27,[5.58158033],[37.03327489],[9.68696732]
28,[33.53637107],[29.8491187],[10.25924786]
29,[41.37734418],[27.22663644],[11.64914078]
30,[28.38595573],[29.61233875],[6.19853714]
31,[40.13188929],[29.20376623],[11.36105924]
32,[60.58810362],[30.43828097],[18.63213429]
33,[41.30764272],[28.48056477],[12.72806314]
34,[33.47287337],[29.67119994],[14.79637258]
35,[42.64888606],[26.70615009],[7.30679363]
36,[34.90020171],[29.2811093],[13.20854359]
37,[56.15727497],[21.80936815],[27.13984409]
38,[66.97714425],[19.25359083],[22.90164913]
39,[46.2694764],[25.50024487],[33.04795828]
40,[64.11993372],[24.94784119],[20.95330314]
41,[66.43798158],[28.99547169],[16.97186586]
42,[43.12292713],[29.84827933],[25.38555762]
43,[47.39332061],[28.18149155],[18.32901243]
44,[45.26174089],[19.7690143],[32.56804401]
45,[31.65764209],[30.74297909],[15.81117735]
46,[51.54571228],[24.49816209],[21.79377955]
47,[61.10349545],[19.0864864],[19.94280407]
48,[47.0535812],[23.52667681],[22.96748214]
49,[30.90186873],[25.42869064],[30.72045256]
50,[69.16299976],[24.83576419],[16.25540391]
51,[35.04920668],[23.76344371],[30.69665583]
52,[57.29257208],[21.63036504],[20.14862066]
53,[43.37624398],[19.60812849],[23.43942816]
54,[55.16846423],[20.61204595],[25.07421919]
55,[95.70001822],[20.2655345],[29.41620691]
56,[75.91814076],[16.82761627],[49.86437662]
57,[84.04586866],[22.28609395],[29.57428843]
58,[104.29904754],[21.42269982],[52.42305541]
59,[68.76544363],[25.47045867],[65.1632663]
60,[46.05443222],[30.88383738],[65.21956483]
61,[111.83396821],[16.21679357],[54.98298441]
62,[86.60283192],[21.62083092],[66.60636996]
63,[43.15125103],[34.12013783],[34.31423851]
64,[121.52213395],[16.59821811],[110.54132113]
65,[79.24424778],[19.48585504],[59.32823848]
66,[132.1520732],[22.35402093],[68.47358085]
67,[55.60441219],[32.54395539],[65.06626531]
68,[112.35468549],[26.83934303],[100.31400182]
69,[99.24934406],[27.66234695],[63.63823455]
70,[211.6100133],[23.57225723],[98.86270002]
71,[92.62634061],[36.28363783],[97.74976305]
72,[227.65840665],[18.39834449],[27.79175637]
73,[228.75590246],[19.66423335],[110.47770546]
74,[175.04794632],[24.06096886],[75.33869041]
75,[184.87452506],[27.39606846],[64.37489698]
76,[227.15012332],[27.60840049],[77.65638356]
77,[110.05207172],[40.99932155],[93.73394006]
78,[70.32522704],[49.46122448],[100.63525581]
79,[159.59021931],[26.13332776],[102.93651631]
80,[215.13412891],[31.3913235],[109.94739127]
81,[182.54111046],[29.41308994],[79.53579963]
82,[122.27737994],[35.46658554],[107.29533692]
83,[76.84540746],[52.49455098],[117.53234971]
84,[71.460458],[44.99033467],[109.09328271]
85,[124.20366953],[32.16274729],[99.40578548]
86,[123.32400764],[31.25290897],[110.14266893]
87,[125.79228567],[35.3817093],[61.58084382]
88,[132.9878321],[36.1708879],[80.05931249]
89,[106.48101146],[40.35089466],[102.49342187]
90,[71.45908205],[47.35191702],[109.24011557]
91,[125.5350048],[33.39596263],[90.04790906]
92,[66.74472512],[34.51380736],[119.33549211]
93,[109.98654664],[34.17244428],[90.1649459]
94,[219.86176144],[22.28122228],[143.8981959]
95,[229.63243597],[29.09405888],[126.3173058]
