,Mean,Variance,Predictive model
0,[11.48191171],[0.65034176],[0.12595908]
1,[10.86723643],[1.02653633],[0.32638725]
2,[10.88336573],[1.14111538],[0.98707162]
3,[7.14762654],[2.00976606],[5.24052001]
4,[11.0434435],[1.01317741],[0.65457379]
5,[11.03895966],[0.97013751],[0.44845304]
6,[10.74945072],[0.74512268],[0.39956168]
7,[11.25077398],[0.81205351],[0.59746543]
8,[11.07958721],[0.98064722],[0.60047506]
9,[10.91765634],[1.19187412],[0.74400516]
10,[7.14089226],[2.22983536],[0.8186641]
11,[11.58681603],[0.75670661],[1.10428554]
12,[6.75942761],[2.16386757],[0.99973508]
13,[9.62179196],[1.84983551],[1.35820873]
14,[10.15188215],[1.78257089],[1.52791789]
15,[7.59314177],[2.26528614],[1.71170017]
16,[10.10268843],[1.9658969],[1.95101115]
17,[7.83871454],[2.36852148],[0.]
18,[7.73860161],[2.37980745],[0.]
19,[7.65155201],[2.37045105],[0.]
20,[7.56143997],[2.37749915],[0.]
21,[7.75470087],[2.26736823],[0.]
22,[7.46314922],[2.34211589],[0.]
23,[7.44051906],[2.29966298],[0.]
24,[10.27267806],[1.31884305],[0.]
25,[7.39626762],[2.26079651],[0.]
26,[8.20329901],[2.4613714],[0.]
27,[9.84383086],[1.60798426],[0.]
28,[9.59013278],[1.52617445],[0.]
29,[10.38775647],[1.2006814],[0.]
30,[10.43714345],[1.25989282],[0.]
31,[10.31609626],[1.16678915],[0.]
32,[10.07390621],[1.27817352],[0.]
33,[7.51748661],[2.20204845],[0.]
34,[8.44763653],[2.2898519],[0.]
35,[10.39211008],[1.14573008],[0.]
36,[10.40708822],[1.12176448],[0.]
37,[10.29832805],[1.11777671],[0.]
38,[10.30712463],[1.09631833],[0.]
39,[10.33072172],[1.02994822],[0.]
40,[10.07217521],[1.13913292],[0.]
41,[10.10666978],[1.11656232],[0.]
42,[10.20973757],[1.10385467],[0.]
43,[10.29932373],[1.08742908],[0.]
44,[10.38842107],[1.06846168],[0.]
45,[10.45294901],[1.04506026],[0.]
46,[10.51988037],[1.02152196],[0.]
47,[10.59302212],[0.98546932],[0.]
48,[9.7995602],[1.33508831],[0.]
49,[12.40578229],[1.10424856],[0.]
50,[12.55670343],[0.93540633],[0.]
51,[12.78802027],[0.86987864],[0.]
52,[13.10284372],[0.85157803],[0.]
53,[12.99070044],[0.83756415],[0.]
54,[13.07072511],[0.81662708],[0.]
55,[13.08018267],[0.79031965],[0.]
56,[13.08185894],[0.77200326],[0.]
57,[12.97934827],[0.77829023],[0.]
58,[11.95970534],[0.89123971],[0.]
59,[11.35165447],[1.16195411],[0.]
60,[11.04826398],[1.71561648],[0.]
61,[12.39674591],[1.1621918],[0.]
62,[12.85747964],[0.82408368],[0.]
63,[11.6730056],[1.24730627],[0.]
64,[12.77676317],[0.80695277],[0.]
65,[12.82733415],[0.80138759],[0.]
66,[8.12091649],[2.49106664],[0.]
67,[8.36794801],[2.40419792],[0.]
68,[7.46835105],[2.4249146],[0.]
69,[12.77760606],[0.79369374],[0.]
70,[9.18314173],[1.91657159],[0.]
71,[12.75894525],[0.78496197],[0.]
72,[12.82208671],[0.78814088],[0.]
73,[12.82686177],[0.77410946],[0.]
74,[8.10088207],[2.24470395],[0.]
75,[10.66363851],[2.4921996],[0.]
76,[12.79786159],[0.76886471],[0.]
77,[12.77770512],[0.75493285],[0.]
78,[7.92604953],[2.34444314],[0.]
79,[8.07416897],[2.24140196],[0.]
80,[8.05822493],[2.19478126],[0.]
81,[12.7481443],[0.74783139],[0.]
82,[12.7366326],[0.73810743],[0.]
83,[12.76492285],[0.73161165],[0.]
84,[12.76180611],[0.72536591],[0.]
85,[12.87129387],[0.74734274],[0.]
86,[8.97558612],[1.91443114],[0.]
87,[13.00874945],[0.79631758],[0.]
88,[13.12950192],[0.74931192],[0.]
89,[13.31184489],[0.74731688],[0.]
90,[7.36125636],[2.55778459],[0.]
91,[13.59563621],[0.7642855],[0.]
92,[13.5422824],[0.71782947],[0.]
93,[13.27156275],[1.12693795],[0.]
94,[7.99220103],[2.28224011],[0.]
95,[13.71460147],[0.86250797],[0.]
