,Mean,Variance,Predictive model
0,[6.72327393],[0.97782091],[0.08683804]
1,[7.37476089],[0.47774674],[0.13822773]
2,[8.31716878],[0.71081205],[0.19287521]
3,[7.77365043],[1.32383105],[0.20459257]
4,[8.50826714],[0.53811397],[0.23784323]
5,[7.84389206],[1.08875295],[0.32872402]
6,[6.09687563],[1.48061577],[0.28098452]
7,[8.07041797],[0.91150406],[0.53167654]
8,[8.57746132],[0.20699966],[0.45204133]
9,[8.6152043],[0.40180834],[0.61141565]
10,[5.8706403],[1.54316954],[0.75568707]
11,[6.46615987],[1.40494712],[0.90332427]
12,[8.94416924],[0.53229537],[0.89388627]
13,[7.06694089],[1.23090187],[0.97431014]
14,[6.66908017],[1.19679073],[1.18556968]
15,[6.87911411],[1.18075204],[1.33519667]
16,[7.47666442],[1.03229581],[1.40129422]
17,[7.13518019],[1.48801418],[1.70401224]
18,[7.29372693],[1.35524002],[1.64541002]
19,[7.2848815],[1.38551209],[1.77846198]
20,[7.31294841],[1.32726269],[1.90252076]
21,[7.58121824],[1.24805414],[1.91888967]
22,[7.9899179],[1.0614767],[2.44281283]
23,[8.55034584],[0.55479304],[2.79396872]
24,[6.89790915],[1.36511495],[2.65416913]
25,[7.64842853],[1.09078643],[3.06775085]
26,[8.49765175],[0.49439533],[3.33432813]
27,[9.29658853],[0.43825881],[3.58689127]
28,[9.18844938],[0.38051522],[3.69521767]
29,[7.80224514],[0.87159885],[3.70038173]
30,[8.93881833],[0.40327321],[4.05334232]
31,[7.49949104],[1.19006114],[3.50055888]
32,[9.06994365],[0.36818214],[4.56231839]
33,[8.56893989],[0.69088683],[4.47536]
34,[9.13796902],[0.35850983],[5.42443852]
35,[8.92184018],[0.37980069],[5.57592423]
36,[9.22791602],[0.03645383],[6.24666223]
37,[7.8752171],[0.57786295],[6.3760561]
38,[7.90259897],[1.21131033],[6.37207796]
39,[8.73931537],[0.8860025],[6.61276894]
40,[7.39277048],[1.29593906],[6.72215778]
41,[8.35912076],[0.93179035],[6.61430965]
42,[9.17556788],[0.58951054],[7.74726842]
43,[9.16963171],[0.17423733],[8.07700979]
44,[7.62535187],[0.80834659],[8.21252741]
45,[7.19669809],[1.27609387],[8.37452469]
46,[8.21873741],[0.54041355],[8.34827843]
47,[7.15195472],[1.17070234],[8.53737648]
48,[8.6435513],[0.76053114],[7.92691732]
49,[9.87442323],[0.47628446],[7.97236428]
50,[8.67692775],[0.57560316],[8.46093975]
51,[8.19451653],[1.17605884],[8.09328674]
52,[8.70380005],[1.05198728],[7.8764694]
53,[8.57597403],[1.05758245],[7.76642773]
54,[9.41380225],[0.4104872],[8.42523895]
55,[8.83097375],[0.92156746],[7.7095109]
56,[9.5314881],[0.35689778],[8.30144718]
57,[8.56109517],[1.08341093],[8.34244086]
58,[9.06771005],[0.80505],[7.66026968]
59,[9.3839527],[0.44932191],[8.26418761]
60,[9.32876239],[0.5927483],[8.17963494]
61,[9.69313166],[0.18274998],[8.74264294]
62,[9.27104873],[0.85952844],[8.42243472]
63,[9.4521781],[0.71928303],[8.369625]
64,[9.86385129],[0.49187714],[8.46228604]
65,[9.81515371],[0.52201606],[8.19886235]
66,[9.57282279],[0.1726338],[8.97799137]
67,[9.81156425],[0.20727109],[8.70787959]
68,[9.39104851],[0.62874654],[8.60395174]
69,[9.33823328],[0.32094275],[9.17097497]
70,[10.06983656],[0.1755107],[8.72719409]
71,[10.00790542],[0.14855929],[8.86882525]
72,[9.90588789],[0.16500959],[9.00329817]
73,[8.8823814],[0.89194201],[8.54736766]
74,[9.86464225],[0.23460774],[8.90556249]
75,[10.13739209],[0.12151621],[8.90231969]
76,[9.81735057],[0.23970092],[9.05310675]
77,[10.15700526],[0.08193767],[9.04902274]
78,[10.16364696],[0.06895856],[9.12309558]
79,[7.66673471],[1.40972572],[0.]
80,[7.73363056],[1.4419451],[0.]
81,[8.78344835],[1.24796878],[0.]
82,[9.32540512],[1.02966712],[0.]
83,[8.63395629],[1.19218112],[0.]
84,[8.22232542],[1.35478473],[0.]
85,[9.06871205],[0.91751464],[0.]
86,[9.05294835],[0.88751723],[0.]
87,[9.92327019],[0.69343282],[0.]
88,[14.96598332],[0.96911313],[0.]
89,[14.94905092],[0.72609623],[0.]
90,[14.9782192],[0.97922359],[0.]
91,[15.49983956],[0.42998252],[0.]
92,[15.6531545],[0.50450686],[0.]
93,[15.14393949],[0.57332943],[0.]
94,[15.41367723],[0.68454461],[0.]
95,[15.4423285],[0.5289173],[0.]
