,Mean,Variance,Predictive model
0,[7.45097896],[1.19068529],[0.20342658]
1,[7.36087013],[1.218018],[0.47667142]
2,[7.28179449],[1.21532494],[0.59076218]
3,[5.54661576],[1.57372071],[2.21543777]
4,[7.44685116],[1.21934339],[0.27980045]
5,[8.84563188],[1.32142697],[0.45626116]
6,[8.87054639],[1.89304663],[0.59431628]
7,[10.22783669],[0.47230735],[0.67769305]
8,[10.70582931],[1.05846578],[0.81501034]
9,[9.91366459],[1.69986849],[0.91889336]
10,[10.85861372],[1.09946851],[0.75510318]
11,[11.95775666],[0.45894436],[1.17566866]
12,[11.63999459],[0.42587704],[1.33913069]
13,[12.37010918],[0.10443206],[1.51977973]
14,[11.52433972],[0.67262753],[1.57266033]
15,[11.2016552],[0.79450928],[1.82937488]
16,[10.76787163],[1.00165064],[1.76649682]
17,[7.8452071],[2.1073418],[1.82613952]
18,[12.41996577],[0.0931196],[2.38903199]
19,[12.75704648],[0.03334368],[2.70477698]
20,[9.75466432],[1.60510294],[0.]
21,[11.73156749],[0.48463944],[0.]
22,[12.63989706],[0.32759773],[0.]
23,[7.66859425],[1.95506238],[0.]
24,[6.79678981],[2.56087768],[0.]
25,[11.38555661],[0.68085859],[0.]
26,[12.42655136],[0.27628746],[0.]
27,[7.66168121],[2.47692095],[0.]
28,[7.11806781],[2.62038737],[0.]
29,[6.58039744],[2.72901053],[-0.]
30,[6.60775204],[2.52195392],[0.]
31,[6.71057231],[2.40826181],[0.]
32,[7.60760979],[2.18748979],[0.]
33,[7.58658755],[2.02054724],[0.]
34,[12.85042475],[0.07209902],[0.]
35,[7.78497799],[2.52578448],[0.]
36,[7.31168276],[2.01158232],[0.]
37,[12.65471698],[0.1992598],[0.]
38,[8.44790887],[1.82519386],[0.]
39,[8.23487525],[1.83047563],[0.]
40,[8.32447222],[1.75428208],[0.]
41,[8.49081175],[1.58902264],[0.]
42,[7.39936084],[1.71012338],[0.]
43,[7.77295244],[1.50434518],[0.]
44,[8.20547246],[1.30949513],[0.]
45,[12.73227295],[0.17422761],[0.]
46,[12.8680861],[0.06704885],[0.]
47,[12.83421174],[0.1802405],[0.]
48,[6.86636159],[1.8888804],[0.]
49,[12.97106188],[0.1716918],[0.]
50,[7.89684492],[1.86059829],[0.]
51,[12.53575124],[0.32416666],[0.]
52,[7.95670127],[1.82818283],[0.]
53,[9.86441809],[1.09209267],[0.]
54,[8.77676473],[1.60762674],[0.]
55,[8.52640987],[1.61237544],[0.]
56,[8.20477247],[1.57378305],[0.]
57,[9.62985416],[1.15034169],[0.]
58,[12.91094226],[0.16100199],[0.]
59,[11.76459387],[0.64642293],[0.]
60,[8.17699889],[1.54310598],[0.]
61,[11.77446688],[0.37582094],[0.]
62,[11.84697882],[1.17575219],[0.]
63,[12.51233198],[0.80935323],[0.]
64,[9.02237735],[1.7868857],[0.]
65,[12.50574431],[0.68676751],[0.]
66,[11.12229969],[1.15847886],[0.]
67,[12.76314142],[1.2968582],[0.]
68,[13.17801148],[0.96543116],[0.]
69,[12.50782176],[1.19636772],[0.]
70,[14.17331951],[0.38874033],[0.]
71,[14.39282368],[1.25109803],[0.]
72,[14.92992672],[1.33285881],[0.]
73,[16.51912191],[0.29685298],[0.]
74,[16.0669246],[0.59831775],[0.]
75,[16.0424726],[0.49216993],[0.]
76,[15.03503197],[1.03211184],[0.]
77,[16.2692681],[1.21533445],[0.]
78,[18.79832611],[0.60142402],[0.]
79,[17.02206942],[0.97714743],[0.]
80,[17.14932803],[0.89376828],[0.]
81,[16.52859361],[1.11762701],[0.]
82,[16.70929269],[0.98767638],[0.]
83,[16.18588955],[1.19852102],[0.]
84,[16.66350339],[1.05211635],[0.]
85,[7.79116981],[3.13929153],[0.]
86,[16.96950144],[0.72413428],[0.]
87,[7.37752],[3.52711055],[0.]
88,[7.67312949],[3.25993783],[0.]
89,[17.11220845],[0.7308242],[0.]
90,[7.41588569],[3.27295266],[0.]
91,[16.83500863],[0.77380747],[0.]
92,[8.06928489],[3.57584319],[-0.]
93,[8.90073084],[3.18800192],[0.]
94,[8.1439314],[3.30780821],[0.]
95,[7.72526383],[3.55859473],[0.]
