,Mean,Variance,Predictive model
0,[230.23941215],[338.48936818],[2.89131483]
1,[231.93734577],[323.96294509],[3.91409292]
2,[790.6478393],[134.58854224],[12.2090115]
3,[204.91743579],[351.80678467],[16.93842479]
4,[291.62356856],[357.18286001],[0.]
5,[303.50529547],[341.41891774],[0.]
6,[339.5724279],[321.36753755],[0.]
7,[428.84912006],[292.30880884],[0.]
8,[527.32035475],[324.49653593],[0.]
9,[300.36854316],[360.04929633],[0.]
10,[541.7326461],[307.98468842],[0.]
11,[266.00455006],[388.34866693],[-0.]
12,[292.87012796],[375.33109268],[-0.]
13,[231.04931335],[387.55870173],[-0.]
14,[219.33606304],[383.03063012],[0.]
15,[266.04554866],[360.50781989],[0.]
16,[591.36862147],[284.77616883],[0.]
17,[691.82439785],[282.76253546],[0.]
18,[592.06806658],[237.96929315],[0.]
19,[939.31076829],[177.42297236],[0.]
20,[467.21553702],[293.92421408],[0.]
21,[280.21505561],[368.23962665],[0.]
22,[192.28824507],[384.135364],[-0.]
23,[196.17597146],[377.72815142],[0.]
24,[259.43507678],[363.67747085],[0.]
25,[428.79608049],[339.0086864],[0.]
26,[449.92971389],[327.36958516],[0.]
27,[439.42426539],[335.80021478],[0.]
28,[467.4270023],[338.91139282],[0.]
29,[358.62969706],[364.96338931],[0.]
30,[631.8802238],[243.70850159],[0.]
31,[280.60993657],[374.71367971],[0.]
32,[264.52909952],[373.53258323],[-0.]
33,[243.06927089],[398.71159055],[0.]
34,[234.16733029],[396.98173195],[-0.]
35,[224.63630467],[397.14226071],[-0.]
36,[813.25327755],[168.53162617],[0.]
37,[230.82874317],[399.49053808],[-0.]
38,[219.86979179],[398.90545473],[-0.]
39,[215.47118455],[396.03195382],[-0.]
40,[209.7809714],[393.53895697],[-0.]
41,[193.64010006],[404.10120737],[0.]
42,[183.07499195],[403.86919568],[0.]
43,[177.52209631],[401.8742303],[-0.]
44,[176.87226061],[397.98225895],[-0.]
45,[498.63652311],[268.7850253],[0.]
46,[317.96490246],[346.49701558],[0.]
47,[184.32179038],[396.87877017],[-0.]
48,[175.77479034],[396.91250965],[-0.]
49,[171.5267092],[395.16054945],[-0.]
50,[512.39815419],[337.73032844],[0.]
51,[518.91633287],[335.89028785],[0.]
52,[346.11095905],[349.26059749],[0.]
53,[184.06127614],[395.97082373],[0.]
54,[182.00746149],[392.46620126],[0.]
55,[171.47983178],[391.59867946],[-0.]
56,[166.37409051],[389.38801408],[0.]
57,[166.35992058],[385.84769963],[0.]
58,[162.63913485],[383.80923436],[-0.]
59,[149.7073779],[386.79614114],[0.]
60,[138.79823708],[387.73807702],[-0.]
61,[131.10130779],[387.27231539],[-0.]
62,[139.95217645],[380.79639469],[0.]
63,[141.86437911],[377.47829214],[-0.]
64,[117.43605493],[378.84225007],[0.]
65,[562.31698042],[297.6903893],[0.]
66,[653.83362433],[231.78227285],[0.]
67,[517.06351728],[267.52800983],[0.]
68,[469.7052648],[294.01264823],[0.]
69,[309.90697488],[326.99056987],[0.]
70,[143.33952469],[384.18464129],[-0.]
71,[339.43912874],[306.00766098],[0.]
72,[307.11267667],[333.82176221],[0.]
73,[262.96234726],[344.99460441],[0.]
74,[133.37859532],[384.1534498],[-0.]
75,[118.41289004],[383.81725738],[0.]
76,[114.63245994],[383.57457614],[0.]
77,[104.97847586],[379.15743154],[0.]
78,[91.45081604],[380.24733388],[-0.]
79,[196.54730087],[337.18867147],[0.]
80,[113.44998008],[368.83844439],[0.]
81,[821.34626977],[92.60821906],[0.]
82,[93.0222088],[373.42721876],[-0.]
83,[69.36432489],[379.14844495],[-0.]
84,[112.61715223],[360.06843926],[0.]
85,[395.66100594],[245.45707298],[0.]
86,[716.27937648],[131.60070015],[0.]
87,[156.41506579],[346.33915762],[0.]
88,[609.27592914],[168.78469184],[0.]
89,[77.90401929],[373.71102581],[-0.]
90,[148.40316671],[345.38440944],[0.]
91,[104.86650908],[357.97876462],[-0.]
92,[72.47877226],[367.46084993],[-0.]
93,[52.04688432],[372.64605085],[-0.]
94,[52.5152578],[371.10782223],[-0.]
95,[568.91087301],[168.82723765],[0.]
