,Mean,Variance,Predictive model
0,[0.9471521],[0.30095632],[0.01074263]
1,[1.96182268],[0.4347963],[0.02668854]
2,[2.06025114],[0.40291828],[0.03399954]
3,[2.0186058],[0.38103489],[0.04502178]
4,[2.13092694],[0.36092766],[0.05908509]
5,[2.1137225],[0.3436386],[0.0740244]
6,[2.04268838],[0.35634852],[0.08871766]
7,[0.91043793],[0.52288273],[0.08773149]
8,[0.91434356],[0.50750828],[0.10083945]
9,[2.07278764],[0.32104052],[0.08826701]
10,[2.12091023],[0.29167877],[0.12117615]
11,[2.17947064],[0.29698485],[0.14105373]
12,[1.9095606],[0.38325478],[0.18618233]
13,[2.158497],[0.29684314],[0.16475892]
14,[2.04070382],[0.32418092],[0.17250818]
15,[2.11777035],[0.29775359],[0.22461396]
16,[2.09874964],[0.29407811],[0.16664007]
17,[2.10524712],[0.28698489],[0.2390166]
18,[2.04328869],[0.29996012],[0.26621618]
19,[1.9593609],[0.32263001],[0.31476475]
20,[2.16365301],[0.22973548],[0.25291532]
21,[2.0314611],[0.29512064],[0.30515924]
22,[1.68075999],[0.41006269],[0.42411551]
23,[2.10287134],[0.36506759],[0.36008743]
24,[2.17171412],[0.29303895],[0.51026811]
25,[2.51052499],[0.35494941],[0.62355068]
26,[1.90431713],[0.48632941],[0.69203403]
27,[2.41834583],[0.24564482],[0.71322557]
28,[1.18693804],[0.60835252],[0.90641676]
29,[2.73251681],[0.40080321],[0.48079316]
30,[2.41093896],[0.47808772],[0.44591646]
31,[1.79766192],[0.5635159],[0.59900121]
32,[2.79729787],[0.29913165],[1.0224716]
33,[1.2145357],[0.61521752],[1.29062619]
34,[1.31628735],[0.6004488],[1.31115785]
35,[2.09992316],[0.48232935],[0.91770385]
36,[1.24054372],[0.62042717],[1.47398372]
37,[2.48142689],[0.36459574],[1.11629914]
38,[1.58358878],[0.52097902],[1.37351697]
39,[1.79957074],[0.54594441],[1.55350967]
40,[2.0952475],[0.45762796],[1.40697087]
41,[1.75792583],[0.55288967],[1.38635541]
42,[1.22966612],[0.59439392],[1.84927527]
43,[1.27437045],[0.59748],[1.89721332]
44,[2.37350667],[0.29907644],[1.61761764]
45,[2.02396961],[0.50815049],[1.53899962]
46,[2.99533812],[0.22344306],[1.8170951]
47,[1.97781482],[0.58163598],[1.66405469]
48,[2.2370203],[0.5808823],[2.06501231]
49,[3.38220029],[0.36887083],[2.04054554]
50,[2.46563478],[0.48763503],[1.97315676]
51,[1.98526601],[0.5352468],[1.98982779]
52,[2.1613592],[0.56931857],[2.15251894]
53,[2.48503907],[0.57146807],[1.74190798]
54,[3.37094884],[0.44581585],[1.68373902]
55,[2.22354276],[0.50624364],[2.20172328]
56,[1.91147579],[0.65927099],[2.32093656]
57,[2.57463662],[0.57268345],[2.01810314]
58,[2.10248162],[0.63973273],[1.77366749]
59,[2.25836386],[0.49429311],[1.90246508]
60,[1.38408101],[0.70974032],[1.85970238]
61,[1.59950882],[0.65208512],[1.96903279]
62,[1.6692629],[0.73102112],[2.18393187]
63,[1.81681857],[0.69220146],[2.04311063]
64,[2.86655255],[0.43160634],[1.84833543]
65,[3.11605749],[0.28870512],[2.4606742]
66,[1.44484868],[0.78645486],[2.11103153]
67,[1.6852486],[0.72641292],[2.18839311]
68,[2.93471286],[0.48702528],[1.3080454]
69,[3.67135976],[0.29951326],[2.45480771]
70,[3.59555227],[0.43408117],[1.76279252]
71,[2.58711051],[0.5342438],[2.12519216]
72,[1.70696829],[0.73351664],[2.39532405]
73,[2.61891138],[0.62418836],[2.21410018]
74,[2.39840245],[0.66240388],[2.00034879]
75,[1.49867865],[0.79271109],[2.20370233]
76,[2.38004435],[0.58572205],[2.06577926]
77,[3.31065185],[0.46222587],[2.11113762]
78,[3.66688316],[0.47324854],[2.54441205]
79,[4.23586826],[0.2468681],[2.26513889]
80,[3.02691176],[0.37368459],[3.93654684]
81,[2.88289208],[0.5677966],[2.6521062]
82,[2.27729763],[0.71190553],[3.31935507]
83,[3.62670103],[0.48244679],[2.67222044]
84,[2.84469656],[0.75251599],[2.55583932]
85,[2.8777017],[0.70446469],[2.60260036]
86,[3.68762286],[0.34560416],[2.3319998]
87,[1.49186461],[0.84110481],[2.85536574]
88,[4.17034947],[0.32252208],[2.61211607]
89,[2.05671114],[0.73212369],[2.75636889]
90,[3.57141328],[0.40346112],[2.5414323]
91,[2.98326147],[0.55779663],[2.41166893]
92,[2.94944842],[0.54246632],[2.22680372]
93,[3.22502201],[0.60143404],[2.31026202]
94,[4.16521401],[0.55060056],[1.16815657]
95,[2.66170002],[0.70541187],[3.36633584]
