,Mean,Variance,Predictive model
0,[-18797.16538532],[288461.22597241],[-2261.88191595]
1,[35168.34351238],[56505.2960201],[-1944.42137659]
2,[-272125.59170812],[95861.56713559],[-2998.9875161]
3,[-24515.19495613],[55026.2612493],[-7224.70322053]
4,[-159118.17261364],[251386.77827416],[-14324.2068605]
5,[-5416.01702517],[28984.50629242],[-1721.53621139]
6,[-12273.22419194],[31531.25464523],[-515.76322505]
7,[-60777.49355812],[36133.77821],[-9932.42343923]
8,[-156469.58647144],[306999.71388284],[-518.63978196]
9,[-125466.00415754],[297532.49929053],[-1161.11825304]
10,[-32739.82470925],[31558.79437341],[-2405.85423882]
11,[694.6859398],[17156.65195859],[-1124.30157918]
12,[-46125.45638229],[19595.8548496],[-3698.67285502]
13,[-4589.39563734],[9660.27818621],[-2308.05706941]
14,[-134885.30905872],[274926.67144258],[-1224.62265686]
15,[-4317.95783084],[9075.46788703],[-2134.37408576]
16,[-6491.49126481],[9909.81864927],[-2631.93590385]
17,[-2896.29228125],[6838.55607388],[-1514.52570943]
18,[-84296.56039984],[254280.04076182],[-1945.91029589]
19,[-8444.25376644],[9170.33260941],[-1994.71571888]
20,[-8924.3322313],[6844.30758325],[-2299.23830239]
21,[-2545.39167684],[5155.34006069],[-2391.1822372]
22,[-5912.2568346],[4822.33353803],[-2051.80413832]
23,[-864.35058129],[3504.23627525],[-2400.638412]
24,[-20138.85367185],[7390.76691304],[-3871.22279481]
25,[-1061.18627904],[3104.03947997],[-2300.14666882]
26,[-7842.55884761],[4471.2983186],[-2826.32903342]
27,[2700.30564314],[22535.17928326],[-5561.85371012]
28,[-6696.3216577],[4380.15758997],[-3938.57261159]
29,[-1438.53035725],[3223.57997339],[-2759.69930146]
30,[-532.24255188],[2891.4668348],[-3650.69912942]
31,[-22451.33210223],[8344.28866609],[-5755.40735289]
32,[-1403.64089707],[3951.4983188],[-4800.12176153]
33,[-4979.04038367],[4040.67875218],[-4029.03367992]
34,[-452.56773888],[3268.58746712],[-4367.88827223]
35,[-3595.21830105],[3625.01081418],[-4376.76568724]
36,[-1980.34514066],[3098.67654791],[-3923.02403428]
37,[-4535.17278164],[3487.23347241],[-4681.52024101]
38,[-1128.13568267],[2799.79472675],[-3823.22442883]
39,[-1828.5110302],[2848.72890109],[-5179.70414026]
40,[-4435.46005062],[4377.47859241],[-5513.39012088]
41,[-1159.91796046],[2641.06620974],[-4907.27451739]
42,[-3874.75059794],[3090.17974763],[-5256.82569119]
43,[-1035.40513218],[2481.89753502],[-5258.57879449]
44,[-2261.34839157],[3080.28446991],[-6036.16528]
45,[-3452.98843189],[3155.58966027],[-5068.58749372]
46,[-23180.33639206],[7159.12721583],[-6881.99304799]
47,[-9141.16939117],[4246.53475589],[-5674.55684506]
48,[-1922.89676128],[2860.15506502],[-5571.54592358]
49,[-2370.3150079],[2952.37036941],[-6374.96640741]
50,[-4652.95941144],[3580.24445521],[-8135.98445305]
51,[-2537.31531053],[2613.78645519],[-5323.78821433]
52,[-13522.6094274],[4699.99219412],[-5815.70250431]
53,[-1883.56835847],[2088.76680583],[-5565.34131512]
54,[-1784.68710693],[2025.1515373],[-5681.13515145]
55,[-1394.18031587],[1958.91787566],[-5444.59842442]
56,[-3230.5257226],[1980.14821587],[-6025.7958584]
57,[-160.88676395],[1050.63657214],[-5135.19677808]
58,[-278.61884],[1115.03362257],[-4818.95359469]
59,[-3842.31264495],[2388.70189178],[-6378.41527304]
60,[-933.03979788],[1091.20518224],[-5039.60562254]
61,[669.68549945],[806.75645605],[-4729.92324227]
62,[-7943.22695506],[2566.24553757],[-4466.55567499]
63,[-190.47889134],[950.65716105],[-4345.47504729]
64,[-3197.58697791],[1539.25774397],[-4954.86784881]
65,[-1997.52640715],[1310.1291499],[-4437.55644136]
66,[-374.52367793],[926.08616364],[-4595.06232785]
67,[-3796.3374628],[1668.6603746],[-4614.97341913]
68,[-210.64297034],[875.65667245],[-4439.49822811]
69,[385.2980203],[751.73888521],[-4412.7395258]
70,[123.0165442],[757.50985127],[-4131.73100052]
71,[-153.06111629],[779.90456167],[-4001.92486896]
72,[-11.41401324],[763.56617065],[-4499.76875435]
73,[-320.4767516],[786.35232153],[-3522.20857025]
74,[-634.58337161],[955.77578172],[-4214.71975473]
75,[-1130.08687938],[944.79571957],[-4286.70602462]
76,[356.08721151],[642.54283149],[-4145.41132606]
77,[447.3893616],[612.55525956],[-3464.85590002]
78,[-7240.25641588],[2207.7255426],[-4622.30211094]
79,[-1384.77768778],[983.3831205],[-4123.25797721]
80,[386.76917429],[593.10485671],[-3255.54515213]
81,[-519.20979296],[774.93967002],[-3550.51516722]
82,[354.3457364],[623.30353501],[-3500.79678975]
83,[-893.95227706],[830.92519414],[-3809.46803191]
84,[464.81772773],[559.45595558],[-3735.270248]
85,[-132.5148653],[663.61000565],[-3091.24858026]
86,[434.4850255],[562.38187832],[-3312.20588498]
87,[472.3786098],[543.49448899],[-3378.71744798]
88,[-34.55185466],[620.30945685],[-3715.72498865]
89,[454.13897833],[564.36388827],[-3046.36974622]
90,[211.94387244],[565.53872871],[-3051.29095816]
91,[-98.99110934],[633.30249815],[-2916.58271666]
92,[357.10280469],[541.83407428],[-2965.22915072]
93,[244.99351134],[558.55128038],[-3164.43529109]
94,[467.00053417],[504.12608284],[-2710.30039003]
95,[-897.8738392],[782.2501868],[-3101.14650594]
