,Mean,Variance,Predictive model
0,[688.63783939],[195.42960032],[3.92734595]
1,[468.23124797],[269.57497],[4.22469287]
2,[358.57530457],[290.62060571],[10.76709308]
3,[361.25576349],[270.72532601],[10.67539486]
4,[249.69070076],[291.02508247],[18.05271079]
5,[281.94466942],[280.58323969],[13.4296872]
6,[206.30248754],[302.5125444],[13.69812344]
7,[328.86268496],[270.12733644],[9.4288639]
8,[124.78171782],[278.82942337],[14.60467454]
9,[590.05225755],[185.60677691],[26.91119156]
10,[238.72976247],[279.77678326],[30.622239]
11,[210.30518635],[297.40136832],[0.81681006]
12,[247.62327033],[291.04719121],[43.58152567]
13,[422.70789875],[275.520361],[75.72437502]
14,[580.75967421],[145.60310362],[59.86802887]
15,[447.82727752],[307.72377787],[23.95389524]
16,[792.01265321],[48.9443398],[131.60839281]
17,[283.86315297],[327.05394926],[152.61705862]
18,[224.56878201],[329.58866698],[6.83700776]
19,[403.97743385],[254.24891951],[53.01021903]
20,[334.78772098],[275.27465464],[97.18548695]
21,[251.53318909],[327.13603522],[15.3439695]
22,[407.47621914],[237.24137398],[118.21313352]
23,[621.03747899],[120.43841216],[171.07819641]
24,[778.69458314],[71.32905539],[170.28734621]
25,[682.71243106],[97.87957745],[245.69038867]
26,[633.78178856],[99.65901498],[265.88330684]
27,[827.48847438],[11.21154322],[289.53486119]
28,[826.04980542],[15.28782956],[332.64956447]
29,[817.57213223],[8.06721563],[347.7943786]
30,[279.88455944],[356.30473139],[-0.]
31,[253.55179889],[382.44828634],[-0.]
32,[173.66446963],[362.82774674],[-0.]
33,[178.30815766],[333.0593172],[0.]
34,[159.62446253],[376.60267873],[0.]
35,[218.04143037],[303.79277284],[0.]
36,[71.73470286],[376.61110348],[-0.]
37,[6.62720942],[386.10451723],[-0.]
38,[347.8474382],[246.6904724],[0.]
39,[-97.29588323],[386.83712537],[-0.]
40,[56.51387519],[321.934889],[-0.]
41,[10.27743549],[330.28318524],[-0.]
42,[817.29309212],[7.62294681],[0.]
43,[830.84751947],[2.30442006],[0.]
44,[830.39594971],[3.7862126],[0.]
45,[830.32142612],[1.82239723],[0.]
46,[832.46047656],[2.44870269],[0.]
47,[833.51639866],[2.59410366],[0.]
48,[826.74205854],[1.66516396],[0.]
49,[820.17333195],[3.81668419],[0.]
50,[823.16315172],[2.10606654],[0.]
51,[829.98709527],[1.97669645],[0.]
52,[821.42770697],[1.9122037],[0.]
53,[834.27884485],[1.72826307],[0.]
54,[831.44049977],[1.58996783],[0.]
55,[827.93292852],[1.95971505],[0.]
56,[827.16752452],[1.69005903],[0.]
57,[830.34631857],[1.58320204],[0.]
58,[830.20376999],[1.78812986],[0.]
59,[835.99940998],[1.70735005],[0.]
60,[831.10199096],[1.54840761],[0.]
61,[828.98576642],[1.65102187],[0.]
62,[819.97040099],[2.13241035],[0.]
63,[833.53356179],[1.55160199],[0.]
64,[823.29551994],[1.8540188],[0.]
65,[818.87162152],[2.12918369],[0.]
66,[832.36090357],[1.56215805],[0.]
67,[835.56974568],[1.59080736],[0.]
68,[834.35387901],[1.80644217],[0.]
69,[832.3804179],[1.92582559],[0.]
70,[833.08269886],[1.4993019],[0.]
71,[834.09288752],[1.50155639],[0.]
72,[833.67703085],[1.48817075],[0.]
73,[821.55398231],[1.70568806],[0.]
74,[829.40273601],[1.53210924],[0.]
75,[835.91985355],[1.50646536],[0.]
76,[822.6592182],[1.63818615],[0.]
77,[822.98908476],[1.60091435],[0.]
78,[835.38648711],[1.62046698],[0.]
79,[830.93817589],[1.54626939],[0.]
80,[827.91671767],[1.47333166],[0.]
81,[831.48368948],[1.52448985],[0.]
82,[829.03216917],[1.47875854],[0.]
83,[825.44185492],[1.60397068],[0.]
84,[828.05818666],[1.50748324],[0.]
85,[830.43318291],[1.48856227],[0.]
86,[831.62611563],[1.4411517],[0.]
87,[826.13487271],[1.47274343],[0.]
88,[831.38431182],[1.41243493],[0.]
89,[833.86960956],[1.45207051],[0.]
90,[827.07240263],[1.93697346],[0.]
91,[829.41980161],[1.42151679],[0.]
92,[826.96393018],[1.49019148],[0.]
93,[829.23214391],[1.44825749],[0.]
94,[824.10830081],[1.48759619],[0.]
95,[830.55206247],[1.4454878],[0.]
