,Mean,Variance,Predictive model
0,[-266277.60853332],[299251.3497066],[-334.46762436]
1,[-204944.92850265],[290969.458123],[-941.02379986]
2,[-197544.67745251],[286967.25638436],[-165.60988592]
3,[-127342.18542758],[135171.49561073],[-3800.13209007]
4,[-212206.92780251],[256775.79398064],[-3948.52532552]
5,[-169609.55510727],[239705.83144041],[-1911.86580702]
6,[-104726.11912394],[217998.40270617],[-785.26892635]
7,[-77198.03530347],[62022.44358178],[-1658.78062621]
8,[-154977.70766569],[215532.56343865],[-18456.4860249]
9,[-10989.95147568],[90940.68086566],[-16321.61851301]
10,[-206259.77425175],[201729.75754225],[-21700.28367752]
11,[-7857.2518855],[32987.31782377],[-897.55786008]
12,[-78780.48040264],[153608.10412132],[-5795.16504353]
13,[-92104.01777098],[221413.31338711],[-1138.23898185]
14,[3202.22709244],[126439.32783336],[-3172.77322929]
15,[-282419.64729252],[177932.62246981],[-25420.33257289]
16,[-124706.84914705],[188394.57544621],[-74876.95356786]
17,[-119946.3269455],[240735.70831023],[-1635.86449527]
18,[-196936.94940303],[118456.84702007],[-13727.55232328]
19,[5504.41111564],[48109.00575967],[-9692.26477752]
20,[-2417.18452699],[17918.47302011],[-11484.32323213]
21,[-7999.43843804],[16454.12285675],[-4873.41008435]
22,[710.73526745],[9902.21876235],[-3672.217634]
23,[-66904.07853064],[215033.44106839],[-5116.09218385]
24,[-85397.84671388],[215984.95537208],[-4316.7918438]
25,[-7400.1848664],[10162.50620664],[-3723.42009395]
26,[-83234.282355],[212314.79257736],[-3422.6785587]
27,[-10622.03942813],[11356.47169869],[-10458.33731681]
28,[-2428.86934451],[6904.59824646],[-5569.27567434]
29,[-11390.3193835],[9287.70255458],[-6937.44521589]
30,[-6299.78585023],[6942.08132082],[-4554.63612954]
31,[-63292.98027216],[196258.52802236],[-5454.91037465]
32,[-12906.39332665],[9622.19508435],[-6037.74401991]
33,[-66236.97084345],[197310.90983337],[-4772.2031094]
34,[-5534.83071261],[5796.62396763],[-5337.56717976]
35,[-5753.31808368],[5876.03431251],[-5694.60305355]
36,[-5701.56617806],[5231.90521864],[-6191.0430075]
37,[-4359.3702356],[4941.9658307],[-6654.84695685]
38,[16247.19180287],[33916.18822802],[-12196.95208792]
39,[-5180.82804042],[4896.44533257],[-6340.22252912]
40,[-9161.86924342],[6889.09423821],[-11247.73007778]
41,[-25543.70429295],[8615.83411341],[-8756.53416772]
42,[-13847.35655535],[6146.2952529],[-9129.71038457]
43,[-7002.33396094],[4175.40559546],[-8800.64464171]
44,[-2648.41762085],[2883.98367915],[-9037.94839609]
45,[-6436.72031764],[3730.19199919],[-8867.30231766]
46,[-2760.72252937],[2628.80295931],[-8392.80980329]
47,[-1501.83702877],[2020.71603455],[-7983.0484834]
48,[-351.84911756],[1675.67509766],[-7896.36736655]
49,[-3150.25262196],[2346.11574618],[-8022.72122806]
50,[-10908.78751686],[3711.48523658],[-8236.57517739]
51,[-1261.36792732],[1733.787514],[-8042.62711]
52,[7.48934574],[1454.71344902],[-7900.98690469]
53,[-2177.9416868],[1820.42151253],[-6883.9442403]
54,[-2900.44552233],[2494.12088911],[-10839.02167921]
55,[-1008.56606683],[1508.54329754],[-6850.36468342]
56,[-4265.11405387],[4875.06842337],[-6651.41777378]
57,[-2040.63249018],[4429.81316021],[-6276.79047165]
58,[-4811.46756208],[2171.86426245],[-6870.37966549]
59,[-5576.36718074],[2249.02317919],[-6728.28098683]
60,[-395.71831976],[1085.74558749],[-6706.08894064]
61,[-1014.41498053],[1080.90287249],[-6584.16689167]
62,[-7975.17650101],[2582.49415236],[-6212.42396851]
63,[-1444.14026715],[1120.90755132],[-6112.1879852]
64,[-403.54296087],[908.77988248],[-6925.25142642]
65,[-2903.70457207],[1254.56539958],[-6913.93072281]
66,[-1893.81795909],[1168.9338037],[-6250.98706758]
67,[-1047.99120559],[1274.1385666],[-5695.03065845]
68,[-9842.95031923],[6919.29760177],[-21694.39551194]
69,[-29.17955661],[1318.61039576],[-7299.13356364]
70,[-1416.76131125],[1266.68774588],[-5907.53576437]
71,[149.9491603],[865.02307959],[-5887.77173809]
72,[118.2222752],[845.8962297],[-5334.52689299]
73,[104.46062749],[842.92276255],[-5665.17710731]
74,[-154.90359239],[830.78027431],[-5603.22449656]
75,[-122.35800463],[790.26224851],[-5653.90299061]
76,[-102.03633465],[750.67126778],[-5907.08514402]
77,[877.8160403],[685.58831055],[-5230.95537382]
78,[-1697.04064404],[1045.96654132],[-4901.88598403]
79,[6.60747736],[715.1910847],[-4898.16460538]
80,[213.79368732],[688.77689913],[-4727.58881243]
81,[242.17946562],[621.8607718],[-5055.30131182]
82,[-776.01818433],[867.7623629],[-4528.43132172]
83,[-988.4585621],[878.88308481],[-4331.60891356]
84,[178.38303397],[619.75028276],[-4843.45955779]
85,[-209.40806754],[691.81050957],[-4759.93191093]
86,[19.90478428],[639.67487915],[-4818.80325537]
87,[453.16619723],[595.38447652],[-4618.47382325]
88,[-398.40686734],[689.34046395],[-4407.52625432]
89,[189.68643035],[564.38936143],[-4482.5852692]
90,[221.19329022],[574.16854628],[-4219.78057808]
91,[-336.83528333],[668.62731784],[-3984.87667716]
92,[-759.26130719],[744.63042429],[-3927.14901411]
93,[-248.55631106],[642.21581113],[-4372.75043689]
94,[523.92043175],[498.33102206],[-4212.32456895]
95,[22.71624044],[567.85391977],[-4350.21208282]
