,Mean,Variance,Predictive model
0,[7.81306121],[0.67497693],[0.09710518]
1,[8.04435434],[0.4973317],[0.16775377]
2,[8.47748639],[0.35805935],[0.26165708]
3,[8.1529107],[0.57748386],[0.72279909]
4,[7.02783769],[1.47174633],[0.36934153]
5,[8.84923971],[0.65112837],[0.33253226]
6,[8.36245772],[0.81846587],[0.46649372]
7,[8.56522778],[1.22383281],[0.52777696]
8,[10.43562032],[0.93977313],[0.69592245]
9,[10.59030316],[0.84922412],[0.6423191]
10,[10.80021509],[0.55926428],[0.91538291]
11,[10.14744173],[0.54036991],[0.71745872]
12,[6.62694069],[1.88817778],[0.75305442]
13,[11.58689808],[0.21497457],[1.35570965]
14,[10.88422153],[0.56811719],[1.50135741]
15,[8.28957409],[1.70869632],[1.75498685]
16,[7.60395169],[2.04197785],[1.20267027]
17,[7.58896167],[1.65124579],[1.82574295]
18,[10.74394803],[0.86454999],[2.09777717]
19,[11.15871075],[1.03731756],[2.23676719]
20,[11.38792686],[0.44312122],[2.61997613]
21,[8.5952735],[1.68003954],[2.65678771]
22,[11.960497],[0.12743696],[3.07214974]
23,[11.00467039],[0.68118501],[3.00396238]
24,[7.2229093],[2.18366538],[3.0434581]
25,[11.39741223],[0.39699327],[3.30634161]
26,[7.41918829],[2.11185772],[2.89698892]
27,[7.68822058],[1.52530177],[4.07875312]
28,[8.51094535],[1.5995348],[4.39140998]
29,[9.31363312],[1.03079815],[4.1381041]
30,[8.6893602],[1.28802296],[4.37243231]
31,[10.38491785],[1.21329957],[5.03975801]
32,[10.95269147],[1.72793922],[6.22015534]
33,[11.31252636],[0.96571423],[5.90494266]
34,[12.22409632],[0.40469466],[6.41409841]
35,[7.41895995],[2.16549025],[5.87536657]
36,[11.22692746],[1.26947026],[6.54456305]
37,[8.52043553],[1.95292245],[7.10509533]
38,[12.040576],[0.77861245],[7.35140321]
39,[11.0305886],[0.55231111],[8.33784537]
40,[8.37590707],[1.81324595],[7.98251239]
41,[11.85297846],[0.77074909],[8.63150592]
42,[9.77896691],[2.06896013],[9.79839991]
43,[8.81727306],[2.2147245],[9.63889596]
44,[12.26186148],[0.56568986],[9.82090536]
45,[8.61056771],[2.00061192],[10.13252834]
46,[8.53793854],[2.13343645],[8.81039969]
47,[8.37579891],[1.73074895],[10.17129448]
48,[12.72839682],[0.12063007],[10.20044813]
49,[11.23571304],[0.91856611],[10.60369717]
50,[8.4529242],[2.0950618],[9.4477972]
51,[8.54439552],[2.10149278],[9.2384655]
52,[8.58986103],[2.02566078],[9.1214676]
53,[8.26020303],[2.13206543],[9.04000555]
54,[8.12075229],[1.84946276],[9.50679418]
55,[12.36430542],[0.25400039],[10.07770691]
56,[8.6527635],[1.95145077],[9.87336271]
57,[9.54542779],[1.37248445],[10.10978515]
58,[8.56279402],[1.98042237],[8.80193871]
59,[8.59019754],[1.90341964],[8.90589134]
60,[11.60498479],[0.81453925],[9.47878351]
61,[10.20924109],[1.77563371],[11.10315587]
62,[8.92045862],[2.12112773],[10.51630187]
63,[8.8966817],[2.02249253],[10.4846795]
64,[8.88567806],[2.09181652],[10.22196602]
65,[10.48907561],[1.43910505],[10.15570523]
66,[8.9124833],[2.03611185],[9.92371814]
67,[8.78733867],[2.02626619],[9.94192031]
68,[8.51255547],[2.02228631],[9.81649116]
69,[8.60967078],[1.93607385],[9.92885039]
70,[8.52576334],[2.0418607],[9.65303771]
71,[11.08945239],[1.07994694],[9.80491428]
72,[10.0025773],[1.82458922],[10.50124084]
73,[8.82094884],[2.04491997],[10.50064535]
74,[8.74463705],[2.08969969],[0.]
75,[8.7978824],[2.04298496],[0.]
76,[8.43316184],[2.21570676],[0.]
77,[8.4248721],[2.18986361],[0.]
78,[11.31360728],[0.95714669],[0.]
79,[8.72027372],[1.97863764],[0.]
80,[11.74424952],[0.78670797],[0.]
81,[11.72222469],[0.73517377],[0.]
82,[11.82240487],[0.72334711],[0.]
83,[11.89090243],[0.70943181],[0.]
84,[11.92859607],[0.69414228],[0.]
85,[11.96230313],[0.71226259],[0.]
86,[12.13952868],[0.71747219],[0.]
87,[12.21453625],[0.71227138],[0.]
88,[12.49656185],[0.7480217],[0.]
89,[12.78513492],[0.74495502],[0.]
90,[13.09519774],[0.74427225],[0.]
91,[13.30412322],[0.70257145],[0.]
92,[13.21117469],[0.71802838],[0.]
93,[12.69916735],[1.09866422],[0.]
94,[13.3953571],[0.70706782],[0.]
95,[13.61926037],[0.70690499],[0.]
