,Mean,Variance,Predictive model
0,[5.73037048],[1.48894535],[0.05812221]
1,[7.75091295],[1.42078275],[0.1616767]
2,[7.75488447],[1.52388259],[0.27076617]
3,[6.1716978],[1.78828971],[0.48259299]
4,[6.98393136],[1.57634333],[0.34724504]
5,[7.95817034],[1.33522349],[0.40176142]
6,[7.91139893],[1.32196458],[0.39889596]
7,[7.65430221],[1.41694817],[0.42991362]
8,[6.65555993],[1.73542808],[0.62679717]
9,[6.44974987],[1.69843166],[0.63168171]
10,[6.52722109],[1.64608134],[0.71614332]
11,[6.89484451],[1.65936953],[0.87687202]
12,[8.42742584],[0.98498968],[0.98998289]
13,[6.44300151],[1.73387534],[0.92553799]
14,[6.36804746],[1.61681762],[1.25558529]
15,[8.86876686],[1.03280053],[1.17493419]
16,[8.68029181],[0.93160648],[1.47190853]
17,[8.31760081],[0.93555215],[1.49286024]
18,[9.39103798],[0.37703366],[1.86953946]
19,[7.71582107],[1.39767198],[1.87004089]
20,[7.75351605],[1.50374858],[2.19381053]
21,[7.17741584],[1.33546678],[1.84331676]
22,[7.91600532],[1.50730056],[2.68779444]
23,[8.10192093],[1.50142803],[2.82512151]
24,[7.69744482],[1.61738074],[3.05454859]
25,[8.30441584],[1.46765878],[3.17022495]
26,[8.14199999],[1.44694938],[2.40478008]
27,[8.19738296],[1.49914984],[3.56128679]
28,[9.23913111],[0.77273201],[3.61052105]
29,[9.2090008],[0.71734311],[3.93022414]
30,[8.32921589],[1.16103048],[3.84847181]
31,[9.25634352],[0.68316568],[3.95482602]
32,[11.60363024],[0.80472223],[5.3847875]
33,[12.21241137],[0.56973143],[5.39799356]
34,[12.42089638],[0.26792309],[6.18604307]
35,[11.87206604],[0.50491211],[6.80162488]
36,[9.34235483],[1.43135519],[7.74458852]
37,[12.1700987],[0.61694779],[7.07092202]
38,[12.86537967],[0.16304442],[7.86627166]
39,[9.23765979],[1.00826422],[9.00436319]
40,[12.7894235],[0.15259265],[8.703321]
41,[12.85359355],[0.19545064],[9.24704258]
42,[13.15989002],[0.26248697],[9.90970121]
43,[13.09925693],[0.1681662],[10.68879262]
44,[9.54809517],[2.17107321],[11.62000271]
45,[8.59513795],[2.42770515],[11.95212187]
46,[8.82357144],[2.34586718],[11.39620913]
47,[9.56390015],[2.02997918],[10.63203147]
48,[8.9808153],[2.23715808],[10.45934417]
49,[9.64161005],[2.08266379],[10.43128865]
50,[8.74792866],[1.85281527],[11.53529873]
51,[10.02871006],[1.9745907],[10.08880318]
52,[9.08530361],[2.33011223],[11.582458]
53,[10.87260465],[1.27254584],[10.79954649]
54,[10.40771164],[1.61579997],[10.23434195]
55,[8.21447776],[2.35050768],[10.09089666]
56,[10.06945455],[1.28121984],[10.76225958]
57,[13.27050053],[0.36494749],[10.05750149]
58,[13.11987434],[0.28834477],[10.47085348]
59,[8.60057438],[2.21362269],[10.29542134]
60,[9.37045134],[2.07983593],[9.38654377]
61,[8.57533164],[2.27228539],[9.94722559]
62,[8.63498966],[1.99337522],[10.64047874]
63,[8.5736794],[1.83458253],[10.7924585]
64,[10.05131752],[1.63392375],[9.26577968]
65,[10.00107484],[1.81054048],[8.85002075]
66,[8.09869669],[2.14544093],[9.54914022]
67,[9.65841972],[1.62241207],[9.47494889]
68,[10.12369229],[1.2571288],[9.70092026]
69,[13.44118783],[0.02495951],[10.25855898]
70,[8.38330862],[2.2928637],[8.8245365]
71,[9.73458257],[1.21140126],[9.65991488]
72,[9.48986171],[1.50501794],[9.07921413]
73,[8.38883281],[1.7539117],[9.92181181]
74,[9.16028203],[2.24210175],[11.0918709]
75,[12.53299846],[0.62416364],[10.43727178]
76,[8.85644896],[2.3697329],[11.19751115]
77,[13.28576628],[0.273546],[10.55624294]
78,[11.09002759],[0.58919097],[9.54028819]
79,[13.22277847],[0.32380771],[10.70224848]
80,[11.03329411],[0.48392717],[10.27160079]
81,[13.25386916],[0.30996695],[10.87619634]
82,[15.88453307],[0.548115],[12.13437396]
83,[16.51062292],[0.30720851],[12.8882892]
84,[15.3036317],[1.01173346],[0.]
85,[9.17878036],[2.3265128],[0.]
86,[8.0014239],[2.71608466],[0.]
87,[7.57582863],[2.70661792],[0.]
88,[8.78120645],[2.23406532],[0.]
89,[6.88911494],[2.75562517],[0.]
90,[6.98846747],[2.54723681],[0.]
91,[16.58989626],[0.28722717],[0.]
92,[8.67329092],[2.05230671],[0.]
93,[9.4493898],[1.70544628],[0.]
94,[16.56791828],[0.28068757],[0.]
95,[9.26126235],[1.77397475],[0.]
