,Mean,Variance,Predictive model
0,[0.86818064],[0.23903295],[0.00870082]
1,[0.36284201],[0.32211628],[0.01248461]
2,[0.82673856],[0.23022525],[0.01433217]
3,[0.62359708],[0.31085276],[0.01972085]
4,[0.83423603],[0.28860578],[0.01765927]
5,[1.56255431],[0.34101194],[0.04726275]
6,[0.51308671],[0.486868],[0.06166245]
7,[1.82044859],[0.29409166],[0.07334338]
8,[1.86409569],[0.37784127],[0.04967409]
9,[0.58456144],[0.55504651],[0.11428376]
10,[1.60280307],[0.35282872],[0.09247143]
11,[2.01367235],[0.40723041],[0.09801903]
12,[1.53112966],[0.64300428],[0.23079816]
13,[2.23856978],[0.31119905],[0.19845894]
14,[2.16677494],[0.33963737],[0.24162357]
15,[2.64004132],[0.16628807],[0.3024091]
16,[0.75460933],[0.87576107],[0.38802916]
17,[0.84267473],[0.86109239],[0.19549339]
18,[2.68325385],[0.14615037],[0.2472544]
19,[2.8406619],[0.16167802],[0.48813605]
20,[0.77176126],[0.97379294],[0.53547208]
21,[0.77040388],[0.94341803],[0.59360952]
22,[2.74617293],[0.21950949],[0.39842575]
23,[2.87027103],[0.04809737],[0.67217016]
24,[2.97040777],[0.09342366],[0.79837969]
25,[3.02897616],[0.03425595],[0.76375816]
26,[0.97174696],[1.06250607],[0.37996328]
27,[2.79801595],[0.08309458],[1.02647539]
28,[2.7383212],[0.05317695],[1.21237186]
29,[2.8952676],[0.02876648],[1.30977021]
30,[3.05379425],[0.01659811],[1.2425348]
31,[3.01636607],[0.01892056],[1.48611313]
32,[2.97556757],[0.03853474],[1.53072684]
33,[2.68811978],[0.10688179],[1.67270378]
34,[2.8108715],[0.03661693],[1.69872136]
35,[3.04351302],[0.01106115],[1.69466487]
36,[2.63936814],[0.05097814],[1.91166038]
37,[2.8733443],[0.02452406],[1.9746321]
38,[3.02297728],[0.0138864],[2.18539699]
39,[2.91046827],[0.02205439],[2.06612209]
40,[2.6437373],[0.11508766],[2.31929054]
41,[2.64053911],[0.04672328],[2.48533009]
42,[2.82346771],[0.02232321],[2.54828133]
43,[2.73725922],[0.02741587],[2.62279008]
44,[2.97393135],[0.02740173],[2.77537316]
45,[2.93102101],[0.01590916],[2.80372094]
46,[2.72669042],[0.02578035],[2.8161853]
47,[2.66723167],[0.03454841],[2.62023666]
48,[3.01153654],[0.0144017],[2.95943466]
49,[2.86315415],[0.01765323],[2.87866913]
50,[2.85344625],[0.01953992],[2.78052517]
51,[2.95723832],[0.02814579],[2.69052136]
52,[2.98981417],[0.01782951],[2.71979877]
53,[2.86131304],[0.00955313],[2.87642018]
54,[2.9172539],[0.01302951],[2.94078572]
55,[3.04315025],[0.00688122],[2.9432785]
56,[2.99666171],[0.01739041],[2.76335813]
57,[2.62375023],[0.0271465],[2.83005287]
58,[3.11843464],[0.0136361],[2.93001134]
59,[2.99054855],[0.00898083],[2.87328394]
60,[3.15840072],[0.00962441],[2.9450226]
61,[3.11300834],[0.00695231],[2.98988983]
62,[2.63393437],[0.03062656],[2.84452285]
63,[2.70611038],[0.02712372],[2.80818415]
64,[2.73589641],[0.02975734],[2.68447644]
65,[2.80043829],[0.01528962],[2.93360924]
66,[2.94915672],[0.01099347],[2.93271163]
67,[2.00687833],[0.07451391],[2.85986311]
68,[2.74392932],[0.01778633],[2.96730717]
69,[2.48162821],[0.02170317],[2.74379467]
70,[2.85075365],[0.01289307],[2.8463637]
71,[2.79497437],[0.01132117],[2.74344601]
72,[3.05194205],[0.0061509],[2.92471333]
73,[3.120873],[0.00996873],[2.92871356]
74,[2.72142192],[0.01550721],[2.74760616]
75,[2.87415714],[0.00917775],[2.8106343]
76,[3.10921411],[0.00495617],[2.95798231]
77,[2.69642124],[0.01904664],[2.84342373]
78,[3.16342092],[0.01087737],[2.94077341]
79,[2.65646101],[0.02233788],[2.87292681]
80,[2.91940102],[0.00865243],[2.88468025]
81,[2.9678685],[0.00714348],[2.89771316]
82,[2.88336667],[0.01043566],[2.85286121]
83,[2.78636356],[0.01204958],[2.87782718]
84,[2.73646211],[0.01162996],[2.80499518]
85,[2.82098402],[0.01209775],[2.88998954]
86,[2.9647989],[0.0068269],[2.93513329]
87,[2.79423156],[0.00817563],[2.81588602]
88,[2.91619926],[0.00640643],[2.89244943]
89,[2.87113899],[0.00705482],[2.89448066]
90,[3.01301427],[0.00573972],[2.87666096]
91,[2.86029399],[0.00552112],[2.8829706]
92,[3.15813762],[0.00430921],[2.95888712]
93,[2.74590214],[0.01962458],[2.80648034]
94,[3.17785703],[0.0072756],[2.98180968]
95,[2.82570163],[0.00792661],[2.89402842]
