,Mean,Variance,Predictive model
0,[2.30166908],[0.73102099],[0.01624163]
1,[2.36916815],[0.67209731],[0.02893408]
2,[2.35133202],[0.63609798],[0.02378968]
3,[2.34266222],[0.62306187],[0.02620099]
4,[2.49399421],[0.55766664],[0.06686929]
5,[2.42190898],[0.4887217],[0.056256]
6,[2.41821674],[0.60512734],[0.07381653]
7,[2.64229217],[0.3628522],[0.12069291]
8,[2.5827127],[0.58317052],[0.16128775]
9,[2.41656075],[0.59732809],[0.12519623]
10,[2.35512502],[0.62640167],[0.13418429]
11,[2.7211484],[0.56687388],[0.20475962]
12,[2.43235334],[0.60967486],[0.15913755]
13,[2.8238627],[0.52758052],[0.17847397]
14,[2.25955489],[0.63676487],[0.30004212]
15,[2.61526965],[0.55673285],[0.27258209]
16,[2.13515012],[0.65780075],[0.28171525]
17,[2.00520457],[0.68746841],[0.30052559]
18,[2.12817795],[0.63025245],[0.41722038]
19,[2.77686547],[0.5167306],[0.44561592]
20,[2.78779011],[0.56690471],[0.46869398]
21,[2.5665549],[0.6680368],[0.51296533]
22,[2.8172558],[0.58152097],[0.63378757]
23,[2.79931186],[0.61204699],[0.6340578]
24,[3.13402807],[0.35959668],[0.58698678]
25,[2.77945165],[0.52149127],[0.63460426]
26,[2.968117],[0.48393522],[0.71867327]
27,[3.24972843],[0.58312938],[0.75184716]
28,[3.04070475],[0.46006248],[1.14830052]
29,[3.3992823],[0.42891416],[0.84911018]
30,[2.84373487],[0.58965047],[1.16945559]
31,[3.04427133],[0.48163495],[1.00257193]
32,[2.91048683],[0.5406775],[1.04949662]
33,[2.96918037],[0.64378074],[1.21444458]
34,[2.21778334],[0.72551669],[1.35378102]
35,[2.56688559],[0.61445601],[1.32177229]
36,[2.64080925],[0.62628602],[1.5647471]
37,[2.19624918],[0.70720848],[1.58088197]
38,[3.19718344],[0.32666188],[1.75696462]
39,[2.46601089],[0.72607481],[1.79970052]
40,[1.67005642],[0.81154709],[1.94617103]
41,[2.38222181],[0.68900248],[1.75724056]
42,[2.94679883],[0.50785676],[1.91883627]
43,[2.69552239],[0.64049582],[2.70363004]
44,[2.42849174],[0.75520373],[1.98910624]
45,[3.01734165],[0.57545076],[2.27018203]
46,[3.17560991],[0.58030644],[2.0206364]
47,[2.67338954],[0.6389834],[2.11441055]
48,[3.04565418],[0.53282509],[2.27010293]
49,[3.20106003],[0.60386463],[1.93650717]
50,[2.93507159],[0.56315663],[2.73747387]
51,[3.38966603],[0.50958114],[2.41667116]
52,[2.31064737],[0.81113011],[2.48616263]
53,[3.21251519],[0.63793792],[2.83567007]
54,[2.92098991],[0.73443635],[2.33496562]
55,[3.10947873],[0.60495505],[2.5697639]
56,[3.31473742],[0.61261306],[2.49819258]
57,[3.72822784],[0.42201475],[2.4284813]
58,[3.38886481],[0.6160538],[2.54577955]
59,[2.81400861],[0.63708535],[2.57051678]
60,[2.98012296],[0.69075686],[2.45424692]
61,[3.09679032],[0.6736219],[2.14280748]
62,[3.21283065],[0.70131004],[2.26147031]
63,[2.39211092],[0.77605004],[2.82888143]
64,[3.4277357],[0.35198259],[2.78680007]
65,[1.92333186],[0.93783128],[2.64307789]
66,[3.27681132],[0.55001741],[2.25460181]
67,[2.77681848],[0.70203003],[2.49723087]
68,[1.84476284],[0.92153031],[2.79234153]
69,[2.92110551],[0.59059169],[2.5566075]
70,[3.11614577],[0.6126434],[2.3076021]
71,[3.21511666],[0.4829731],[2.50655704]
72,[2.7448175],[0.68672154],[2.35637978]
73,[2.1409951],[0.85460862],[2.56040173]
74,[3.0887175],[0.60373932],[2.35047504]
75,[3.59659177],[0.44967673],[2.46684365]
76,[2.99473801],[0.73076371],[2.1505747]
77,[2.55778517],[0.67741828],[2.58299592]
78,[2.53589927],[0.75810569],[2.25563169]
79,[2.21210083],[0.78222565],[2.6601015]
80,[2.7000498],[0.69790383],[2.70462047]
81,[2.94875068],[0.65723542],[2.44383933]
82,[2.84634748],[0.82055001],[2.44227718]
83,[3.44382384],[0.63554323],[2.85248528]
84,[1.96350431],[0.89971643],[2.79363092]
85,[3.42864735],[0.56052054],[2.46958033]
86,[3.50637995],[0.68943714],[2.399743]
87,[3.65452381],[0.62163615],[2.50985692]
88,[3.6243933],[0.64585579],[2.48370535]
89,[2.01048728],[0.92427684],[2.88420757]
90,[2.62004243],[0.77875613],[2.89940578]
91,[2.69523371],[0.78461985],[2.64930159]
92,[3.60916341],[0.41624164],[2.7532409]
93,[3.11570626],[0.58176088],[2.9583914]
94,[2.84205625],[0.69798169],[2.85009245]
95,[3.12039904],[0.71850314],[2.54304331]
