,Mean,Variance,Predictive model
0,[-35054.69598618],[99496.10696429],[-882.9074479]
1,[-95633.57890165],[97709.29720611],[-2034.181462]
2,[-44499.55843536],[77510.97552854],[-1216.07315768]
3,[-13878.6477242],[62659.65040538],[-1812.08699878]
4,[-8373.75212668],[43316.30042745],[-123.4319821]
5,[10695.79282867],[33482.9565858],[-562.11962867]
6,[-61634.14818997],[53282.69428002],[-2217.50355072]
7,[-15766.91401499],[29692.5689003],[-2467.90930038]
8,[-18410.7838407],[27650.7646015],[-2692.56555222]
9,[2686.15821281],[13492.04305037],[-243.25096]
10,[10342.53585045],[8488.37448402],[-1169.42929359]
11,[-4011.39612724],[13918.4747896],[-2921.02562547]
12,[5212.80097673],[8075.44690825],[-120.03639895]
13,[-1145.67046508],[10064.07291275],[-289.48247325]
14,[1526.81182627],[7183.76624187],[-392.06621594]
15,[-11002.06685523],[11273.10246729],[-254.35377137]
16,[-9430.59260882],[10447.25894189],[-1960.99097255]
17,[593.257417],[5994.20196158],[-252.47426113]
18,[-45496.99466042],[25572.27050579],[-2228.56577253]
19,[-7214.81241332],[13138.3643105],[-513.42117724]
20,[5729.09877055],[4636.85112373],[-224.36976815]
21,[1329.67766821],[5274.50440851],[-334.44952068]
22,[3623.82142802],[4040.9028162],[-686.25669401]
23,[-9156.7843653],[13068.44537892],[-9870.36372237]
24,[-9812.63162653],[18448.05545316],[-3713.04015984]
25,[-11463.01876509],[16824.52911977],[-2563.67742185]
26,[-14530.34421113],[19320.46120661],[-1011.02367185]
27,[-27132.64097081],[26803.83796583],[-12092.36165336]
28,[654.49087845],[9576.91258376],[-1039.70078973]
29,[-21229.10736736],[19693.84715844],[-932.10923631]
30,[-23405.0575486],[18175.77523603],[-461.20457324]
31,[1906.91663201],[8725.46307989],[-775.93642236]
32,[-3090.15541456],[10222.79443687],[-429.71700072]
33,[2072.85296802],[7621.08129084],[-1593.19982683]
34,[-8378.49013101],[11309.43776061],[-634.33065078]
35,[-900.52233106],[8031.28311211],[-560.59984492]
36,[1878.83314106],[5972.56540471],[-542.37231186]
37,[-4544.06889031],[8708.73523292],[-1471.23883021]
38,[3529.57348194],[4298.96866083],[-791.70693951]
39,[3138.24856947],[4432.89029765],[-628.29127937]
40,[-1930.99386557],[5334.47998292],[-666.94434766]
41,[-938.68912096],[4740.11796359],[-839.87822809]
42,[2009.95072918],[3994.59208468],[-1790.23558679]
43,[-2129.67584486],[4949.26777184],[-1034.3406184]
44,[-600.0172246],[4156.6842853],[-856.97889209]
45,[5.87677072],[3847.93072122],[-866.06278981]
46,[-982.60494862],[4140.17695399],[-647.31901156]
47,[-525.58922622],[3797.76878154],[-1140.21115281]
48,[748.1170096],[3122.0698447],[-800.74979909]
49,[-102.58358092],[3305.87702777],[-572.66898832]
50,[464.61765977],[2965.43867739],[-691.40750429]
51,[1618.18907258],[2542.52426711],[-662.13885759]
52,[340.06787076],[2747.86903078],[-915.31806221]
53,[326.88038448],[3504.65724538],[-2811.21090623]
54,[-836.8462414],[2875.56547194],[-1084.45556316]
55,[-236.40218296],[2597.24991347],[-1132.81344168]
56,[-3394.74591121],[4130.8039147],[-1385.237878]
57,[-277.36767562],[2254.39118759],[-875.7873784]
58,[-239.15920749],[2098.57825366],[-745.49508973]
59,[-6589.89998678],[6083.37600405],[-2607.49321099]
60,[-511.50162053],[2146.31803662],[-650.4119196]
61,[-1739.20612195],[4114.43887381],[-3352.24813601]
62,[-613.01069455],[2543.76059913],[-2250.95630124]
63,[-673.29833273],[1926.16012171],[-813.81214306]
64,[-72.4152687],[1637.56709278],[-680.73513956]
65,[-1711.06037548],[2343.8085184],[-975.26915029]
66,[-1898.49022019],[2371.17775066],[-817.79354609]
67,[-1187.35397752],[2162.57682419],[-871.22153624]
68,[-1045.58878354],[1828.00748427],[-830.34691717]
69,[-296.79254221],[1573.90008086],[-923.40006597]
70,[-121.42832845],[1383.5629925],[-653.58022769]
71,[-152.99522296],[1291.65245665],[-623.31718167]
72,[-548.92468971],[1473.06556076],[-715.71766145]
73,[91.90287022],[1178.17897769],[-624.3597159]
74,[297.85768336],[1059.34292032],[-678.99630363]
75,[-328.25453872],[1686.29215168],[-1652.74810497]
76,[670.69657721],[839.41238429],[-659.86897303]
77,[-309.29289893],[1254.91964552],[-780.86080033]
78,[-287.61159612],[1158.9475722],[-729.40483506]
79,[-312.45344757],[1100.17664011],[-579.7225553]
80,[-173.30005861],[1033.31324907],[-571.5483266]
81,[-407.22602257],[1114.94653212],[-600.22867923]
82,[-411.90906297],[1073.8096133],[-643.22764834]
83,[-199.0877947],[994.4950141],[-681.57889542]
84,[-523.27081782],[1593.2046499],[-1663.193478]
85,[-163.34370182],[942.61294638],[-631.24994243]
86,[-667.53274374],[1153.92818353],[-705.0288305]
87,[-2238.44333653],[1838.0162763],[-802.44646376]
88,[369.77798469],[719.29595944],[-753.84668694]
89,[50.39885034],[812.09494262],[-648.67402756]
90,[140.6430674],[773.55716491],[-602.44177626]
91,[-156.11547005],[856.80188584],[-676.75575629]
92,[38.29433849],[745.6179307],[-587.6140175]
93,[-152.35006934],[811.10260019],[-597.15290011]
94,[-327.60064405],[818.05709656],[-557.81446681]
95,[-210.99824656],[779.71814042],[-648.89452935]
