,Mean,Variance,Predictive model
0,[-34.23581613],[73.0334985],[-1.15838219]
1,[-60.28252406],[79.0875951],[-0.98683443]
2,[-12.68048262],[48.96879748],[-0.64917254]
3,[-71.61897363],[56.63379918],[-6.58638337]
4,[8.621643],[26.50687158],[-1.54260823]
5,[-25.29916048],[33.45113305],[-2.03643523]
6,[-13.19427804],[22.63926306],[-0.76805708]
7,[-3.90384279],[18.90558104],[-2.28269561]
8,[-8.31537704],[18.18059696],[-1.18869138]
9,[-11.62146365],[15.85755959],[-1.03685699]
10,[-36.70060101],[22.53044833],[-4.17494128]
11,[-20.96690392],[20.07120026],[-8.71483462]
12,[-7.91842805],[10.04212925],[-1.57074641]
13,[-1.82170311],[7.30987152],[-3.17139477]
14,[-1.65677454],[6.03677712],[-2.71151256]
15,[-2.14602957],[5.49405554],[-1.12498778]
16,[-8.95446686],[6.57590261],[-1.03586859]
17,[-11.2260268],[7.4549393],[-2.28796724]
18,[-8.38071841],[6.38323779],[-3.88601681]
19,[-0.46590314],[2.80722476],[-1.60421451]
20,[-1.35546391],[2.30506121],[-1.49586741]
21,[-1.55122406],[1.8636028],[-1.73348456]
22,[-1.84360512],[1.86581875],[-1.96437445]
23,[-1.14849859],[1.42208844],[-2.07373587]
24,[-0.40653713],[0.51755985],[-1.02354483]
25,[-0.80479219],[0.78453509],[-1.09054631]
26,[-0.48652198],[0.25801392],[-0.83800243]
27,[-0.55394735],[0.23225508],[-0.80215322]
28,[-4.03175534],[2.19964238],[-0.]
29,[-8.30983724],[3.72412513],[-0.]
30,[-1.35373204],[0.81263819],[-0.]
31,[-0.45304669],[0.38640784],[-0.]
32,[-0.36639223],[0.31045934],[-0.]
33,[-0.57394961],[0.35210327],[-0.]
34,[-0.49897412],[0.28583381],[-0.]
35,[-0.39887492],[0.23014789],[-0.]
36,[-0.41170561],[0.22297003],[-0.]
37,[-0.39954807],[0.20295061],[-0.]
38,[-0.72655382],[0.3249655],[-0.]
39,[-0.45670106],[0.22133096],[-0.]
40,[-0.39416939],[0.19634227],[-0.]
41,[-0.41429971],[0.19836866],[-0.]
42,[-0.3944702],[0.18214658],[-0.]
43,[-0.44653505],[0.20135725],[-0.]
44,[-0.40321692],[0.1826113],[-0.]
45,[-0.40323014],[0.18028744],[-0.]
46,[-0.40185757],[0.17408769],[-0.]
47,[-0.39924887],[0.17181664],[-0.]
48,[-0.41013271],[0.17460285],[-0.]
49,[-0.39761267],[0.16628385],[-0.]
50,[-0.40656135],[0.16876153],[-0.]
51,[-0.40125425],[0.16488433],[-0.]
52,[-0.4032082],[0.16208335],[-0.]
53,[-0.40023195],[0.16068043],[-0.]
54,[-0.41060127],[0.16196238],[-0.]
55,[-0.40061898],[0.1565782],[-0.]
56,[-0.39975661],[0.15540255],[-0.]
57,[-0.40991495],[0.15768288],[-0.]
58,[-0.40220746],[0.15300746],[-0.]
59,[-0.41406935],[0.15621309],[-0.]
60,[-0.47754969],[0.1803321],[-0.]
61,[-0.90224379],[0.34620892],[-0.]
62,[-0.40819813],[0.15017693],[-0.]
63,[-0.40669249],[0.14883957],[-0.]
64,[-0.40348935],[0.14655259],[-0.]
65,[-0.4091002],[0.14757879],[-0.]
66,[-0.40388445],[0.14486405],[-0.]
67,[-0.40822705],[0.14419256],[-0.]
68,[-0.40320597],[0.1417802],[-0.]
69,[-0.40376331],[0.14141443],[-0.]
70,[-0.4154434],[0.1427979],[-0.]
71,[-0.39769293],[0.13729965],[-0.]
72,[-0.41168015],[0.1408763],[-0.]
73,[-0.39786397],[0.1355035],[-0.]
74,[-0.39963537],[0.13639926],[-0.]
75,[-0.40034806],[0.13420568],[-0.]
76,[-0.40582281],[0.13626786],[-0.]
77,[-0.4115084],[0.13700487],[-0.]
78,[-0.41030293],[0.13657575],[-0.]
79,[-0.40868519],[0.13372601],[-0.]
80,[-0.40529919],[0.13276192],[-0.]
81,[-0.40890639],[0.13217781],[-0.]
82,[-0.4027611],[0.13052445],[-0.]
83,[-0.42164477],[0.13447395],[-0.]
84,[-0.40536234],[0.12971416],[-0.]
85,[-0.40006647],[0.12774329],[-0.]
86,[-0.4139862],[0.12986503],[-0.]
87,[-0.40617084],[0.12787475],[-0.]
88,[-0.3987274],[0.12542338],[-0.]
89,[-0.40345774],[0.12580957],[-0.]
90,[-0.40258458],[0.12490376],[-0.]
91,[-0.39917811],[0.12355378],[-0.]
92,[-0.39943788],[0.12264518],[-0.]
93,[-0.40534458],[0.12361207],[-0.]
94,[-0.39843408],[0.12135343],[-0.]
95,[-0.40133485],[0.12106607],[-0.]
