,Mean,Variance,Predictive model
0,[2.00123252],[0.4496813],[0.01681919]
1,[1.9399376],[0.24684402],[0.0245278]
2,[2.061302],[0.46457846],[0.01839071]
3,[2.12680379],[0.31579491],[0.02157668]
4,[1.20197384],[0.69419124],[0.03542492]
5,[1.89115032],[0.51901046],[0.06201408]
6,[0.63254659],[0.71333007],[0.06062334]
7,[1.98631624],[0.44433387],[0.07805462]
8,[2.11511146],[0.33383316],[0.06882296]
9,[1.94526762],[0.44151496],[0.08797219]
10,[2.10033132],[0.49550451],[0.15470293]
11,[2.09792302],[0.38400081],[0.14222974]
12,[2.10615987],[0.36247459],[0.16738506]
13,[1.93681118],[0.46319718],[0.23416535]
14,[1.93758754],[0.34842528],[0.22340156]
15,[2.41269966],[0.33681193],[0.24110525]
16,[1.78091984],[0.56645359],[0.26373043]
17,[1.82736118],[0.53460138],[0.32447422]
18,[0.95116017],[0.8564162],[0.33700578]
19,[2.7240691],[0.11842009],[0.44861601]
20,[2.60020475],[0.20672863],[0.51865574]
21,[2.43000503],[0.28394237],[0.58597148]
22,[2.71183905],[0.19640024],[0.65914702]
23,[2.89578308],[0.20623052],[0.53082547]
24,[2.63235415],[0.29748344],[0.54793411]
25,[2.98323898],[0.16390006],[0.78098827]
26,[2.70791383],[0.21941818],[0.923308]
27,[2.57749018],[0.1999256],[0.96915421]
28,[3.10093794],[0.12143989],[1.04380431]
29,[3.0269638],[0.05503578],[1.24594922]
30,[3.17244427],[0.09354878],[1.14643104]
31,[2.69273841],[0.12156331],[1.32354417]
32,[2.22748816],[0.19911587],[1.48626826]
33,[3.25417313],[0.04969516],[1.64984377]
34,[2.83131984],[0.09251115],[1.54221457]
35,[2.39823116],[0.17829383],[1.63106012]
36,[3.04795707],[0.06698209],[1.81831773]
37,[3.30049271],[0.02091835],[2.07856054]
38,[3.28863295],[0.02278452],[2.19113939]
39,[3.31649467],[0.01037217],[2.40814701]
40,[2.76301858],[0.07228733],[2.07373872]
41,[3.08158903],[0.02057146],[2.40657299]
42,[3.31086738],[0.01298878],[2.75787745]
43,[2.73415342],[0.0635468],[2.41068097]
44,[2.52095451],[0.09168788],[2.62674793]
45,[2.52374255],[0.10034746],[2.59591567]
46,[2.60997993],[0.10106754],[2.90198881]
47,[2.57913879],[0.03706979],[2.68878636]
48,[2.64480807],[0.09054258],[2.45880949]
49,[3.3181955],[0.00629805],[3.03161217]
50,[2.3407504],[0.13674056],[2.82987966]
51,[2.92678107],[0.04589632],[2.82707708]
52,[3.31517029],[0.00537325],[3.08261796]
53,[2.75562734],[0.07130429],[2.6400229]
54,[2.82793745],[0.05404544],[2.84081397]
55,[3.31819297],[0.00414736],[3.07772861]
56,[3.08540197],[0.02048969],[2.99948219]
57,[3.14359415],[0.01404248],[2.98606325]
58,[2.73938719],[0.05793317],[2.81485409]
59,[3.30420841],[0.00601285],[3.05878018]
60,[3.31448255],[0.00498697],[3.10293017]
61,[2.42543134],[0.11719912],[2.60569172]
62,[2.87394157],[0.04409508],[2.825517]
63,[3.31246931],[0.00521998],[3.07182977]
64,[2.59380864],[0.07209967],[2.81928361]
65,[3.30506903],[0.00580529],[3.08132132]
66,[2.86095411],[0.03321055],[2.86989455]
67,[2.97975864],[0.02661609],[2.81689116]
68,[2.8847963],[0.02385631],[2.83678372]
69,[3.04470199],[0.0318788],[2.88118962]
70,[3.30722192],[0.00460863],[3.12198184]
71,[2.80906301],[0.03452409],[2.64841301]
72,[3.29523693],[0.00632794],[3.1008557]
73,[3.28515876],[0.00675074],[3.09097726]
74,[3.03848559],[0.02438083],[2.79276223]
75,[2.8612567],[0.0412209],[2.79995998]
76,[3.30168744],[0.00456637],[3.11600373]
77,[3.30346837],[0.00443261],[3.11907769]
78,[2.67621989],[0.04137529],[2.71718076]
79,[2.96746841],[0.02307763],[2.77111452]
80,[3.17077047],[0.01318952],[3.03047275]
81,[3.30902292],[0.00497499],[3.11634642]
82,[3.30067361],[0.00509821],[3.08744242]
83,[2.72282293],[0.02929678],[2.716839]
84,[2.82578449],[0.01752392],[2.88009244]
85,[3.29784334],[0.00576191],[3.13600607]
86,[2.64878389],[0.02782573],[2.84930738]
87,[3.32042086],[0.00357648],[3.14813028]
88,[3.1548342],[0.01134268],[2.97123095]
89,[2.85444949],[0.02343728],[2.85909177]
90,[3.29696049],[0.00480577],[3.10401073]
91,[2.84486926],[0.03325729],[2.7906046]
92,[3.26134251],[0.00583465],[3.12037093]
93,[2.42851254],[0.04042972],[2.88565565]
94,[3.23582894],[0.00725592],[3.08271639]
95,[2.86939047],[0.03178839],[2.95874123]
