,Mean,Variance,Predictive model
0,[-13.75951862],[2.55905009],[-0.13206017]
1,[-13.77733452],[2.40870998],[-0.21798401]
2,[-13.02495635],[2.35306395],[-0.29879917]
3,[-6.3983252],[3.16956083],[-0.16422071]
4,[-6.9346297],[2.51076371],[-0.35885243]
5,[-7.52935845],[2.99462416],[-0.30821847]
6,[-14.89876867],[5.0464029],[-0.50483852]
7,[-15.35262515],[5.16577793],[-0.6209839]
8,[-4.59893103],[0.79248312],[-0.46083817]
9,[-15.14811077],[5.35139929],[-0.74530043]
10,[-15.52612623],[5.5811123],[-1.67949223]
11,[-4.31856054],[1.15578016],[-1.09328015]
12,[-6.58962559],[1.49333985],[-0.69456834]
13,[-14.62092516],[5.77869652],[-1.87774036]
14,[-3.08982327],[0.69802468],[-0.91483263]
15,[-14.51635645],[6.20742995],[-2.90351972]
16,[-14.90747302],[6.24721906],[-3.26927306]
17,[-15.21477995],[6.27924956],[-3.65481213]
18,[-15.34339732],[6.28942137],[-3.91623841]
19,[-3.30166868],[0.53882652],[-1.81493213]
20,[-15.33102889],[6.56744284],[-4.71688176]
21,[-15.53936803],[6.5487042],[-5.64273593]
22,[-3.31743522],[0.44403411],[-1.8339506]
23,[-5.38584193],[3.68636786],[-2.06519796]
24,[-15.61747359],[6.67366505],[-3.77340008]
25,[-1.63871227],[0.5164324],[-1.8129244]
26,[-2.98215355],[0.71567942],[-1.59395707]
27,[-3.11627854],[0.75770305],[-1.36685464]
28,[-3.27420536],[1.26516321],[-1.29513849]
29,[-2.93236086],[1.1649445],[-1.23963758]
30,[-2.98708199],[1.10111469],[-1.43968111]
31,[-3.33501003],[1.11120621],[-1.61013337]
32,[-3.41416578],[1.06625948],[-1.70528476]
33,[-2.96347202],[1.02893338],[-1.56509376]
34,[-2.96392233],[1.23991197],[-1.71205459]
35,[-2.81267726],[1.17507657],[-1.86445775]
36,[-2.8221224],[1.12726601],[-1.71206676]
37,[-7.91673017],[6.94081025],[-4.18317611]
38,[-2.64452671],[1.01740919],[-1.7531977]
39,[-6.68070615],[6.24716797],[-3.66756854]
40,[-7.84597205],[6.62793308],[-6.18921781]
41,[-2.48550073],[0.99013971],[-2.40177935]
42,[-10.23646945],[7.61036888],[-5.89691911]
43,[-2.56176224],[1.08013499],[-2.71336971]
44,[-10.87778476],[7.8175999],[-7.11899286]
45,[-4.67885981],[4.05196103],[-4.60641431]
46,[-7.10806027],[5.96361659],[-6.27567903]
47,[-10.09532919],[7.28993148],[-6.8716093]
48,[-7.72897864],[5.64904677],[-6.67234681]
49,[-10.61207223],[7.51550428],[-9.49252439]
50,[-2.75459934],[1.01206633],[-2.89572853]
51,[-7.44514443],[5.52110279],[-6.60309261]
52,[-2.6951118],[1.00184923],[-2.68296388]
53,[-9.68910628],[6.80535507],[-8.72656724]
54,[-5.67590423],[4.24255655],[-6.99174725]
55,[-9.98286616],[7.19209697],[-10.52624506]
56,[-2.80579503],[0.96421889],[-2.89470396]
57,[-3.10058949],[0.96523207],[-3.17426341]
58,[-2.76880228],[0.95849404],[-3.10813977]
59,[-10.44422371],[7.22556025],[-10.75775245]
60,[-2.56282743],[0.94423069],[-2.81813221]
61,[-10.46970033],[6.63353173],[-9.52140756]
62,[-10.4119901],[6.84875469],[-9.05038053]
63,[-2.43913462],[0.97933336],[-2.87325732]
64,[-9.9266235],[7.25260305],[-10.39603343]
65,[-10.29446111],[6.09881686],[-7.56190312]
66,[-10.27866629],[7.14828223],[-11.08233266]
67,[-10.11414634],[6.99352695],[-11.09581874]
68,[-10.21920925],[7.1160175],[-9.84821919]
69,[-2.55082794],[1.01485143],[-2.98074711]
70,[-10.47659767],[6.72329043],[-9.64356134]
71,[-4.35974174],[2.21608792],[-3.75590751]
72,[-7.67726902],[4.67736611],[-7.29516938]
73,[-7.06408113],[3.55920555],[-5.0872284]
74,[-0.47532284],[0.03202753],[-2.93755396]
75,[-2.74971017],[1.02555786],[-2.89691094]
76,[-10.09750026],[6.60322029],[-10.26950367]
77,[-10.00355839],[6.94847618],[-11.09651205]
78,[-10.23045904],[6.9449371],[-10.58316386]
79,[-6.96895091],[3.85637555],[-6.33787557]
80,[-3.90169913],[1.87575824],[-4.88441375]
81,[-6.40186266],[2.54263998],[-5.0211257]
82,[-4.89835327],[2.31857139],[-4.86537742]
83,[-10.43076066],[6.73692078],[-11.90241632]
84,[-2.45516054],[0.9859504],[-2.93351085]
85,[-2.50441201],[0.1606441],[-2.8901351]
86,[-0.78944086],[0.02835835],[-2.69724303]
87,[-2.61006668],[1.01522211],[-3.00219403]
88,[-0.34080825],[0.04672534],[-2.67723902]
89,[-10.54037606],[6.14157157],[-9.4377623]
90,[-1.93102478],[0.05670903],[-2.70931634]
91,[-9.79024334],[4.81868144],[-6.39661594]
92,[-5.00614478],[1.68982575],[-3.41203194]
93,[-0.62235246],[0.03677654],[-2.69539413]
94,[-1.30444043],[0.07169438],[-2.86095349]
95,[-2.53103981],[0.99974515],[-3.07155242]
