,Mean,Variance,Predictive model
0,[141.09697933],[275.94470873],[0.4648255]
1,[541.78689802],[225.53567736],[7.70074175]
2,[147.38950181],[287.26290412],[-0.46224347]
3,[385.19063812],[328.59495475],[13.75148005]
4,[149.71249614],[401.30434294],[22.7855996]
5,[118.35218143],[396.99603124],[0.]
6,[476.16449378],[284.34118218],[0.]
7,[217.50673748],[416.16297404],[-0.]
8,[507.69175149],[265.32685919],[0.]
9,[587.95631632],[237.33928321],[0.]
10,[188.72528856],[389.90157797],[-0.]
11,[67.66463411],[368.9488274],[0.]
12,[570.52538064],[227.54292744],[0.]
13,[462.20202963],[282.98588221],[0.]
14,[346.48485992],[303.06986623],[0.]
15,[153.91171875],[356.39336214],[-0.]
16,[121.08172831],[394.97008051],[0.]
17,[370.20556171],[295.2800797],[0.]
18,[131.34137879],[391.99359529],[0.]
19,[525.81950944],[332.89331352],[0.]
20,[518.00386811],[358.07398319],[0.]
21,[559.51449869],[305.80134368],[0.]
22,[145.24093101],[390.9252994],[-0.]
23,[349.11060148],[307.11650655],[0.]
24,[609.09684813],[305.86523067],[0.]
25,[128.22524495],[384.21709199],[0.]
26,[456.05016218],[381.7528324],[0.]
27,[149.13236214],[367.7133387],[0.]
28,[475.90125199],[375.85037391],[0.]
29,[102.6427653],[369.56548183],[-0.]
30,[98.47631392],[364.78560126],[-0.]
31,[769.09836762],[104.5624768],[0.]
32,[416.81643725],[340.82947074],[0.]
33,[106.16707578],[378.68003294],[-0.]
34,[89.72221949],[381.49022041],[-0.]
35,[73.53473172],[379.53319887],[-0.]
36,[118.76132453],[358.76837536],[-0.]
37,[118.97936545],[367.70632668],[-0.]
38,[100.81566962],[366.86529827],[0.]
39,[497.47419297],[281.24758888],[0.]
40,[665.19946491],[182.80918981],[0.]
41,[81.32261604],[398.07725992],[-0.]
42,[49.99326503],[390.04002972],[-0.]
43,[82.30742284],[367.55694988],[-0.]
44,[60.69075221],[370.64775845],[-0.]
45,[55.47786276],[372.9778079],[-0.]
46,[22.26875099],[378.22257315],[-0.]
47,[25.78595237],[369.96717283],[-0.]
48,[137.36768116],[326.04795299],[-0.]
49,[444.39571152],[214.56547457],[0.]
50,[50.58103969],[361.62210578],[-0.]
51,[655.35491439],[128.28637877],[0.]
52,[19.21148755],[369.41385918],[-0.]
53,[-3.40694029],[374.69690857],[0.]
54,[836.3980972],[52.45669547],[0.]
55,[14.65896339],[365.16934355],[-0.]
56,[12.07560036],[366.51162317],[-0.]
57,[783.30921976],[64.53913998],[0.]
58,[859.24325887],[29.96782352],[0.]
59,[-20.25301236],[368.74852097],[-0.]
60,[181.69989149],[288.23095836],[0.]
61,[591.71837231],[124.73986485],[0.]
62,[414.18026379],[187.28108226],[0.]
63,[124.91999688],[310.32757597],[0.]
64,[219.33884318],[267.24107977],[0.]
65,[573.59401595],[139.30812353],[0.]
66,[822.33214414],[29.28094026],[0.]
67,[664.16522208],[83.77941125],[0.]
68,[804.65407292],[28.39012956],[0.]
69,[-29.40014863],[343.55556343],[-0.]
70,[793.12261248],[21.40119544],[0.]
71,[830.40403066],[5.59744101],[0.]
72,[805.15472738],[13.93531568],[0.]
73,[838.90834665],[2.35118706],[0.]
74,[824.39268226],[4.79422809],[0.]
75,[833.16340679],[3.03658464],[0.]
76,[828.1569515],[2.70719309],[0.]
77,[827.22495588],[2.31591235],[0.]
78,[836.22303253],[2.35090585],[0.]
79,[832.19998341],[1.70785646],[0.]
80,[807.2506017],[8.34337016],[0.]
81,[830.39547132],[1.8912744],[0.]
82,[829.43938726],[1.66943284],[0.]
83,[832.49706829],[3.68669065],[0.]
84,[833.59009128],[1.80513468],[0.]
85,[832.22847738],[1.84734485],[0.]
86,[822.33675003],[2.48912909],[0.]
87,[835.06229906],[1.72288807],[0.]
88,[832.18248176],[1.84727589],[0.]
89,[835.43075593],[1.81252548],[0.]
90,[827.88972118],[1.68707433],[0.]
91,[828.64749023],[1.62343728],[0.]
92,[834.25258222],[1.75470401],[0.]
93,[815.04566827],[3.69192849],[0.]
94,[830.94854463],[1.80116919],[0.]
95,[833.80582539],[1.69087469],[0.]
