,Mean,Variance,Predictive model
0,[-30.54206672],[41.0798237],[-0.03537806]
1,[-24.60377416],[39.88198766],[-0.053576]
2,[-26.67396796],[38.24077358],[-0.36801261]
3,[-9.93459534],[34.09428204],[-0.32808301]
4,[19.22645518],[19.07331736],[-0.058233]
5,[-28.07776853],[35.50933612],[-2.42883852]
6,[-17.31063922],[42.78117958],[-1.58648813]
7,[-27.87902387],[36.21464203],[-5.09646188]
8,[-7.19155997],[40.75743373],[-2.44683795]
9,[-28.02839952],[41.53675485],[-2.27299972]
10,[11.55437741],[23.91142932],[-3.15526599]
11,[1.91669357],[20.4581435],[-0.48351655]
12,[-18.19498905],[27.69860551],[-5.10903504]
13,[2.81002101],[18.29262713],[-0.56185979]
14,[-7.14721911],[16.08315179],[-0.30135647]
15,[9.18976069],[7.23379385],[-1.09673428]
16,[-1.2733973],[12.69501924],[-0.26140763]
17,[-8.91677421],[14.31907163],[-0.3352979]
18,[-33.18392559],[26.6116575],[-10.14572507]
19,[1.88479366],[9.25174444],[-1.09498501]
20,[4.35573981],[7.57284878],[-0.38068517]
21,[-9.92110374],[14.15534227],[-4.47665938]
22,[-5.43152483],[10.14856088],[-0.73818226]
23,[4.36148835],[5.56106805],[-0.53822061]
24,[1.22944725],[6.61544405],[-0.59981863]
25,[4.6046896],[4.24902659],[-0.47358231]
26,[1.94600975],[3.97532031],[-0.59759548]
27,[-6.90105468],[7.45375155],[-1.34990943]
28,[-7.33062665],[6.88288552],[-0.60958075]
29,[-3.91858501],[5.30108149],[-0.64538388]
30,[-0.72596373],[3.79607441],[-0.62716609]
31,[-0.70461542],[3.58247734],[-0.78252387]
32,[-6.09311949],[5.56526066],[-0.70222756]
33,[-5.80845002],[5.74353467],[-0.7759821]
34,[-9.60847121],[6.95446294],[-0.76252001]
35,[1.8327496],[1.98569883],[-0.73156462]
36,[-1.83766732],[3.19802739],[-0.97215184]
37,[-0.46969738],[2.61028],[-0.90457888]
38,[-1.78263676],[2.86682079],[-0.89317788]
39,[-1.27072901],[3.4025676],[-2.42312072]
40,[0.22123366],[1.97174985],[-0.9088997]
41,[-2.79393591],[2.96044311],[-0.92516619]
42,[1.62670784],[1.12205617],[-0.82583152]
43,[-1.6900334],[2.32071784],[-0.97545265]
44,[-0.83173444],[1.95492375],[-0.72191899]
45,[-0.40116891],[1.82522654],[-1.08616486]
46,[-2.87912872],[2.7525611],[-0.8848414]
47,[0.84099956],[1.17878193],[-0.92900019]
48,[1.23738079],[1.01676965],[-0.99922112]
49,[-0.42046657],[1.59430791],[-0.96332045]
50,[0.83066357],[0.8914466],[-0.74361392]
51,[-0.42492711],[1.41997187],[-1.01777163]
52,[0.04591316],[1.16143268],[-0.97741664]
53,[-0.73618076],[1.32663357],[-0.79653616]
54,[1.2012615],[0.51511042],[-0.79808883]
55,[-0.91099557],[1.38063438],[-0.92885573]
56,[-0.09363968],[1.0026333],[-0.9222224]
57,[0.62352733],[0.68226268],[-0.8677133]
58,[0.1824178],[0.78276573],[-0.85288353]
59,[1.09874202],[0.37711427],[-0.74523571]
60,[0.76608],[0.47236142],[-0.77614164]
61,[0.98239082],[0.35114498],[-0.68794725]
62,[-0.60388926],[0.92908823],[-0.59128067]
63,[0.46580976],[0.5784612],[-0.86363365]
64,[-1.04364858],[1.13935779],[-0.75179905]
65,[0.53171082],[0.47342891],[-0.63161465]
66,[-0.44526402],[0.83456797],[-0.65058212]
67,[0.73106516],[0.37027161],[-0.69358358]
68,[0.96598996],[0.25659868],[-0.5262976]
69,[0.5209357],[0.40513855],[-0.56160038]
70,[1.05687542],[0.1719167],[-0.60856805]
71,[1.0202633],[0.17794278],[-0.483456]
72,[0.892331],[0.22009857],[-0.46673302]
73,[1.00751948],[0.15365473],[-0.30586651]
74,[1.02784962],[0.15713364],[-0.42595444]
75,[-0.18115166],[0.62355739],[-0.45296078]
76,[0.9835508],[0.15060763],[-0.29610047]
77,[1.03334589],[0.12562249],[-0.28587198]
78,[0.89887849],[0.17331132],[-0.28830132]
79,[-2.05449177],[1.34566823],[-0.40245497]
80,[1.01588658],[0.12623717],[-0.44942592]
81,[1.00274993],[0.12651274],[-0.23902178]
82,[0.84471862],[0.18633979],[-0.272217]
83,[1.03064007],[0.11342321],[-0.23855681]
84,[1.02633536],[0.1121055],[-0.30821817]
85,[1.01789333],[0.11360424],[-0.24090018]
86,[0.98965401],[0.12261728],[-0.21762641]
87,[0.78591713],[0.20134852],[-0.10181901]
88,[1.02738783],[0.10678596],[-0.21977917]
89,[1.02764993],[0.10508916],[-0.11863453]
90,[1.02844334],[0.1036018],[-0.16326609]
91,[-1.61536917],[1.1337393],[-0.1207585]
92,[1.00788934],[0.10985535],[-0.09152668]
93,[1.02729022],[0.10166732],[-0.18491202]
94,[-0.09904642],[0.5516261],[-0.24037821]
95,[1.00146651],[0.11018025],[-0.25241358]
