,Mean,Variance,Predictive model
0,[0.32358845],[0.10622285],[0.0029652]
1,[0.33538062],[0.09369491],[0.00129143]
2,[0.29641782],[0.10000296],[0.00499057]
3,[0.34011024],[0.07890982],[0.0041571]
4,[1.11828995],[0.20724704],[0.01754433]
5,[1.09807868],[0.19561769],[0.02721599]
6,[0.29731256],[0.31526354],[0.00958685]
7,[1.67012847],[0.28840519],[0.05783274]
8,[1.5788462],[0.31298614],[0.04019481]
9,[0.96082347],[0.44874586],[0.03688876]
10,[1.7179761],[0.27533245],[0.08867298]
11,[1.19064718],[0.37095277],[0.06977621]
12,[1.14953157],[0.34606092],[0.05196126]
13,[1.86387222],[0.18422077],[0.09968511]
14,[0.42593452],[0.47347806],[0.16449094]
15,[1.30972087],[0.3591717],[0.15716673]
16,[1.19193062],[0.35591022],[0.11287314]
17,[1.81438865],[0.20279606],[0.1266823]
18,[1.72390017],[0.28456755],[0.10110985]
19,[1.77922764],[0.20111608],[0.18679604]
20,[1.84631099],[0.21219003],[0.27203779]
21,[1.75792551],[0.27947051],[0.27417535]
22,[1.79297841],[0.40586961],[0.4429116]
23,[2.53360992],[0.19272071],[0.71440578]
24,[2.56672559],[0.2682293],[0.61535814]
25,[2.5851151],[0.17425574],[0.52479607]
26,[2.6298284],[0.35102955],[0.88007992]
27,[2.36072403],[0.32019626],[1.10710255]
28,[2.58150479],[0.30556689],[0.94057584]
29,[2.35562047],[0.2625889],[0.86646106]
30,[2.82419068],[0.13174569],[1.17767312]
31,[2.48962417],[0.14175092],[1.22648103]
32,[2.69638714],[0.14587022],[1.31879336]
33,[2.65418847],[0.10553546],[1.59681147]
34,[2.43494274],[0.18381238],[1.63585286]
35,[3.12937816],[0.0716218],[1.67027847]
36,[0.69859364],[1.03524523],[1.21226907]
37,[2.56864843],[0.15450857],[1.76188699]
38,[3.02273176],[0.05770407],[1.96867464]
39,[2.41893134],[0.15274528],[2.2509894]
40,[2.54155893],[0.05026366],[2.11687175]
41,[2.56807338],[0.11253955],[2.11638468]
42,[2.86436253],[0.0667906],[2.17088995]
43,[2.74102024],[0.07973261],[2.40539116]
44,[2.60461624],[0.09018247],[2.36214538]
45,[2.95344623],[0.04712186],[2.77079553]
46,[2.2865646],[0.12091063],[2.63036938]
47,[2.42734292],[0.08114875],[2.71609893]
48,[2.75161106],[0.07118246],[2.75176216]
49,[2.65483066],[0.06330842],[2.42578809]
50,[2.8802066],[0.03327266],[2.59138982]
51,[2.53869368],[0.0478823],[2.58859124]
52,[2.66834957],[0.03674773],[2.50479384]
53,[3.08477744],[0.03091671],[2.87679032]
54,[2.85679651],[0.02534011],[2.608276]
55,[2.96837175],[0.03227643],[2.86646402]
56,[2.72307005],[0.03387983],[2.57833321]
57,[2.40118095],[0.07121873],[2.65212866]
58,[2.72974189],[0.0289157],[2.59908949]
59,[2.33197742],[0.02869502],[2.63200811]
60,[2.73886686],[0.01935172],[2.73562265]
61,[2.36776201],[0.08958922],[2.44191934]
62,[3.13550028],[0.01528916],[2.73406936]
63,[2.79329618],[0.01705128],[2.74703736]
64,[2.73070902],[0.0318918],[2.7989093]
65,[2.73747213],[0.03270785],[2.70081713]
66,[2.9056985],[0.02722523],[2.66303572]
67,[2.94488923],[0.01512107],[2.81896302]
68,[2.79173164],[0.02819513],[2.63155303]
69,[2.98301997],[0.02064735],[2.84318841]
70,[2.31742048],[0.08513475],[2.7174284]
71,[2.60308253],[0.0352607],[2.766012]
72,[3.05044437],[0.01518657],[2.85098416]
73,[2.91642069],[0.0135456],[2.46440204]
74,[2.85769255],[0.02524999],[2.45515331]
75,[2.83179644],[0.0190373],[2.70623054]
76,[2.8389228],[0.01379548],[2.72790643]
77,[2.5381581],[0.03769461],[2.67011736]
78,[2.90284014],[0.01515323],[2.77553898]
79,[2.26257412],[0.04732076],[2.76397344]
80,[2.62538646],[0.01814335],[2.72943234]
81,[2.72665043],[0.0170208],[2.67484502]
82,[2.88870773],[0.02163659],[2.54609451]
83,[2.85823692],[0.01007696],[2.76377958]
84,[3.27780395],[0.00570604],[2.89880656]
85,[2.50358702],[0.02270783],[2.48861521]
86,[2.95528186],[0.01833687],[2.64230294]
87,[2.77879819],[0.02336388],[2.75439173]
88,[2.884552],[0.00946876],[2.77948786]
89,[2.76852496],[0.01261876],[2.74394688]
90,[2.61700395],[0.01760489],[2.76893267]
91,[3.26363977],[0.00689891],[2.92359111]
92,[3.26895222],[0.00623498],[3.03027187]
93,[3.02698813],[0.0115511],[2.70522381]
94,[2.85746425],[0.01075493],[2.62925671]
95,[2.70496251],[0.02698819],[2.78246056]
