,Mean,Variance,Predictive model
0,[-35.77000942],[32.54964482],[-0.52920164]
1,[-33.62165668],[31.87356197],[-0.59020514]
2,[-39.02225119],[34.92707483],[-0.68616038]
3,[-45.56980861],[38.09949108],[-0.7555893]
4,[-38.61979327],[40.24340862],[-1.38689947]
5,[-16.31088711],[33.6287248],[-0.89669271]
6,[-32.24472498],[38.47687851],[-0.6706896]
7,[-23.29714279],[24.55061361],[-2.46870525]
8,[-21.80651029],[21.33254687],[-0.89623026]
9,[-6.36327885],[15.23542028],[-1.37811492]
10,[-2.82667209],[11.20946295],[-1.19306209]
11,[-24.24654378],[17.73767468],[-1.54285365]
12,[-1.1726729],[7.3460989],[-1.17367104]
13,[-9.79098252],[8.40262335],[-2.08480822]
14,[0.60018564],[4.40456339],[-1.52492315]
15,[-8.57805231],[7.2812255],[-1.34699645]
16,[-3.65025611],[4.91471956],[-1.74522586]
17,[-3.2151546],[3.37517353],[-1.555462]
18,[0.3971154],[1.59449393],[-2.32203331]
19,[-20.66857508],[12.17597881],[-8.79856463]
20,[-2.14631282],[1.80142669],[-1.14306192]
21,[-0.46415711],[1.34432076],[-0.96648741]
22,[-2.89149757],[2.77423905],[-3.08443414]
23,[-0.66789925],[0.59323483],[-0.51707931]
24,[-0.70397641],[1.0588461],[-1.67142909]
25,[-0.20783724],[0.39254299],[-1.19510001]
26,[-0.43808307],[0.1950212],[-0.68331367]
27,[-1.47093906],[1.20740884],[-1.77082072]
28,[-0.40899951],[0.1506631],[-0.58737738]
29,[-0.42041032],[0.13608038],[-0.68962688]
30,[-3.13721765],[1.58237632],[-0.]
31,[-0.43523579],[0.36905841],[-0.]
32,[-0.67715849],[0.37870171],[-0.]
33,[-1.43988329],[0.59845172],[-0.]
34,[-0.94270999],[0.37880775],[-0.]
35,[-0.4295313],[0.14379935],[-0.]
36,[-0.42165405],[0.13474154],[-0.]
37,[-0.37466195],[0.11375474],[-0.]
38,[-0.41389394],[0.12246302],[-0.]
39,[-0.38554776],[0.10532638],[-0.]
40,[-0.87738102],[0.29560903],[-0.]
41,[-0.41317485],[0.10940025],[-0.]
42,[-0.3863581],[0.09985006],[-0.]
43,[-0.40252159],[0.10277395],[-0.]
44,[-0.41189564],[0.10479775],[-0.]
45,[-0.39504542],[0.09612112],[-0.]
46,[-0.40117039],[0.0971731],[-0.]
47,[-0.39447046],[0.09294262],[-0.]
48,[-0.43208885],[0.10900651],[-0.]
49,[-0.40243386],[0.0949335],[-0.]
50,[-0.40506858],[0.09533668],[-0.]
51,[-0.40240906],[0.09341073],[-0.]
52,[-0.40123395],[0.09046743],[-0.]
53,[-0.4019707],[0.09038772],[-0.]
54,[-0.39332907],[0.08786139],[-0.]
55,[-0.39908559],[0.08754355],[-0.]
56,[-0.40575907],[0.08856166],[-0.]
57,[-0.39418357],[0.08456452],[-0.]
58,[-0.4016118],[0.08656717],[-0.]
59,[-0.39434514],[0.08312298],[-0.]
60,[-0.42000331],[0.09130662],[-0.]
61,[-0.4000583],[0.08350218],[-0.]
62,[-0.39908443],[0.08320198],[-0.]
63,[-0.40362587],[0.08298609],[-0.]
64,[-0.3989213],[0.08059152],[-0.]
65,[-0.40449541],[0.0821657],[-0.]
66,[-0.40763842],[0.08161681],[-0.]
67,[-0.40489137],[0.08077336],[-0.]
68,[-0.406164],[0.08034685],[-0.]
69,[-0.4010654],[0.07919228],[-0.]
70,[-0.39829009],[0.07784041],[-0.]
71,[-0.39979639],[0.07723035],[-0.]
72,[-0.39831486],[0.07755255],[-0.]
73,[-0.39588538],[0.07596872],[-0.]
74,[-0.39958766],[0.07658746],[-0.]
75,[-0.41124167],[0.07926412],[-0.]
76,[-0.3999988],[0.07538363],[-0.]
77,[-0.4100907],[0.07689162],[-0.]
78,[-0.41538546],[0.07803277],[-0.]
79,[-0.3984913],[0.07421028],[-0.]
80,[-0.40378685],[0.07403467],[-0.]
81,[-0.40210916],[0.07349216],[-0.]
82,[-0.39895015],[0.07290344],[-0.]
83,[-0.40415555],[0.0730696],[-0.]
84,[-0.403293],[0.07303221],[-0.]
85,[-0.39701309],[0.07108147],[-0.]
86,[-0.39688645],[0.07061958],[-0.]
87,[-0.40037155],[0.07094429],[-0.]
88,[-0.40307286],[0.0711785],[-0.]
89,[-0.40290026],[0.07068085],[-0.]
90,[-0.40902491],[0.07244681],[-0.]
91,[-0.39970701],[0.06950329],[-0.]
92,[-0.40345178],[0.07013814],[-0.]
93,[-0.40279793],[0.06957809],[-0.]
94,[-0.40420143],[0.06959592],[-0.]
95,[-0.39879821],[0.06773483],[-0.]
