,Mean,Variance,Predictive model
0,[22214.85197275],[13516.62905282],[-53.32174465]
1,[-145956.91203744],[94585.60773952],[-2040.9525412]
2,[-70960.46274326],[57590.96812285],[-128.22885973]
3,[-17497.92789295],[65800.23687317],[-447.78336131]
4,[12008.2320096],[44248.77009933],[-559.59659468]
5,[-51911.56808523],[65424.15108599],[-6701.01739768]
6,[-37159.15172352],[58727.77089493],[-7956.10378226]
7,[-3393.5248433],[33840.41439709],[-1396.10331637]
8,[-41446.99547815],[38333.90913124],[-162.26685159]
9,[-31953.97342622],[44323.26907527],[-6789.50182391]
10,[-8877.7197398],[25035.41999626],[-557.38924841]
11,[5562.00590839],[17837.6633386],[-177.65109654]
12,[4178.57761544],[14900.12425011],[-84.56997421]
13,[-17314.97607765],[22577.12414313],[-1952.49131579]
14,[-50396.02715538],[53678.01546922],[-149.5347248]
15,[-1769.14561125],[28507.2207881],[-307.25113856]
16,[-12043.6090116],[28281.20385736],[-1057.17447625]
17,[8734.38666128],[18185.47653253],[-3480.14290025]
18,[-2108.35922292],[18393.78825714],[-1420.93943846]
19,[7834.92363888],[13671.44093522],[-788.17518092]
20,[-1691.27202243],[16113.86109837],[-1111.48774329]
21,[8101.15298785],[15078.35728783],[-10909.99636968]
22,[9053.40786016],[17988.10365202],[-1754.18580314]
23,[2867.28968305],[16784.77474492],[-1020.70453106]
24,[2191.6594739],[14450.15485396],[-536.5830356]
25,[-17156.81287956],[18716.97355044],[-499.14400096]
26,[-12549.7616285],[20291.05437978],[-677.71907528]
27,[-1137.15859979],[12180.78763054],[-436.02090355]
28,[-29976.07131316],[23565.75798034],[-1671.44685391]
29,[1638.75911278],[11471.0704343],[-1033.05412564]
30,[-8457.14318558],[14130.66756348],[-4585.87568109]
31,[-27906.78921826],[20704.68035602],[-555.14845908]
32,[-8659.04335471],[14552.8931677],[-804.19329581]
33,[930.53651166],[10144.82302414],[-855.5025068]
34,[5101.62064284],[7700.21407495],[-838.00920266]
35,[-19355.06668436],[16508.08343981],[-1346.82724643]
36,[3286.52593779],[7518.43811917],[-2994.43158926]
37,[-163.92353132],[7558.560117],[-823.14057194]
38,[-1652.59311456],[7433.15988723],[-1108.83123089]
39,[1036.82936871],[6075.9414199],[-1203.45221191]
40,[-8783.90395786],[9966.42287761],[-1870.46939759]
41,[1029.57287882],[6233.07448531],[-1639.01877654]
42,[-3895.19346646],[7469.31531634],[-1195.89474712]
43,[-1080.99242691],[6101.94773339],[-1227.54246693]
44,[1201.46047498],[4808.85932378],[-1208.7490277]
45,[120.05237811],[5004.04852066],[-1306.26220432]
46,[2629.19618906],[3828.31145731],[-1225.57461178]
47,[1663.01972062],[4324.17459997],[-1144.36124201]
48,[1475.48888044],[4067.60041548],[-1043.16502833]
49,[-699.80707118],[4956.0647312],[-1249.10230695]
50,[1111.50498669],[4330.446153],[-1254.1455835]
51,[-2302.49494024],[4772.54110303],[-1064.56611457]
52,[270.78896699],[3575.33181971],[-1184.34954576]
53,[-733.94230605],[3706.71185088],[-1393.28405678]
54,[-862.84518555],[3515.19198214],[-1079.09510441]
55,[-515.51615855],[3364.36147999],[-1092.03565177]
56,[-864.19451754],[3366.99620663],[-1054.39538543]
57,[11.3952356],[3053.74023424],[-1428.65047081]
58,[989.05936397],[2617.33260413],[-1313.14050715]
59,[-345.42382472],[3196.78808091],[-1193.71629359]
60,[72.99371834],[2791.43067902],[-1270.65768342]
61,[-4897.66544524],[5797.90125086],[-2326.91488857]
62,[-167.40921215],[2685.07325293],[-1172.27661479]
63,[657.87341738],[2224.37923481],[-1371.39558037]
64,[-1342.80657157],[2933.3113112],[-1087.61444054]
65,[-696.15472033],[2606.02786733],[-1158.07160522]
66,[-456.05242737],[2243.57479049],[-1192.83482553]
67,[-32.42323038],[2011.53005044],[-1162.25585553]
68,[174.63834065],[1767.92929949],[-1254.33868652]
69,[73.23870864],[1784.99458236],[-1007.4850326]
70,[30.4809152],[1634.80157766],[-921.02719144]
71,[-625.65724044],[1854.80780392],[-1009.31615235]
72,[497.50955211],[1383.39389401],[-919.84993182]
73,[-1399.70874619],[2175.18762641],[-1103.20717732]
74,[10.8492343],[1512.4476146],[-1107.75343815]
75,[-249.65936165],[1561.48800167],[-915.31952951]
76,[-91.17051018],[1512.6785316],[-1064.10266599]
77,[282.08687542],[1309.52696111],[-837.50138882]
78,[-746.83539955],[1682.28453946],[-990.71702256]
79,[-774.43078271],[1626.78793246],[-964.97101296]
80,[-570.11774841],[1479.68334592],[-842.85639218]
81,[-2906.03882927],[2719.49427493],[-1799.43516286]
82,[-1791.04644432],[2238.40093495],[-1838.02765454]
83,[-203.85974456],[1308.28247806],[-1081.57564851]
84,[-34.47075222],[1186.7654004],[-918.74389312]
85,[-529.14803059],[1362.36059384],[-1001.664964]
86,[-324.58405655],[1298.28850314],[-1046.70711896]
87,[-62.76314322],[1119.76135044],[-1050.38836701]
88,[-826.25152556],[1394.05798763],[-908.6923726]
89,[-49.11820567],[1066.42544234],[-920.7048821]
90,[-597.9077155],[1266.00753528],[-823.96370912]
91,[-253.31061005],[1108.65905515],[-949.42043751]
92,[-200.36093483],[1063.07516417],[-898.34365719]
93,[-79.388849],[973.25114691],[-978.91315877]
94,[-165.80222346],[1045.10203462],[-1047.99712891]
95,[57.1714896],[885.73268449],[-905.66725566]
