,Mean,Variance,Predictive model
0,[-145417.87530596],[198979.37046733],[-1257.7782245]
1,[-503774.70032917],[161942.41097251],[-2011.03687716]
2,[-27726.59621793],[43100.77640709],[-412.98280434]
3,[-6796.8829411],[18102.00366878],[-541.95048638]
4,[-59579.64868114],[22325.24567177],[-377.77998275]
5,[-18617.38220978],[11881.8130528],[-992.19809742]
6,[-1775.69943794],[6794.66008095],[-626.45278927]
7,[-15324.9935576],[8807.04628294],[-988.42752985]
8,[-6.97693293],[3648.06307114],[-501.68232379]
9,[-7054.7046969],[3438.68118798],[-722.65754309]
10,[-2891.47011718],[2246.85759163],[-634.22110516]
11,[-3994.8263916],[1781.75999518],[-602.07764633]
12,[-2369.90833773],[1420.57316455],[-645.02546269]
13,[-2097.59897338],[1214.44673032],[-862.42768075]
14,[-1764.65886499],[1064.62512372],[-877.42805882]
15,[-10545.5686609],[7922.82355096],[-3995.19467854]
16,[-1406.91501688],[2326.91503661],[-1195.7093958]
17,[-3696.04474893],[3784.23456861],[-2885.95349922]
18,[49.30769648],[2821.76902009],[-1906.47544701]
19,[-6835.72994459],[5781.72793938],[-1741.70785433]
20,[-5729.77806547],[5214.44005885],[-1542.22425987]
21,[-4901.00521624],[4838.0824728],[-1829.02519039]
22,[-3746.016589],[4696.381978],[-1571.30499355]
23,[-60738.53996099],[31452.53708093],[-7849.05773232]
24,[-65574.75600336],[26693.8798811],[-18021.07199534]
25,[-15976.00242829],[14027.40139478],[-8012.71046824]
26,[-7669.00155367],[12096.01293795],[-8589.32490066]
27,[-6346.8065714],[8551.99789939],[-3766.31069429]
28,[-11392.52265511],[10498.08124233],[-6101.33782461]
29,[-10652.95304787],[8352.61486986],[-6980.88363062]
30,[-4437.61187283],[4880.45270132],[-4844.70320051]
31,[-6239.87478441],[11284.46087158],[-3928.04683319]
32,[-4027.29698865],[4188.84662936],[-5434.43941675]
33,[59.53390292],[3131.49934499],[-5339.45549744]
34,[-19100.33785982],[7121.13999233],[-5112.3508233]
35,[-6838.35640294],[4297.39943181],[-4373.10705225]
36,[-11812.6752826],[5156.05147114],[-6676.46989545]
37,[-5221.43539046],[3455.83646526],[-4919.65165584]
38,[-3412.84116283],[2934.78596535],[-5203.51981311]
39,[-496.97165786],[1972.49832824],[-5788.89987029]
40,[-1576.38633212],[2092.64396239],[-5437.7341192]
41,[-5287.50390624],[2553.32111428],[-5138.23985651]
42,[-768.73882366],[1587.21076093],[-6178.98879185]
43,[-8735.33710967],[3449.01045393],[-7089.9747825]
44,[-2594.42142385],[2028.0600233],[-6330.60224279]
45,[-37953.37423085],[15349.88337574],[-20214.55299739]
46,[2559.70294916],[5213.48408485],[-7119.04565588]
47,[-370.75808915],[1389.58906781],[-6059.29434766]
48,[-2184.79855319],[5654.51282594],[-6915.94508347]
49,[-1989.33085673],[4870.00592452],[-5983.42167012]
50,[-1382.25542116],[4489.44429429],[-6543.560935]
51,[-3352.94671762],[1942.70256121],[-5264.20890099]
52,[-2281.17065213],[1584.73979298],[-6075.3490416]
53,[-2867.00047132],[4796.58450449],[-6049.10205584]
54,[-3485.62979661],[1795.28397679],[-6042.10114265]
55,[-1119.95386948],[4595.68385331],[-6669.37456625]
56,[439.44117408],[959.77630126],[-5453.25885905]
57,[-1462.73083002],[1434.97160135],[-6116.02677323]
58,[-13242.18758387],[4344.4087297],[-8520.66705654]
59,[-1247.10650028],[4506.87121369],[-5862.41722753]
60,[-581.42205052],[1091.73894128],[-5411.68959118]
61,[-2437.23014096],[4652.44962775],[-5063.08357659]
62,[-437.25215986],[1050.14857451],[-4729.75088479]
63,[-237.06348069],[958.37266099],[-4986.31910418]
64,[-35.36553392],[836.33848661],[-5197.06869885]
65,[95.54355605],[859.92456077],[-4874.26853456]
66,[-1450.84165277],[4140.6769623],[-4643.32573663]
67,[-464.40728041],[880.23084125],[-4663.12485193]
68,[-2419.64490247],[1278.53170492],[-4844.95187741]
69,[-746.91874846],[957.38804358],[-4671.76409989]
70,[677.98900391],[610.79523548],[-4058.644425]
71,[640.21959125],[688.00790208],[-4333.9904603]
72,[-664.11804291],[885.92590047],[-4324.72710102]
73,[-191.8919196],[735.08442935],[-4562.77910055]
74,[-1378.90621755],[987.56819652],[-5102.07848142]
75,[176.41685588],[666.64784778],[-4100.85285018]
76,[521.47688107],[590.36565656],[-4131.53520329]
77,[-42.86742657],[703.8385044],[-3938.40229683]
78,[3.6234661],[659.50214772],[-4421.56336624]
79,[-505.67449851],[804.93589087],[-3886.9285921]
80,[549.1194095],[569.1242914],[-3683.97593626]
81,[387.62898229],[605.1773178],[-3835.39486335]
82,[12.20766448],[688.33181269],[-3482.6275619]
83,[226.83963477],[581.48368199],[-3306.62648216]
84,[-148.79254846],[642.04947922],[-3171.23860139]
85,[274.46850693],[568.50959814],[-3710.63019558]
86,[-2154.26865374],[1093.35232547],[-3530.40941852]
87,[471.16804284],[543.10940333],[-3732.27109609]
88,[472.95498337],[524.99375866],[-3682.81014699]
89,[200.0244623],[550.58017948],[-3335.73569527]
90,[154.64527806],[575.73603009],[-3882.07371142]
91,[60.95998803],[577.00128459],[-3295.36909701]
92,[-843.26101516],[773.67700708],[-3438.49022063]
93,[380.72985108],[518.95939259],[-3124.21182261]
94,[443.81047947],[495.87864697],[-2849.14968469]
95,[-272.26270039],[657.13553189],[-3049.34485794]
