,Mean,Variance,Predictive model
0,[2.31795015],[8.48737641],[-0.12899558]
1,[-2.79051276],[25.78803362],[-0.1425926]
2,[-12.03416777],[31.21192786],[-0.19803455]
3,[-18.71627644],[30.76061528],[-1.09258986]
4,[4.48048726],[21.87388227],[-0.12499154]
5,[-29.11748357],[31.24098431],[-1.46834074]
6,[0.46825877],[17.35591518],[-0.32335711]
7,[-8.86545394],[17.55109734],[-1.16155833]
8,[-10.96895156],[29.84208112],[-0.22380553]
9,[10.87902233],[13.60259921],[-0.14782638]
10,[8.73786094],[10.60376702],[-0.11831443]
11,[-35.82044843],[31.48925148],[-7.34372617]
12,[6.59708185],[9.59983454],[-0.45710329]
13,[-12.54912837],[16.35956614],[-1.55537894]
14,[5.21464302],[6.73026618],[-0.15465208]
15,[-4.81274825],[10.32567393],[-0.28251185]
16,[-6.6807443],[10.5176106],[-1.09373962]
17,[2.55631039],[6.67358546],[-1.71292785]
18,[0.65229509],[4.76348526],[-0.23030276]
19,[-1.26502753],[4.91804715],[-0.22899212]
20,[0.5994258],[3.52256151],[-0.29864118]
21,[2.70905024],[2.66697306],[-0.2679536]
22,[-3.21949232],[5.05974358],[-1.58056847]
23,[0.91830232],[2.63450834],[-0.2947656]
24,[1.73452937],[2.29421998],[-0.35627846]
25,[-2.72793926],[3.82724814],[-0.22595921]
26,[-6.84160848],[5.5459516],[-0.35786953]
27,[-1.40705155],[3.26572108],[-0.34610517]
28,[1.38589464],[1.89254306],[-0.42374145]
29,[0.72457859],[1.63474118],[-0.41699751]
30,[-1.70842508],[2.31888129],[-0.33755183]
31,[0.97139672],[1.2876403],[-0.42561913]
32,[-0.75330065],[1.97545171],[-0.4126333]
33,[-0.32261642],[1.60735024],[-0.42634664]
34,[0.85022657],[1.19008748],[-0.55913727]
35,[1.22627366],[0.85354196],[-0.37311681]
36,[1.17854671],[0.72326577],[-0.47260648]
37,[-0.87055254],[1.43527619],[-0.50838789]
38,[-0.24794122],[1.13311677],[-0.48602455]
39,[-1.00587641],[1.43587733],[-0.55393652]
40,[0.78810028],[0.62309609],[-0.44525066]
41,[0.61102945],[0.64446579],[-0.3565205]
42,[-0.27154863],[0.92217186],[-0.49390122]
43,[1.14745721],[0.3491519],[-0.51216879]
44,[0.14697485],[0.70968693],[-0.24569032]
45,[0.92179807],[0.38869982],[-0.47250341]
46,[0.44338996],[0.56062098],[-0.32947202]
47,[0.78882576],[0.40777127],[-0.31051525]
48,[0.49940613],[0.51322537],[-0.41326083]
49,[-1.70651185],[1.30655585],[-0.28730605]
50,[1.01200506],[0.2056227],[-0.45533493]
51,[0.60942682],[0.32636791],[-0.42798952]
52,[1.04865544],[0.15061537],[-0.23252622]
53,[1.02454161],[0.13011488],[-0.18281419]
54,[-0.03148312],[0.57373166],[-0.36570434]
55,[1.00554041],[0.13343226],[-0.11467341]
56,[0.70385952],[0.2596679],[-0.24177775]
57,[-0.24151681],[0.69911836],[-0.41947297]
58,[1.00376171],[0.13066209],[-0.23285499]
59,[1.02725141],[0.11106798],[-0.12324411]
60,[0.96565903],[0.13257032],[-0.13059636]
61,[0.96613419],[0.13107164],[-0.02173058]
62,[1.01233554],[0.11004047],[-0.09208764]
63,[0.97629507],[0.12402559],[-0.04630558]
64,[1.03071749],[0.09976547],[-0.02143273]
65,[1.00409209],[0.10494079],[-0.02237772]
66,[0.64813498],[0.24833711],[-0.07589969]
67,[1.02740604],[0.09842122],[0.01392408]
68,[1.02098287],[0.09764552],[0.0665235]
69,[1.01947574],[0.09630485],[0.17479389]
70,[1.02822877],[0.09152846],[-0.00833284]
71,[1.02691979],[0.0903807],[0.16690796]
72,[1.02427538],[0.09024661],[0.15662609]
73,[1.02761111],[0.08830323],[0.24195859]
74,[0.89937789],[0.13845556],[0.21158461]
75,[1.02765762],[0.08728205],[0.20893384]
76,[1.02491919],[0.08725055],[0.25379055]
77,[1.02765797],[0.08524328],[0.11373694]
78,[1.03085436],[0.08325384],[0.13354057]
79,[-5.69001602],[3.02139013],[-0.]
80,[-0.98296479],[1.03069856],[-0.]
81,[-0.82770778],[0.92336832],[-0.]
82,[-2.46997635],[1.56903594],[-0.]
83,[1.02544843],[0.08269666],[0.]
84,[1.02679551],[0.08217832],[0.]
85,[1.02562594],[0.08176424],[0.]
86,[1.02588867],[0.08085682],[0.]
87,[1.02772999],[0.07997224],[0.]
88,[1.0312255],[0.0780689],[0.]
89,[1.02885376],[0.07886452],[0.]
90,[1.02787731],[0.07822479],[0.]
91,[1.02819765],[0.07777352],[0.]
92,[0.41174392],[0.31892725],[0.]
93,[1.02787984],[0.07687455],[0.]
94,[1.02816491],[0.07651777],[0.]
95,[1.03038176],[0.07510012],[0.]
