,Mean,Variance,Predictive model
0,[1.69320385],[0.45551269],[0.01643246]
1,[1.76706011],[0.47120654],[0.01388056]
2,[1.68086893],[0.52840953],[0.02773313]
3,[1.67750564],[0.4977155],[0.03461558]
4,[0.93132517],[0.60388295],[0.05988005]
5,[1.72875271],[0.44501503],[0.06523373]
6,[1.89578812],[0.46777433],[0.06550282]
7,[1.72657311],[0.4185663],[0.07786076]
8,[1.84571577],[0.43369091],[0.09233734]
9,[1.73261578],[0.42370745],[0.10615994]
10,[1.90129381],[0.35246964],[0.10381919]
11,[1.84747371],[0.37884736],[0.14775174]
12,[1.63233968],[0.46020053],[0.14404282]
13,[1.90158412],[0.32328413],[0.21298325]
14,[1.72246475],[0.45075891],[0.22276942]
15,[1.75914682],[0.42619581],[0.2060997]
16,[1.54626914],[0.48799041],[0.25454722]
17,[1.74660978],[0.43694503],[0.26892515]
18,[1.62579563],[0.44708028],[0.32714994]
19,[1.60960002],[0.44454174],[0.39537366]
20,[1.73883155],[0.44158165],[0.37490992]
21,[1.80375964],[0.39303065],[0.41983723]
22,[1.80783215],[0.41312381],[0.36372132]
23,[1.55432787],[0.43650013],[0.42199443]
24,[2.00101044],[0.32069042],[0.42905728]
25,[1.54234943],[0.44130161],[0.51626884]
26,[1.69369322],[0.40974177],[0.48414991]
27,[1.81955066],[0.33628721],[0.58576342]
28,[1.59324078],[0.45129099],[0.73054332]
29,[1.65394183],[0.43116481],[0.65990193]
30,[1.36920035],[0.46723703],[0.78382572]
31,[1.41249615],[0.46613],[0.78649682]
32,[2.56937791],[0.55809192],[0.93590908]
33,[1.24618384],[0.64257044],[1.31479171]
34,[2.41359676],[0.54347267],[0.53226757]
35,[2.92112138],[0.49592371],[1.07298617]
36,[2.59874686],[0.5625616],[0.78260475]
37,[1.30534251],[0.67077296],[1.92250806]
38,[2.26167518],[0.56516884],[1.64771257]
39,[2.44630023],[0.59279371],[1.12255876]
40,[3.54694193],[0.34280891],[1.95888398]
41,[3.56274257],[0.36266391],[1.3615307]
42,[2.38365604],[0.56900243],[1.66461633]
43,[2.90261989],[0.52079334],[1.16800421]
44,[2.99603043],[0.32853351],[1.74834183]
45,[2.64582572],[0.52315077],[2.63855094]
46,[1.85369176],[0.63793611],[2.3701944]
47,[3.10832004],[0.49101141],[1.90783801]
48,[3.48545],[0.36205223],[2.28903295]
49,[1.92977461],[0.63692478],[1.70954295]
50,[1.32746929],[0.66644996],[2.27705869]
51,[1.9367007],[0.59433082],[2.21176515]
52,[1.31086741],[0.66585193],[2.18580289]
53,[3.60067162],[0.24992902],[1.65757727]
54,[2.72490997],[0.5311062],[1.67726366]
55,[2.10001069],[0.59211252],[1.60225946]
56,[3.58617509],[0.31087872],[1.4415334]
57,[1.85621015],[0.61137015],[1.93224813]
58,[3.48813532],[0.33336453],[1.5288502]
59,[1.79317514],[0.63912691],[1.86894405]
60,[2.35907892],[0.43471067],[1.74791318]
61,[1.89696496],[0.55344498],[2.15176107]
62,[2.40861767],[0.53452584],[1.60887712]
63,[1.57617648],[0.62588617],[2.07942124]
64,[2.74017753],[0.52318664],[1.79788509]
65,[1.47819937],[0.69395266],[2.40908076]
66,[1.61300519],[0.68414407],[2.48298424]
67,[3.34825572],[0.35213728],[1.72993578]
68,[3.35100406],[0.42013333],[1.42991167]
69,[2.3893023],[0.61741011],[1.70094597]
70,[3.60200856],[0.35804608],[2.38901941]
71,[3.46849039],[0.37914481],[1.89859913]
72,[2.62849036],[0.55982982],[1.70466083]
73,[3.11286548],[0.47444042],[2.07895715]
74,[3.43775605],[0.50100094],[2.09482682]
75,[1.77254363],[0.71815274],[2.21806359]
76,[2.89206869],[0.50838975],[1.47736273]
77,[2.40337752],[0.52478229],[2.20433456]
78,[2.90758085],[0.48224739],[1.54357821]
79,[3.09211331],[0.51553258],[1.82806532]
80,[2.22045669],[0.6494713],[1.794122]
81,[2.28845354],[0.58852627],[1.81893934]
82,[2.50782798],[0.52242303],[2.10043717]
83,[2.1963077],[0.55384325],[2.22930809]
84,[3.31776777],[0.46877339],[1.33755242]
85,[1.97756442],[0.66032276],[2.08822339]
86,[2.18083812],[0.68932763],[1.81800981]
87,[2.61617587],[0.56831445],[1.72823716]
88,[2.98389666],[0.4729501],[2.03071205]
89,[3.68653687],[0.40681643],[2.66615557]
90,[2.48525656],[0.62627914],[2.4328337]
91,[2.42322884],[0.45445013],[2.2443553]
92,[3.09914535],[0.45299606],[1.94769519]
93,[2.05041536],[0.71978289],[2.45125632]
94,[2.34357319],[0.58355076],[2.13085749]
95,[2.43757277],[0.63224635],[1.97522583]
