,Mean,Variance,Predictive model
0,[-14.88304453],[7.48226462],[-0.17425215]
1,[-15.09267004],[27.03284437],[-0.08075552]
2,[7.17508914],[10.73790848],[-0.0987437]
3,[-7.04389646],[6.17616653],[-0.11651683]
4,[0.77895934],[2.42865769],[-0.05452309]
5,[-0.88163548],[2.46216199],[-0.08662186]
6,[-19.80877069],[8.81455843],[-0.10343366]
7,[-4.77103615],[4.16004619],[-0.0761792]
8,[-0.86427749],[1.54359787],[-0.12096511]
9,[1.30696756],[0.58030017],[-0.10377061]
10,[-1.5685444],[1.9083655],[-0.18395916]
11,[-2.62138164],[2.19527549],[-0.06702404]
12,[-0.10966397],[0.99053296],[-0.06384134]
13,[0.32010129],[0.85938401],[-0.07352671]
14,[-2.12216579],[1.51415737],[-0.05743895]
15,[0.90074065],[0.28634813],[-0.04210551]
16,[-1.12162381],[1.04833764],[-0.10579574]
17,[0.5329216],[0.30524792],[-0.03665641]
18,[-3.88574987],[19.7476333],[-5.37733799]
19,[0.95544475],[0.57533102],[-0.70801515]
20,[-4.48796463],[17.993455],[-9.26636822]
21,[-5.88284926],[16.06206578],[-6.42110917]
22,[-17.38861514],[24.58785178],[-12.5152801]
23,[-21.80802852],[20.46396987],[-4.03983173]
24,[-6.75864949],[10.40870181],[-0.72664227]
25,[0.34984942],[6.46234133],[-0.53739903]
26,[-2.9141173],[7.67602421],[-0.66168834]
27,[-6.97617838],[8.02247716],[-3.04270441]
28,[-3.01579793],[5.87821174],[-0.4899346]
29,[0.49258661],[3.37231622],[-0.18713821]
30,[-0.0870856],[3.00444376],[-0.31308831]
31,[-3.27407672],[4.30257623],[-0.96673684]
32,[0.34612906],[2.50557426],[-0.61875583]
33,[1.19486405],[2.11422618],[-0.44685549]
34,[0.32377635],[2.21199065],[-0.38509424]
35,[-1.5391922],[2.95325628],[-0.72667474]
36,[-1.93450486],[2.85422128],[-0.49042618]
37,[0.30971917],[1.8213118],[-0.41510006]
38,[-1.30928011],[2.13848253],[-0.45383028]
39,[-4.29431391],[3.32717194],[-0.48597701]
40,[0.86455367],[1.12743508],[-0.34034465]
41,[1.04238686],[0.87903894],[-0.44780503]
42,[-0.21788626],[1.28354646],[-0.4228636]
43,[-0.46785137],[1.31192003],[-0.38065671]
44,[-0.58132287],[1.21703758],[-0.26662566]
45,[-0.13455588],[1.05326631],[-0.58343694]
46,[-2.03685932],[1.82740711],[-0.68510639]
47,[0.95560761],[0.46522779],[-0.39139586]
48,[0.58944823],[0.59252896],[-0.38303995]
49,[0.23030979],[0.62284273],[-0.18095639]
50,[-0.33804739],[1.13901219],[-0.83195351]
51,[-0.07436782],[0.72686261],[-0.19487301]
52,[0.85347448],[0.293133],[-0.12664469]
53,[0.54961923],[0.38889231],[-0.18743036]
54,[0.98107209],[0.19378052],[-0.07205827]
55,[0.66013835],[0.32258929],[-0.28697417]
56,[-0.1347892],[0.60304706],[-0.09581077]
57,[0.97615428],[0.1566042],[-0.05324875]
58,[0.86402647],[0.1794471],[-0.01231381]
59,[1.01210005],[0.12248431],[0.00785309]
60,[0.91833153],[0.13920767],[-0.0367972]
61,[0.90592191],[0.14001557],[0.11102215]
62,[1.02199341],[0.09124715],[0.14613908]
63,[1.03030372],[0.08547117],[0.19799862]
64,[1.02027691],[0.08531122],[0.15031724]
65,[1.01857724],[0.08280635],[0.14638363]
66,[1.02398714],[0.07903537],[0.26778659]
67,[1.0124988],[0.08173055],[0.26979184]
68,[1.01455218],[0.08101103],[0.23204055]
69,[1.02659784],[0.07531141],[0.25646233]
70,[0.9679342],[0.0973251],[0.37257383]
71,[1.02928175],[0.07396578],[0.3586057]
72,[1.01556033],[0.0758129],[0.36078225]
73,[1.0154129],[0.07446443],[0.44339087]
74,[1.03053171],[0.0708148],[0.32817708]
75,[1.02958749],[0.07016034],[0.53634017]
76,[-3.5512023],[2.820901],[-0.]
77,[-2.95726326],[2.56049362],[-0.]
78,[-1.85791927],[2.07471501],[-0.]
79,[1.20761393],[0.61633676],[-0.]
80,[-1.28327269],[1.58897131],[-0.]
81,[0.52736676],[0.77967141],[-0.]
82,[-0.37300785],[1.11547536],[-0.]
83,[-0.56768037],[1.09462703],[-0.]
84,[0.88602543],[0.45356619],[0.]
85,[0.95840236],[0.3731276],[0.]
86,[-0.16177949],[0.71977992],[-0.]
87,[0.26593736],[0.52436331],[-0.]
88,[-5.46975841],[2.71083156],[-0.]
89,[0.93221967],[0.22818178],[0.]
90,[0.97625308],[0.17713773],[0.]
91,[0.07801248],[0.49155516],[-0.]
92,[-3.02498565],[1.69102172],[-0.]
93,[1.00950995],[0.10833834],[0.]
94,[1.02058486],[0.08961139],[0.]
95,[1.02989045],[0.07531008],[0.]
