,Mean,Variance,Predictive model
0,[-162308.7732082],[111664.96180364],[-2853.26396532]
1,[-66400.56159956],[77024.56599556],[-2054.71498772]
2,[-35913.44517157],[41035.97324799],[-91.95506828]
3,[-51470.99875541],[48079.26106551],[-507.73609804]
4,[-26255.97028699],[33592.44441034],[-2217.02047922]
5,[-25526.56280689],[33584.96351242],[-4278.39387195]
6,[10351.53604927],[13980.45495728],[-80.70330935]
7,[818.55827475],[15586.22088845],[-421.80680894]
8,[3697.03981247],[11988.28662],[-556.60576377]
9,[325.45890476],[10789.53663445],[-148.23081071]
10,[3649.128208],[7156.38676818],[-191.84851374]
11,[6633.19568393],[5783.73666239],[-149.30153341]
12,[-22640.54266803],[17802.9224644],[-98.04061279]
13,[-2839.60656563],[12738.74806954],[-5701.99081784]
14,[-12970.66471708],[13680.87573012],[-2520.83282826]
15,[-1167.78571957],[7469.17485292],[-251.75881758]
16,[5438.41409976],[4620.62686717],[-95.52066946]
17,[-17.20694129],[5272.64860975],[-118.47155404]
18,[2674.9188788],[3812.01532609],[-116.48095778]
19,[-14203.19999328],[10398.79501421],[-177.66633097]
20,[1879.4605982],[3529.3594048],[-929.64173836]
21,[204.36760389],[3574.09266754],[-211.86570525]
22,[-212.22879264],[3468.24716134],[-278.7586257]
23,[332.71811705],[3540.04555974],[-1182.37236681]
24,[364.23395925],[2399.1644909],[-227.63368294]
25,[312.92448517],[2089.81606976],[-248.7771894]
26,[23.98667714],[2066.72672647],[-356.09899794]
27,[-809.19222124],[2108.43156775],[-370.83586646]
28,[-651.87134551],[1932.96834806],[-327.30970813]
29,[-2079.78217603],[2387.9721522],[-309.9308989]
30,[-10225.7593284],[6020.29298703],[-1540.70976588]
31,[835.73247079],[1173.90102142],[-313.8015419]
32,[-445.46112319],[1694.27073812],[-444.19976471]
33,[920.01028667],[885.17215704],[-331.37116849]
34,[-366.89808477],[1388.86765334],[-469.25650636]
35,[-16.22627524],[1169.9827431],[-409.61064725]
36,[-432.42760233],[1288.63422572],[-558.09325478]
37,[395.57632974],[920.82473173],[-444.44416454]
38,[55.05503402],[954.60714675],[-480.79305443]
39,[-2598.49231188],[1961.69903207],[-502.96139417]
40,[344.07391313],[784.36932694],[-514.80968044]
41,[-177.96110199],[891.19470845],[-489.05484562]
42,[425.43026509],[651.30720413],[-520.52733092]
43,[-81.40190282],[815.23778142],[-645.75280236]
44,[3.37123127],[719.12885277],[-570.27323878]
45,[-704.07901477],[1017.44358673],[-687.28985338]
46,[215.77239482],[521.0601855],[-591.1267552]
47,[-395.26697915],[757.06619486],[-762.68423873]
48,[-470.79042563],[716.18958725],[-650.94139686]
49,[-49.42616101],[502.95148473],[-513.16462177]
50,[-178.36227696],[634.71830035],[-802.67597982]
51,[-1042.99268284],[902.66120511],[-615.2580116]
52,[-881.35501893],[772.32052831],[-486.45791489]
53,[-1765.8146499],[1125.330515],[-634.46625559]
54,[-74.75475062],[442.34880133],[-496.70782504]
55,[115.66837118],[387.06939657],[-495.23878558]
56,[231.26824994],[315.51905624],[-493.548678]
57,[-228.44433113],[503.73292087],[-562.41157342]
58,[-572.47579518],[624.51358615],[-558.07035088]
59,[-156.38394314],[428.09549254],[-468.77025404]
60,[76.75706427],[319.67749608],[-451.20109139]
61,[-97.82166828],[447.39607248],[-646.09454478]
62,[-1830.04894453],[1065.09447127],[-497.80240814]
63,[-698.07203307],[634.38815586],[-460.7794247]
64,[-1070.66774101],[755.44573457],[-512.64756535]
65,[107.85070279],[283.53963979],[-463.35574291]
66,[-373.76526689],[459.91416011],[-462.59393407]
67,[162.16464988],[258.5086309],[-362.53700179]
68,[57.69337943],[255.62201838],[-452.70756866]
69,[-898.99526334],[645.80020455],[-454.20138143]
70,[-1220.79006565],[890.10388141],[-647.79330622]
71,[-67.16689335],[299.77228703],[-506.70884642]
72,[-174.1362183],[354.98843796],[-473.89225384]
73,[-190.42640706],[395.4160949],[-526.93249707]
74,[-72.03135794],[293.05559647],[-483.07580716]
75,[15.57555741],[244.69175875],[-493.61397564]
76,[-41.82943408],[258.91958337],[-387.29056475]
77,[-591.3032973],[543.21787247],[-616.62426283]
78,[-221.98582615],[350.60955406],[-470.07942944]
79,[-13.71402259],[238.13182711],[-397.96418375]
80,[-118.0489021],[278.73085751],[-449.36589845]
81,[-52.0458902],[249.77755352],[-387.8270689]
82,[18.61423081],[223.29292625],[-466.28195596]
83,[-171.44202255],[292.2972683],[-445.36544175]
84,[16.48765294],[211.17106713],[-291.91542753]
85,[-166.99205103],[296.59324747],[-447.05028847]
86,[-19.16472885],[222.68842896],[-378.07531009]
87,[-210.57942034],[298.17769302],[-372.57181955]
88,[71.92252148],[183.94933467],[-346.55683845]
89,[-38.13479089],[218.34486755],[-422.24395548]
90,[-53.02863927],[221.25036975],[-340.94501957]
91,[22.37499439],[193.30654337],[-340.92039124]
92,[-986.20781194],[584.45014263],[-388.66223462]
93,[-900.42183769],[600.10156656],[-390.11398588]
94,[-30.09291019],[207.87722983],[-354.97104786]
95,[-74.15389882],[218.15473257],[-388.63338593]
