,Mean,Variance,Predictive model
0,[13.51159171],[1.46376998],[0.14312791]
1,[14.89129119],[1.12249333],[0.37466985]
2,[12.94083597],[2.15574945],[0.55723057]
3,[12.1119807],[2.03998285],[7.1177164]
4,[12.03564047],[2.08689891],[1.62708689]
5,[7.12927522],[3.59988731],[1.34077826]
6,[13.16732372],[1.32620981],[0.67721721]
7,[14.17070858],[0.99854847],[0.57675161]
8,[14.59456159],[0.50386655],[0.81524543]
9,[13.20828427],[2.21641838],[0.83745284]
10,[12.89930401],[2.74846189],[0.91977669]
11,[12.62692945],[2.74439758],[1.05858271]
12,[7.7288761],[3.69948265],[0.]
13,[13.32279325],[1.7745886],[0.]
14,[9.29350186],[3.00886715],[0.]
15,[13.50097672],[1.42624143],[0.]
16,[12.5861185],[1.51407866],[0.]
17,[7.42280727],[3.57956166],[0.]
18,[6.91086846],[3.55383285],[0.]
19,[13.96987991],[0.76524324],[0.]
20,[12.62420556],[2.52466177],[0.]
21,[7.02252006],[3.5239711],[0.]
22,[13.90603135],[1.32497881],[0.]
23,[6.91199485],[3.43840487],[0.]
24,[6.86875924],[3.397646],[0.]
25,[6.84236147],[3.34946333],[0.]
26,[12.848799],[2.19832109],[0.]
27,[6.77165275],[3.2905937],[0.]
28,[10.84458133],[2.54309142],[0.]
29,[6.65382018],[3.23513798],[0.]
30,[6.63480619],[3.19613335],[0.]
31,[6.65357507],[3.15753527],[0.]
32,[13.16516737],[1.75335257],[0.]
33,[6.66243035],[3.12700376],[0.]
34,[9.73301615],[2.70732657],[0.]
35,[6.57916115],[3.08400073],[0.]
36,[9.58865235],[2.68580924],[0.]
37,[7.81150465],[2.87587805],[0.]
38,[6.47294952],[3.04558992],[0.]
39,[10.1491888],[1.30638863],[0.]
40,[11.08723023],[2.20890441],[0.]
41,[14.07131002],[0.71612253],[0.]
42,[14.00071011],[1.46129786],[0.]
43,[6.48206576],[3.014101],[0.]
44,[13.17226703],[1.25613123],[0.]
45,[14.42830634],[0.44597728],[0.]
46,[13.59344507],[0.65283785],[0.]
47,[12.91616591],[1.32649837],[0.]
48,[7.49536057],[2.75904892],[0.]
49,[8.19636287],[2.48361227],[0.]
50,[10.35839438],[2.19610782],[0.]
51,[10.95304925],[1.77624361],[0.]
52,[10.11127458],[2.07555087],[0.]
53,[10.1140047],[1.98301824],[0.]
54,[10.48115214],[1.87643397],[0.]
55,[11.68689143],[1.4399632],[0.]
56,[10.15549985],[1.85542368],[0.]
57,[12.00091624],[1.16696142],[0.]
58,[7.95106221],[2.52658633],[0.]
59,[11.45175942],[1.10553941],[0.]
60,[13.5262322],[0.86194915],[0.]
61,[14.74350978],[0.44630134],[0.]
62,[11.37985225],[1.33155482],[0.]
63,[14.96782726],[0.34438296],[0.]
64,[7.27846626],[3.02493329],[0.]
65,[11.95424582],[0.99768654],[0.]
66,[7.61034867],[2.60590044],[0.]
67,[15.1039412],[0.33069665],[0.]
68,[15.06235343],[0.31851751],[0.]
69,[8.01346305],[2.41507456],[0.]
70,[15.05240893],[0.30073921],[0.]
71,[15.34747157],[0.29405401],[0.]
72,[9.58065378],[1.8784036],[0.]
73,[11.3996898],[1.15476978],[0.]
74,[8.58065654],[2.22044247],[0.]
75,[10.75245999],[1.11722355],[0.]
76,[15.47079916],[0.25932148],[0.]
77,[8.30874619],[2.29800726],[0.]
78,[14.59823888],[0.62613728],[0.]
79,[9.19066168],[1.7797671],[0.]
80,[15.54146132],[0.22601609],[0.]
81,[12.19377455],[0.66583148],[0.]
82,[15.63021549],[0.28573059],[0.]
83,[15.6544591],[0.26107998],[0.]
84,[15.72291672],[0.27869426],[0.]
85,[15.82049948],[0.27135432],[0.]
86,[16.00312735],[0.25283825],[0.]
87,[16.14254484],[0.22627067],[0.]
88,[8.44116353],[2.62369039],[0.]
89,[11.70634989],[1.35274625],[0.]
90,[7.87624415],[2.61712813],[0.]
91,[16.18342808],[0.20483753],[0.]
92,[10.56954897],[1.69877051],[0.]
93,[12.50451656],[0.73446448],[0.]
94,[16.20502184],[0.1890211],[0.]
95,[9.18661277],[1.97509011],[0.]
