,Mean,Variance,Predictive model
0,[6.60853483],[1.58201114],[0.06987173]
1,[7.94257645],[0.17526057],[0.22514152]
2,[8.34806573],[0.09862799],[1.06110159]
3,[5.27242056],[1.97957821],[45.53934171]
4,[6.32008516],[1.33941126],[0.40831339]
5,[8.07973864],[0.39904988],[0.36244686]
6,[7.26132236],[1.18759043],[0.42468192]
7,[7.009372],[1.39922608],[0.42337783]
8,[7.67976779],[1.74019386],[0.58414628]
9,[9.5355953],[1.03268045],[0.74213939]
10,[10.13130302],[1.56314204],[0.96055673]
11,[10.77115894],[1.35036794],[1.1919695]
12,[10.73711675],[2.19566049],[1.23581464]
13,[14.25244958],[1.45102468],[1.25586328]
14,[14.01852362],[1.46234273],[1.56589879]
15,[13.31796024],[1.80707391],[1.61778656]
16,[12.50124724],[2.16971183],[2.03928172]
17,[12.20652973],[1.648674],[2.20538849]
18,[13.5178606],[1.12588322],[2.0945139]
19,[13.9318791],[0.88318727],[2.21611301]
20,[14.21563727],[0.58887013],[2.63633051]
21,[14.01468706],[0.84068274],[2.96043173]
22,[13.82003849],[0.93350153],[3.53470944]
23,[15.05916231],[0.17055152],[3.79492678]
24,[8.97646556],[3.52702856],[4.58265845]
25,[11.82086237],[2.86718414],[4.35252684]
26,[9.23440512],[3.59367536],[5.13650148]
27,[9.16962014],[3.52925776],[5.29549013]
28,[8.90165802],[3.55683862],[5.44346367]
29,[8.9423608],[3.50481432],[5.61766386]
30,[9.01277945],[3.45236377],[5.76917066]
31,[8.96473989],[3.42044194],[6.00496205]
32,[15.88531788],[0.97127089],[5.07001741]
33,[8.27355595],[3.39466962],[6.63896908]
34,[8.56458412],[3.21356461],[7.14511299]
35,[8.57855373],[3.32434917],[6.3959317]
36,[8.90756075],[3.00251619],[6.85142675]
37,[15.95993894],[0.54523214],[7.64059837]
38,[9.55272843],[3.39388496],[8.32583178]
39,[9.00630562],[3.48584301],[8.66035724]
40,[9.05323525],[3.37743055],[9.01551766]
41,[11.56107848],[1.437758],[9.60947838]
42,[14.15516449],[1.04501107],[9.74414268]
43,[16.04401336],[0.21011722],[10.17132385]
44,[7.80674538],[3.2778854],[9.92312506]
45,[8.82953467],[2.51605827],[10.56885003]
46,[15.7446992],[0.29080607],[11.0227403]
47,[15.8791296],[0.23479895],[11.80434518]
48,[8.11045347],[3.53067876],[0.]
49,[8.55876176],[3.16074462],[0.]
50,[8.74996255],[3.00258747],[0.]
51,[8.23553969],[3.30948845],[0.]
52,[8.07239986],[3.1994346],[0.]
53,[15.59756525],[0.82581418],[0.]
54,[7.48033549],[3.32666493],[0.]
55,[6.98856511],[3.531774],[0.]
56,[7.27266995],[3.37811519],[0.]
57,[6.45006915],[3.54093252],[-0.]
58,[8.50652887],[2.83150849],[0.]
59,[7.20841138],[3.28422285],[0.]
60,[7.02331882],[3.19126885],[0.]
61,[12.98632474],[1.25951157],[0.]
62,[15.17954675],[0.51655205],[0.]
63,[8.24999711],[3.58507285],[0.]
64,[8.22422572],[3.3617017],[0.]
65,[7.65315905],[3.54759834],[0.]
66,[8.55480172],[3.11087144],[0.]
67,[8.30859561],[3.18429612],[0.]
68,[7.64576873],[3.38669063],[0.]
69,[8.00106103],[3.27465892],[0.]
70,[7.62760092],[3.26551633],[0.]
71,[7.61833962],[3.21042741],[0.]
72,[7.7175916],[3.13726664],[0.]
73,[7.59508716],[3.13444735],[0.]
74,[8.5889136],[2.7848687],[0.]
75,[8.58940684],[2.86395771],[0.]
76,[6.92110197],[3.26859029],[0.]
77,[9.44148843],[2.36807249],[0.]
78,[6.87008551],[3.22666925],[0.]
79,[8.21589313],[2.67359043],[0.]
80,[6.92869402],[3.12658082],[0.]
81,[8.53261714],[2.50650913],[0.]
82,[15.36294957],[0.36991587],[0.]
83,[7.82794219],[2.69632418],[0.]
84,[14.61304743],[0.8939882],[0.]
85,[15.49838108],[0.50476565],[0.]
86,[9.99836154],[1.91181392],[0.]
87,[8.68428596],[2.37438204],[0.]
88,[15.36787342],[0.65823316],[0.]
89,[6.70302931],[3.16285851],[0.]
90,[12.86683942],[0.96692654],[0.]
91,[6.8444185],[3.00893136],[0.]
92,[7.90250137],[2.65518072],[0.]
93,[9.15418111],[2.12689945],[0.]
94,[15.99198137],[0.24496091],[0.]
95,[8.18290187],[2.42848695],[0.]
