,Mean,Variance,Predictive model
0,[-31501.36891058],[47832.82856161],[-235.56890178]
1,[-43647.3047074],[48104.65671007],[-333.89934906]
2,[-60756.99323909],[117458.9517523],[-1077.46259215]
3,[-26611.40447023],[111196.23940793],[-53.43222145]
4,[-43194.65285055],[112388.7214079],[-52.3915037]
5,[8102.95000647],[73560.17479007],[-3371.57835973]
6,[-11750.84284404],[79595.41827107],[-359.16011535]
7,[-47397.73629573],[83123.04139076],[-2864.52564211]
8,[-30055.47204544],[72475.00869789],[-1306.0266392]
9,[990.48006327],[49659.27327317],[-56.14256091]
10,[-18140.98117093],[44723.49405974],[-301.68564441]
11,[10982.44646644],[29372.19872707],[-139.85743188]
12,[-28995.66840563],[44565.50167989],[-7387.25841392]
13,[-9773.27429547],[28016.09672733],[-1205.73361512]
14,[7789.107036],[16534.95343148],[-227.56256338]
15,[-17177.36589632],[26386.5792701],[-1645.47897252]
16,[117.30679127],[18426.13164045],[-425.2246639]
17,[-11081.60437171],[23012.1714599],[-5198.58527073]
18,[8153.19329029],[14298.45905423],[-1252.5152366]
19,[-12876.18577712],[20992.26599126],[-4261.98430497]
20,[-14798.24745228],[17216.82328876],[-320.71344638]
21,[-28219.73103427],[22539.40767172],[-293.01359074]
22,[-15146.84112747],[18498.69858397],[-5953.37751906]
23,[6620.57229194],[7705.08936839],[-652.178719]
24,[-15717.1692168],[16054.69165785],[-872.66032491]
25,[1883.09286929],[9548.75314343],[-1326.01830718]
26,[3981.22239291],[7408.24479184],[-482.12144822]
27,[-832.93989125],[9611.98544949],[-2292.34440508]
28,[1750.37369825],[6743.15911753],[-527.62567462]
29,[-10545.04556688],[10787.91494862],[-711.98057898]
30,[-1451.79860785],[7759.98666022],[-721.02480276]
31,[-1712.21463896],[7473.85596927],[-3268.30632136]
32,[2856.65346682],[4281.08443917],[-885.83765713]
33,[-1837.98720187],[5722.69377495],[-937.04065999]
34,[-5596.66741232],[7956.05515327],[-4030.69680926]
35,[3102.33648339],[3589.74213112],[-1183.92271195]
36,[-9165.33188935],[8316.02146411],[-1053.90022268]
37,[-137.98967115],[4307.52514207],[-1039.08641228]
38,[-645.79189608],[4494.18186413],[-1689.62900209]
39,[1029.02906269],[3372.76260175],[-859.46880116]
40,[1781.00113204],[2948.7713471],[-987.49458747]
41,[-964.60187877],[3894.30433633],[-1112.16906758]
42,[-3435.22517689],[4751.91801764],[-1530.99921645]
43,[-2258.1543902],[4123.28961511],[-1768.47680289]
44,[782.33197566],[2447.16620626],[-1548.9394033]
45,[-4959.44189542],[4576.18219071],[-1247.8795406]
46,[-5086.24791674],[4680.01453757],[-1172.021446]
47,[-2816.6614417],[3674.28131734],[-1100.24236289]
48,[-671.69838908],[2578.80796637],[-1390.66011167]
49,[-3689.77775558],[3667.81648486],[-1231.16683269]
50,[908.6352826],[1882.7658057],[-1328.053924]
51,[-603.16587725],[2265.90240291],[-1152.81601528]
52,[-1011.51126362],[3099.90630481],[-2638.39790711]
53,[991.66277481],[1486.62680003],[-1338.41570518]
54,[-618.80422599],[1901.08816968],[-1114.83501452]
55,[-813.25220858],[1884.1280675],[-1207.24700161]
56,[-125.34529579],[1534.77927748],[-976.12437309]
57,[697.71444081],[1230.22203493],[-1201.79244291]
58,[1195.27569993],[968.63521898],[-1072.15337038]
59,[-1039.11543871],[1752.53985662],[-1115.31568536]
60,[-479.12901053],[1622.36731295],[-1228.52101113]
61,[395.49941406],[1066.17898709],[-1026.73157089]
62,[-1126.13505203],[1686.90531666],[-1035.65531311]
63,[397.4024161],[1016.13524621],[-1033.14831471]
64,[507.28442888],[982.43796253],[-1109.50601663]
65,[-1463.29657285],[1725.56018932],[-1060.18762898]
66,[-2972.20669058],[2251.93403389],[-1015.19143297]
67,[335.39692125],[2023.81380896],[-3717.06604449]
68,[-1290.6337308],[2358.27909388],[-3124.96693979]
69,[-2315.98222309],[2122.46937506],[-1396.88842847]
70,[-1912.32287303],[1762.53427473],[-965.07928132]
71,[-592.36324652],[1227.79735909],[-1076.40869995]
72,[-126.20638162],[991.17235708],[-920.86568569]
73,[116.57801854],[985.70787872],[-1125.47281775]
74,[-404.97325072],[1063.15631834],[-1011.88652353]
75,[-303.28881255],[1006.51053986],[-1103.57029995]
76,[-278.94458141],[966.07357137],[-1079.96322421]
77,[513.14495769],[619.39285606],[-971.3626462]
78,[-735.6745575],[1070.47165121],[-1035.41210218]
79,[-891.01840962],[1125.79833397],[-1027.3309769]
80,[-472.88723624],[947.33288739],[-994.28064124]
81,[-261.85797047],[890.93518847],[-975.1382663]
82,[-949.36807137],[1748.11377667],[-2605.62587437]
83,[78.48836907],[655.60155675],[-938.33308121]
84,[350.36792192],[550.38090782],[-891.20554314]
85,[-89.62941612],[692.37662526],[-880.29042548]
86,[-650.42457857],[918.12991934],[-844.02151386]
87,[-84.59107611],[686.83646586],[-823.58733585]
88,[253.61602112],[506.17269064],[-848.43094011]
89,[-235.07383871],[683.23071906],[-913.10452301]
90,[103.05137569],[515.62883201],[-811.33418789]
91,[-1428.07042786],[1089.20854936],[-817.19098017]
92,[108.70533072],[472.69858577],[-941.6493983]
93,[-334.89758725],[635.80880694],[-884.08987125]
94,[-180.74828637],[558.24649157],[-929.63478607]
95,[-101.8418737],[499.94193509],[-753.75774523]
