,Mean,Variance,Predictive model
0,[83.81508832],[30.07745631],[0.41241193]
1,[89.07136673],[35.86832932],[1.21669254]
2,[82.86842264],[33.69327482],[0.09846925]
3,[116.0226002],[29.75661414],[0.72503733]
4,[92.70865282],[37.73135833],[0.01995433]
5,[83.12052163],[50.58716295],[0.93778738]
6,[117.01093818],[41.20661717],[1.66177757]
7,[75.970688],[51.61216685],[2.17460555]
8,[100.52625167],[37.11681553],[1.77216483]
9,[82.37623417],[48.26054644],[1.80984594]
10,[75.92700133],[48.90335635],[5.92847855]
11,[87.03280835],[44.02711568],[2.09199571]
12,[111.91913692],[35.38694189],[3.11871268]
13,[85.47215819],[41.5966396],[4.9028845]
14,[85.79833901],[41.46662327],[2.39322701]
15,[89.56336378],[38.97893325],[2.01395869]
16,[101.97696648],[30.75236822],[7.77145526]
17,[108.72552698],[29.3202823],[18.12335508]
18,[88.97839305],[38.04937749],[7.88555722]
19,[90.61430644],[36.80059188],[3.33938178]
20,[95.19533073],[33.81693243],[1.77369175]
21,[94.81717478],[33.3367172],[6.11119137]
22,[83.3397706],[49.10930997],[7.43301245]
23,[93.50342209],[43.17429522],[19.63842031]
24,[104.39376031],[43.8454119],[16.25033379]
25,[79.11888428],[45.08237606],[18.6975911]
26,[68.51825193],[48.19409796],[14.17266382]
27,[101.0622242],[42.34615241],[5.56175697]
28,[83.37159183],[47.31773178],[17.13394792]
29,[88.82934181],[44.0055433],[14.42536157]
30,[168.01983799],[40.41298027],[26.58168559]
31,[102.11020148],[53.52293099],[10.28951358]
32,[169.71158372],[43.05911113],[25.69694631]
33,[172.59921394],[38.56696055],[53.52319777]
34,[132.47340389],[47.98814427],[39.05549692]
35,[48.73236299],[63.60377496],[54.78030527]
36,[162.69123366],[37.08825718],[56.29916635]
37,[155.02504442],[46.31159425],[34.64542312]
38,[154.25647206],[40.9260256],[40.76518564]
39,[165.05001055],[48.01934476],[94.16879014]
40,[190.33828905],[43.27789246],[51.91887246]
41,[191.99364684],[39.67012941],[46.05988015]
42,[111.55622937],[58.26162192],[57.79482693]
43,[73.54989645],[60.32781181],[102.74735603]
44,[67.98374814],[66.94950895],[76.62270729]
45,[90.51246759],[60.89000488],[67.36409988]
46,[195.10849727],[42.74314562],[66.91193204]
47,[149.03712143],[53.23815902],[67.8424265]
48,[70.78223255],[64.1095028],[85.78953851]
49,[138.55653218],[37.58910554],[92.48082887]
50,[139.86685721],[53.72615095],[72.9633116]
51,[158.87130047],[43.66934063],[77.15177436]
52,[206.12935511],[40.19694891],[103.86170183]
53,[121.7183516],[49.28200523],[70.25502324]
54,[132.86222029],[52.45369794],[85.11898818]
55,[148.75507377],[49.67147047],[39.60142923]
56,[69.6940886],[62.92367588],[62.70832187]
57,[66.14563461],[61.30532331],[95.48626834]
58,[116.76890274],[49.17734756],[47.15434875]
59,[116.21625408],[51.44482316],[52.65800235]
60,[135.36230358],[39.85479118],[56.58247416]
61,[208.77249212],[38.02119256],[75.10258087]
62,[160.77140079],[47.59906604],[72.96392271]
63,[119.66309772],[45.87130374],[84.17182262]
64,[200.46453148],[37.22640421],[108.32164865]
65,[80.56416998],[57.79884655],[58.56055203]
66,[163.90825186],[44.23064945],[38.14577281]
67,[216.86328312],[34.61824468],[150.67886928]
68,[111.47416741],[54.62787017],[59.10235272]
69,[107.54513396],[56.11951962],[84.61093602]
70,[129.39257896],[42.47679685],[73.53863292]
71,[99.51976962],[52.19885684],[77.47973195]
72,[155.80548236],[44.34897071],[96.4465325]
73,[195.54286688],[36.46943999],[130.77279589]
74,[149.84210185],[47.39696191],[114.50127924]
75,[138.21900639],[47.55450169],[112.98311532]
76,[66.87030386],[64.58066717],[85.84210074]
77,[145.35023556],[50.03611401],[82.28934254]
78,[199.29705987],[46.49000677],[77.01857105]
79,[172.80123274],[54.72890266],[112.92652143]
80,[146.91471868],[47.27244704],[66.59406407]
81,[226.16494778],[47.94686822],[113.51705442]
82,[139.67520471],[59.58687365],[134.98253099]
83,[155.32263539],[50.25493838],[122.62928862]
84,[73.8257561],[75.33678013],[148.96677133]
85,[82.29527458],[58.11018464],[117.01207666]
86,[162.36523677],[58.98930765],[156.68571723]
87,[103.13832958],[57.18583341],[123.30334231]
88,[238.54490804],[44.35274744],[112.65627185]
89,[94.46624252],[66.12415798],[100.16833503]
90,[283.5323337],[44.41039408],[44.15952165]
91,[85.99906519],[68.82622468],[138.13803179]
92,[157.70368927],[51.30825363],[108.94155708]
93,[261.69177199],[46.03701533],[188.50264211]
94,[71.45677814],[65.06343879],[121.88251628]
95,[87.14752341],[66.91563678],[134.11490488]
