,Mean,Variance,Predictive model
0,[48.67210384],[25.31288079],[0.08941003]
1,[53.88310586],[25.39901094],[0.41641173]
2,[56.5830534],[25.34426375],[0.19360931]
3,[37.98009006],[27.89640867],[1.18162928]
4,[89.07583501],[19.82308883],[0.7960775]
5,[80.29301125],[25.88652467],[1.03173232]
6,[72.37047505],[28.14780734],[2.63427686]
7,[98.65451567],[13.72617201],[1.42322447]
8,[83.45279125],[25.91441434],[0.0528366]
9,[82.90511019],[24.94051312],[-0.17092996]
10,[83.71887421],[22.16476313],[3.14461934]
11,[74.32030811],[25.39705374],[2.49248389]
12,[74.6207919],[24.84729788],[6.80309367]
13,[85.4787967],[17.72926397],[3.67481405]
14,[75.81583686],[22.97035416],[2.27599179]
15,[67.54738643],[24.88304191],[1.35531382]
16,[83.59995211],[22.10454341],[3.69931855]
17,[80.54554477],[21.75367036],[4.49253238]
18,[74.68315041],[20.45862695],[6.67804353]
19,[57.85194455],[27.70452982],[2.24340531]
20,[68.32609148],[21.89918926],[10.28106953]
21,[71.2314273],[20.53047918],[1.57519734]
22,[37.45374778],[31.1562465],[6.69342083]
23,[90.33124264],[17.99702444],[9.93741677]
24,[66.36773239],[19.76102799],[20.13399512]
25,[67.56620677],[20.66649431],[10.75249814]
26,[83.67623675],[18.78367268],[8.5114013]
27,[91.45857189],[20.76232176],[15.8537903]
28,[84.20356754],[12.86609856],[7.32602725]
29,[85.36829808],[17.45119003],[16.52634262]
30,[81.13985465],[14.09308858],[17.53166043]
31,[72.6458707],[22.24410951],[21.38443653]
32,[68.40387202],[26.18380483],[18.64147027]
33,[43.59867218],[28.64628435],[26.92229789]
34,[67.12759096],[26.2187057],[22.82230923]
35,[63.28561359],[24.14391324],[23.24861891]
36,[55.73669474],[40.45846316],[17.03333722]
37,[86.75839972],[29.18381261],[23.31744893]
38,[42.38268247],[41.59772393],[27.11528925]
39,[48.37224429],[38.92346328],[21.50613931]
40,[49.33166849],[38.22576163],[28.4820497]
41,[47.28852037],[37.73588439],[44.41689685]
42,[14.31363454],[48.4995974],[42.21780619]
43,[49.72813728],[41.01813431],[50.61512331]
44,[100.08070302],[19.90016118],[32.01177822]
45,[97.8648777],[31.98314368],[8.82292345]
46,[98.58308604],[27.98147366],[23.44383115]
47,[85.70451136],[26.5763964],[37.95426169]
48,[69.38078064],[38.74177253],[28.39642861]
49,[99.04065697],[27.90925902],[17.76954108]
50,[50.61538219],[40.89905994],[56.58482273]
51,[72.35637262],[38.00270268],[17.12150927]
52,[64.30857875],[38.61682932],[32.30817269]
53,[169.47922382],[30.68051767],[93.63852585]
54,[189.8885479],[32.43353512],[66.92948696]
55,[88.48975089],[37.52078338],[50.72508702]
56,[75.88718133],[39.32356494],[64.95366469]
57,[87.13649142],[32.16139315],[112.74133889]
58,[96.1957885],[32.50668065],[44.10568755]
59,[136.56859526],[23.54915831],[52.13017218]
60,[101.23006304],[33.23993738],[51.13073374]
61,[121.98950142],[32.00059994],[68.36977623]
62,[181.66894308],[27.78187657],[108.65855252]
63,[104.78231623],[40.01211293],[58.90232375]
64,[152.01632722],[23.77465313],[87.57135642]
65,[174.09923082],[33.29255759],[67.94536935]
66,[148.22149231],[29.43986584],[76.69413916]
67,[64.61803661],[47.51395946],[93.47894055]
68,[173.19164475],[29.86584076],[93.92712625]
69,[178.48969966],[36.36641065],[18.74621979]
70,[175.00283956],[33.29674518],[89.23481607]
71,[89.78347423],[44.57274345],[88.67587901]
72,[75.1298658],[48.52440989],[74.32270781]
73,[178.1752774],[35.07744929],[76.43947766]
74,[111.82921514],[38.11658596],[96.63573676]
75,[140.12590776],[36.05984931],[23.57904554]
76,[142.04646487],[33.29398766],[51.7399886]
77,[135.68544927],[28.75704378],[80.63578653]
78,[174.04490923],[37.07721194],[59.74066799]
79,[122.37983888],[43.35971563],[58.20897994]
80,[97.03567495],[46.50677138],[65.90603241]
81,[76.57099256],[49.24525419],[75.66231118]
82,[123.26411877],[40.32982406],[50.8851846]
83,[121.94632642],[43.51924615],[73.88511869]
84,[77.0057511],[42.63890033],[98.64196509]
85,[155.49725196],[31.62398404],[64.98576856]
86,[149.02536908],[29.75138063],[72.17633448]
87,[75.83332289],[45.52052537],[78.65953801]
88,[121.85598111],[30.84192521],[73.05585129]
89,[145.95349452],[43.90609161],[73.10916111]
90,[80.46298315],[46.67722746],[67.21211338]
91,[61.20126773],[53.20643132],[96.76943536]
92,[117.05025414],[29.60084519],[93.50973017]
93,[123.79040081],[36.16363889],[71.53396707]
94,[126.82353099],[42.49898896],[98.36142895]
95,[119.07531996],[36.44469002],[105.75792289]
