,Mean,Variance,Predictive model
0,[19.44222509],[23.71711805],[-0.10932191]
1,[9.96564345],[28.52670512],[-0.5414012]
2,[7.78263217],[19.74844049],[-0.55868949]
3,[18.36638822],[11.85799358],[0.15229914]
4,[3.81531787],[42.55044182],[0.38340622]
5,[16.33854433],[31.98765953],[-0.4282918]
6,[15.62481388],[30.47276627],[0.20180124]
7,[12.39778441],[27.90528773],[-0.37038079]
8,[12.16504932],[32.00475137],[-0.0162032]
9,[27.03071882],[31.02203871],[-1.13949197]
10,[10.08938428],[31.99388275],[-0.36671738]
11,[9.5684333],[29.13354506],[-0.57351357]
12,[13.76568098],[30.71053364],[0.7786445]
13,[13.29152237],[29.61167332],[0.01875386]
14,[12.31119173],[24.98936429],[-1.02563341]
15,[-3.64001182],[30.68404724],[0.44715362]
16,[23.29023106],[20.78841177],[3.08236948]
17,[17.88004284],[20.90443151],[2.50106473]
18,[16.47391401],[23.66091397],[-3.72165209]
19,[8.62123576],[24.69878241],[0.94881205]
20,[17.83286881],[20.36075107],[2.61654279]
21,[18.49043666],[24.53338022],[4.97684967]
22,[0.59092959],[29.73541482],[1.38426742]
23,[23.34476518],[20.96510465],[3.13957962]
24,[26.1649088],[15.61920703],[5.57873916]
25,[7.49652587],[24.31230207],[2.37991974]
26,[26.93766079],[14.48898051],[4.83666768]
27,[33.7214057],[10.69065898],[7.28322976]
28,[17.7560987],[22.74680084],[2.11427704]
29,[17.13766621],[26.52319502],[9.41707043]
30,[0.36746327],[30.83893181],[8.77715838]
31,[18.70510696],[24.42743088],[5.55447704]
32,[18.61762675],[19.98433072],[10.66412825]
33,[23.04937863],[19.86955074],[8.80106731]
34,[2.50402437],[29.20616073],[1.30223377]
35,[25.42942021],[15.49066643],[15.19868744]
36,[29.66623162],[15.47913648],[12.83965809]
37,[21.01289994],[16.58016759],[13.31923581]
38,[13.914398],[18.64522745],[13.30121596]
39,[40.63950245],[10.08245382],[16.80963038]
40,[-0.80922717],[27.40232454],[8.79508906]
41,[37.61745273],[7.60262804],[18.12748078]
42,[37.33280138],[8.62710656],[19.15332428]
43,[41.15846771],[17.36869992],[13.93153504]
44,[17.25067012],[18.49658337],[22.07184682]
45,[26.92233288],[19.08029088],[15.08656133]
46,[17.44015107],[19.21185791],[17.49884538]
47,[30.31963098],[12.40940776],[20.56716981]
48,[32.07445211],[12.5808731],[21.13549199]
49,[32.58629926],[11.2195858],[18.74487527]
50,[39.79951765],[7.94018572],[19.43293443]
51,[37.19996241],[11.81416391],[16.50173411]
52,[18.57488797],[21.81541015],[8.26088697]
53,[23.33486022],[13.96940359],[20.57712755]
54,[23.68947752],[18.26941218],[18.45882174]
55,[33.0435993],[9.6908737],[23.68474789]
56,[44.47393004],[14.33403749],[19.02569932]
57,[32.73099713],[12.1420713],[20.28525364]
58,[27.5972255],[14.35002637],[16.50543829]
59,[32.93432666],[13.62087134],[19.52355578]
60,[30.93586871],[13.1581158],[21.64290357]
61,[52.17461417],[10.14250923],[48.07135036]
62,[63.98221486],[11.91662452],[41.11891438]
63,[65.71081318],[14.24468502],[20.10005419]
64,[61.29341659],[14.06412926],[29.64496991]
65,[49.20223656],[13.88105328],[41.0140384]
66,[46.37518194],[14.2040675],[32.53348212]
67,[63.30579499],[12.68879066],[19.58457413]
68,[39.92523892],[16.1052431],[24.82768637]
69,[144.52104866],[9.8531944],[89.8877099]
70,[120.67195978],[13.62885806],[49.45887193]
71,[143.40042046],[14.93808027],[36.99184127]
72,[144.03530465],[15.04035112],[39.12073566]
73,[146.93742105],[13.11364601],[73.30754203]
74,[74.69418168],[21.176753],[81.68059453]
75,[145.17890506],[13.48895952],[96.33878726]
76,[146.79513908],[12.9473906],[106.72957552]
77,[115.2514904],[15.54020381],[21.30350909]
78,[97.40910426],[20.52918288],[17.03847281]
79,[150.55884835],[12.01375181],[57.79866334]
80,[115.63558751],[18.18819816],[20.1845045]
81,[61.53935636],[19.51812912],[66.3000817]
82,[96.30852782],[14.53673177],[57.74397469]
83,[120.24226715],[10.59159246],[52.55761352]
84,[153.58639417],[16.67252522],[93.58542754]
85,[172.23454424],[16.43535626],[51.38587829]
86,[79.90956094],[32.734153],[77.91355236]
87,[163.53844586],[18.43215206],[69.70510699]
88,[130.31367437],[14.82482238],[67.45911801]
89,[170.01048591],[17.57882629],[75.88984474]
90,[124.27942507],[18.24015325],[67.50001049]
91,[170.06644159],[18.95932779],[119.50654293]
92,[150.46007128],[20.48014057],[109.42181721]
93,[171.02586742],[19.57313501],[98.32812107]
94,[142.066045],[21.20154719],[108.88594166]
95,[128.9074732],[21.58823546],[111.72432346]
