,Mean,Variance,Predictive model
0,[218.35821183],[53.05170053],[0.8136229]
1,[188.14298204],[67.51890566],[1.38140992]
2,[175.66268605],[68.17599685],[2.01409496]
3,[192.4686607],[51.84865443],[0.95738753]
4,[192.84181484],[58.58227765],[3.17119895]
5,[179.09227259],[60.80133167],[3.16422845]
6,[182.91187039],[57.22375756],[0.27160023]
7,[182.16096721],[56.57750028],[4.75025763]
8,[200.74840611],[48.1940393],[0.36471018]
9,[222.04810139],[51.29843784],[10.39952283]
10,[253.65184438],[52.23555396],[9.86772937]
11,[232.34331161],[60.79689247],[14.76121051]
12,[240.67640686],[60.33184276],[3.38474232]
13,[256.43868739],[36.17433621],[13.11172985]
14,[253.39255915],[49.58739691],[12.33345859]
15,[183.44726579],[67.8013811],[14.7130266]
16,[238.34343517],[57.25057224],[8.78436074]
17,[207.11345031],[53.83878307],[-5.17140488]
18,[195.10818028],[58.0468602],[49.13434973]
19,[263.15692757],[46.36034718],[31.93241082]
20,[273.17456714],[44.20770315],[22.40812725]
21,[256.52373035],[56.02377285],[0.41122535]
22,[262.6171354],[45.79376066],[25.04130856]
23,[310.13532324],[34.63927584],[31.16633035]
24,[265.69061424],[39.77731883],[12.18694439]
25,[287.94500097],[42.08032427],[21.19407684]
26,[293.99036154],[53.51364337],[30.99434571]
27,[322.25405871],[43.13313923],[71.09108747]
28,[305.84320044],[58.10074681],[38.23965324]
29,[309.74245617],[52.95063512],[51.77669716]
30,[221.47434756],[51.16399061],[48.89801458]
31,[176.56119206],[53.0451091],[94.89281883]
32,[189.92180672],[61.51906786],[92.23785627]
33,[273.86870774],[28.05818928],[99.16303626]
34,[337.53111728],[65.78699896],[88.28956671]
35,[293.78847817],[61.72992087],[96.18119775]
36,[320.15508381],[57.80497089],[113.82769826]
37,[301.83679606],[68.81632174],[87.64715922]
38,[254.34677391],[56.75564173],[135.35839601]
39,[350.96290954],[60.50597177],[149.61201262]
40,[156.68888585],[69.53740697],[164.21160367]
41,[346.37744818],[55.86834972],[170.19930174]
42,[310.53324108],[62.89714806],[180.5143287]
43,[114.35529179],[79.16018821],[176.30771434]
44,[314.87839408],[38.61109386],[171.23964456]
45,[142.52150166],[81.56695735],[174.48559404]
46,[122.77392633],[90.30736664],[152.97328241]
47,[175.51582152],[57.9692158],[179.01037814]
48,[321.22557147],[63.20826014],[159.80074772]
49,[331.78702756],[52.39538002],[202.32905606]
50,[175.41665755],[76.62348431],[164.27267267]
51,[177.59192508],[70.45899678],[168.12145195]
52,[254.45764535],[39.60053883],[143.12910152]
53,[255.51193289],[58.58151312],[171.83608695]
54,[212.33019747],[64.40442633],[153.81935798]
55,[322.32932203],[67.07005151],[153.93055575]
56,[345.79112781],[65.84738918],[247.24189487]
57,[301.80768494],[73.83531926],[200.03973091]
58,[72.78599206],[111.8771433],[219.11207689]
59,[203.16940359],[62.52584726],[155.03770216]
60,[256.57102125],[60.14808173],[141.89450123]
61,[197.31687377],[68.24113195],[148.0173107]
62,[395.70631334],[62.42095699],[243.16109301]
63,[286.39418609],[44.03070278],[128.13302387]
64,[149.16319486],[70.33274681],[169.33107231]
65,[152.50301174],[84.10029736],[148.04154267]
66,[222.40825326],[61.02192461],[171.25626795]
67,[159.8537493],[80.10606456],[193.84987838]
68,[327.26221104],[63.01901868],[241.42461935]
69,[366.43444203],[53.07792312],[259.00143236]
70,[151.91119409],[91.04879337],[122.12764722]
71,[184.28481058],[71.48790761],[156.87747264]
72,[137.17984305],[91.16217671],[166.28687294]
73,[262.97517861],[82.80693943],[150.12171438]
74,[154.82587953],[87.92951583],[156.81022754]
75,[154.35397006],[75.2486278],[175.0211588]
76,[104.26833244],[90.51569884],[169.21903184]
77,[150.24373001],[91.03522672],[157.42976348]
78,[217.54473272],[59.87187057],[133.1676904]
79,[205.56294374],[72.30508219],[141.92420817]
80,[252.00405505],[54.7683657],[184.99928558]
81,[143.09992672],[97.67635634],[160.4605128]
82,[318.94542784],[64.83679197],[248.39181043]
83,[231.08205979],[48.3208286],[147.23891478]
84,[264.04360059],[61.603817],[155.55703199]
85,[197.10944509],[82.24458153],[131.73749315]
86,[261.08934664],[82.08254828],[208.2821877]
87,[240.04360338],[49.64882438],[166.73887479]
88,[345.87318846],[52.95921452],[250.44299256]
89,[97.43777293],[114.89430712],[95.79069435]
90,[193.26768499],[60.81216858],[164.01226151]
91,[117.10026765],[92.42894975],[172.05079795]
92,[129.35085123],[94.17787815],[143.01092578]
93,[250.66773042],[81.9963777],[229.25119302]
94,[202.49976216],[66.82312355],[133.85721605]
95,[104.91697041],[105.98596391],[140.4682412]
